timestamp;value;unit;mode;current;operation;peak;battery_low;relative;hold
2017-04-29 19:16:45.060768;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:45.560826;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:46.060834;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:46.560821;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:47.060831;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:47.560845;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:48.060852;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:48.560857;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:49.060866;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:49.560872;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:50.060841;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:50.560851;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:51.060937;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:51.561055;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:52.061049;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:52.561062;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:53.061071;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:53.561086;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:54.061091;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:54.561120;;W;resistance;;overload;;0;0;0
2017-04-29 19:16:55.061116;2181.0;W;resistance;;normal;;0;0;0
2017-04-29 19:16:55.561136;15901.0;W;resistance;;normal;;0;0;0
2017-04-29 19:16:56.061131;9754.0;W;resistance;;normal;;0;0;0
2017-04-29 19:16:56.561161;9754.0;W;resistance;;normal;;0;0;0
2017-04-29 19:16:57.061095;9754.0;W;resistance;;normal;;0;0;0
2017-04-29 19:16:57.561166;9754.0;W;resistance;;normal;;0;0;0
2017-04-29 19:16:58.061171;9755.0;W;resistance;;normal;;0;0;0
2017-04-29 19:16:58.561199;9755.0;W;resistance;;normal;;0;0;0
2017-04-29 19:16:59.061123;9755.0;W;resistance;;normal;;0;0;0
2017-04-29 19:16:59.561087;9755.0;W;resistance;;normal;;0;0;0
2017-04-29 19:17:00.061146;9756.0;W;resistance;;normal;;0;0;0
