Date,Volts,Farenheit
2017-04-29 10:35:55.875957,1.098,96.43
2017-04-29 10:35:56.226042,1.098,96.43
2017-04-29 10:35:56.576330,1.098,96.43
2017-04-29 10:35:56.926053,1.097,96.34
2017-04-29 10:35:57.275944,1.097,96.34
2017-04-29 10:35:57.626095,1.097,96.34
2017-04-29 10:35:57.975778,1.096,96.25
2017-04-29 10:35:58.326150,1.096,96.25
2017-04-29 10:35:58.675916,1.096,96.25
2017-04-29 10:35:59.026369,1.096,96.25
2017-04-29 10:35:59.375971,1.095,96.15
2017-04-29 10:35:59.725833,1.095,96.15
2017-04-29 10:36:00.075984,1.095,96.15
2017-04-29 10:36:00.425868,1.094,96.06
2017-04-29 10:36:00.776015,1.094,96.06
2017-04-29 10:36:01.125766,1.094,96.06
2017-04-29 10:36:01.476325,1.093,95.97
2017-04-29 10:36:01.826606,1.093,95.97
2017-04-29 10:36:02.176328,1.093,95.97
2017-04-29 10:36:02.526232,1.092,95.88
2017-04-29 10:36:02.875989,1.092,95.88
2017-04-29 10:36:03.226246,1.093,95.97
2017-04-29 10:36:03.576406,1.093,95.97
2017-04-29 10:36:03.925910,1.094,96.06
2017-04-29 10:36:04.275718,1.095,96.15
2017-04-29 10:36:04.625961,1.096,96.25
2017-04-29 10:36:04.975747,1.097,96.34
2017-04-29 10:36:05.325606,1.098,96.43
2017-04-29 10:36:05.675783,1.099,96.52
2017-04-29 10:36:06.026022,1.100,96.62
2017-04-29 10:36:06.375706,1.102,96.80
2017-04-29 10:36:06.725666,1.103,96.89
2017-04-29 10:36:07.076207,1.104,96.98
2017-04-29 10:36:07.425950,1.105,97.08
2017-04-29 10:36:07.775898,1.106,97.17
2017-04-29 10:36:08.126394,1.107,97.26
2017-04-29 10:36:08.475872,1.108,97.35
2017-04-29 10:36:08.826038,1.108,97.35
2017-04-29 10:36:09.175988,1.108,97.35
2017-04-29 10:36:09.526100,1.108,97.35
2017-04-29 10:36:09.876028,1.108,97.35
2017-04-29 10:36:10.226127,1.108,97.35
2017-04-29 10:36:10.575987,1.108,97.35
2017-04-29 10:36:10.926106,1.108,97.35
2017-04-29 10:36:11.276070,1.108,97.35
2017-04-29 10:36:11.626062,1.108,97.35
2017-04-29 10:36:11.975951,1.108,97.35
2017-04-29 10:36:12.325755,1.108,97.35
2017-04-29 10:36:12.676035,1.108,97.35
2017-04-29 10:36:13.026130,1.108,97.35
2017-04-29 10:36:13.376002,1.107,97.26
2017-04-29 10:36:13.725767,1.107,97.26
2017-04-29 10:36:14.076331,1.107,97.26
2017-04-29 10:36:14.426191,1.107,97.26
2017-04-29 10:36:14.776006,1.107,97.26
2017-04-29 10:36:15.126252,1.106,97.17
2017-04-29 10:36:15.475972,1.106,97.17
2017-04-29 10:36:15.825866,1.106,97.17
2017-04-29 10:36:16.176081,1.106,97.17
2017-04-29 10:36:16.525894,1.106,97.17
2017-04-29 10:36:16.875709,1.105,97.08
2017-04-29 10:36:17.225924,1.105,97.08
2017-04-29 10:36:17.575744,1.105,97.08
2017-04-29 10:36:17.925848,1.105,97.08
2017-04-29 10:36:18.276732,1.105,97.08
2017-04-29 10:36:18.625865,1.104,96.98
