timestamp;value;unit;mode;current;operation;peak;battery_low;relative;hold
2017-06-03 22:36:28.449664;99000.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:28.949667;99000.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:29.449669;99020.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:29.949671;98990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:30.449675;98990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:30.949682;98990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:31.449680;98990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:31.949686;98990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:32.449690;98990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:32.949688;98990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:33.449690;98990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:33.949816;98990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:34.449818;98980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:34.949821;98980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:35.449823;98970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:35.949834;98970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:36.449835;98950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:36.949836;98950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:37.449834;98930.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:37.949836;98930.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:38.449839;98910.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:38.949898;98890.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:39.449844;98880.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:39.949847;98880.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:40.449974;98850.0;W;resistance;;normal;;0;0;0
2017-06-03 22:36:40.949976;98850.0;W;resistance;;normal;;0;0;0
