timestamp;value;unit;mode;current;operation;peak;battery_low;relative;hold
2017-06-03 23:32:51.737889;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:52.237891;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:52.737895;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:53.237897;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:53.737900;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:54.237903;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:54.737906;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:55.237911;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:55.737912;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:56.237914;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:56.737917;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:57.237920;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:57.738047;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:58.238060;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:58.738057;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:59.238055;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:32:59.738059;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:00.238061;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:00.738064;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:01.238068;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:01.738070;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:02.238072;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:02.738075;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:03.238078;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:03.738085;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:04.238823;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:04.738214;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:05.238216;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:05.738217;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:06.238221;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:06.738230;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:07.238228;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:07.738230;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:08.238233;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:08.738238;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:09.238626;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:09.738242;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:10.238245;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:10.738374;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:11.238376;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:11.738383;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:12.238382;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:12.738384;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:13.238387;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:13.738395;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:14.238393;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:14.738395;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:15.238401;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:15.738403;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:16.238405;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:16.738409;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:17.238410;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:17.738539;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:18.238546;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:18.738544;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:19.238548;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:19.738550;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:20.238559;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:20.738560;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:21.238560;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:21.738560;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:22.238565;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:22.738568;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:23.238575;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:23.738573;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:24.238701;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:24.738705;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:25.238707;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:25.738709;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:26.238713;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:26.738715;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:27.238722;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:27.744558;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:28.238854;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:28.738857;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:29.238860;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:29.738864;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:30.238861;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:30.738867;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:31.238873;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:31.738870;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:32.238877;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:32.738878;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:33.238878;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:33.738881;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:34.238884;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:34.738888;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:35.238888;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:35.738892;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:36.238894;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:36.738897;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:37.239029;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:37.739027;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:38.239031;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:38.739037;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:39.239348;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:39.739041;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:40.239044;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:40.739046;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:41.239051;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:41.739053;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:42.239054;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:42.739058;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:43.239061;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:43.739188;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:44.239191;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:44.739194;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:45.239196;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:45.739201;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:46.239203;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:46.739206;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:47.239209;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:47.739212;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:48.239215;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:48.739221;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:49.239220;99900.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:49.739224;99890.0;W;resistance;;normal;;0;0;0
2017-06-03 23:33:50.239351;99890.0;W;resistance;;normal;;0;0;0
