timestamp,value
1500148012.059,-10
1500148012.194,-13
1500148012.329,-18
1500148012.464,-11
1500148012.599,-27
1500148012.735,-23
1500148012.870,-7
1500148013.009,-16
1500148013.144,-20
1500148013.279,-5
1500148013.414,-19
1500148013.550,-24
1500148013.685,-14
1500148013.820,-13
1500148013.955,-11
1500148014.094,-30
1500148014.230,-15
1500148014.365,-5
1500148014.500,5
1500148014.635,-3
1500148014.770,-8
1500148014.906,-21
1500148015.040,-35
1500148015.180,-3
1500148015.315,-18
1500148015.450,-12
1500148015.585,-2
1500148015.720,-9
1500148015.856,-12
1500148015.991,-24
1500148016.126,-2
1500148016.265,-8
1500148016.400,2
1500148016.536,-18
1500148016.671,-13
1500148016.806,-16
1500148016.941,-19
1500148017.076,-25
1500148017.211,-5
1500148017.350,-2
1500148017.486,-20
1500148017.621,-12
1500148017.756,-8
1500148017.891,-0
1500148018.026,-11
1500148018.162,-11
1500148018.301,-4
1500148018.436,-20
1500148018.571,-20
1500148018.706,-5
1500148018.842,-13
1500148018.977,-15
1500148019.112,-16
1500148019.247,-14
1500148019.386,-22
1500148019.521,-4
1500148019.656,-18
1500148019.791,-13
1500148019.927,-2
1500148020.062,-7
1500148020.197,-21
1500148020.332,49770
1500148020.471,156740
1500148020.606,198447
1500148020.742,202337
1500148020.877,188333
1500148021.012,187724
1500148021.147,187391
1500148021.282,188070
1500148021.418,188445
1500148021.557,190788
1500148021.692,190674
1500148021.827,191297
1500148021.962,191509
1500148022.098,191650
1500148022.233,191036
1500148022.368,191659
1500148022.503,192040
1500148022.642,192598
1500148022.778,192411
1500148022.912,191704
1500148023.048,191972
1500148023.183,191916
1500148023.318,191527
1500148023.453,192649
1500148023.592,193189
1500148023.728,193224
1500148023.863,193181
1500148023.998,192935
1500148024.133,193225
1500148024.268,193312
1500148024.403,193204
1500148024.539,193107
1500148024.678,193107
1500148024.813,193114
1500148024.948,193056
1500148025.083,193225
1500148025.218,193133
1500148025.354,193087
1500148025.489,193207
1500148025.628,193129
1500148025.763,193049
1500148025.898,192980
1500148026.034,193034
1500148026.169,192883
1500148026.304,193001
1500148026.439,192864
1500148026.574,193084
1500148026.713,192906
1500148026.849,192452
1500148026.984,192613
1500148027.119,193024
1500148027.254,185103
1500148027.389,379244
1500148027.524,388600
1500148027.660,389055
1500148027.799,389518
1500148027.934,388874
1500148028.069,389338
1500148028.204,272774
1500148028.340,575266
1500148028.475,584477
1500148028.610,584732
1500148028.749,584785
1500148028.884,651935
1500148029.019,774875
1500148029.155,779430
1500148029.290,779677
1500148029.425,783486
1500148029.560,957292
1500148029.695,973181
1500148029.834,974725
1500148029.970,974765
1500148030.105,974592
1500148030.240,974845
1500148030.375,974712
1500148030.510,974929
1500148030.645,975367
1500148030.781,975491
1500148030.920,975701
1500148031.055,975629
1500148031.190,975399
1500148031.325,975300
1500148031.461,975414
1500148031.596,975163
1500148031.731,975023
1500148031.870,975033
1500148032.005,974759
1500148032.140,974740
1500148032.276,974852
1500148032.411,974913
1500148032.546,975092
1500148032.681,975114
1500148032.816,974925
1500148032.955,974742
1500148033.091,974789
1500148033.226,974756
1500148033.361,974877
1500148033.496,974828
1500148033.631,974995
1500148033.766,975135
1500148033.905,975057
1500148034.041,975450
1500148034.176,974934
1500148034.311,974915
1500148034.446,974951
1500148034.582,974898
1500148034.717,974778
1500148034.852,974572
1500148034.991,974511
1500148035.126,974435
1500148035.261,974265
1500148035.397,974241
1500148035.532,974240
1500148035.667,974361
1500148035.802,974388
1500148035.941,974454
1500148036.076,974539
1500148036.212,974437
1500148036.347,974622
1500148036.482,974633
1500148036.617,974595
1500148036.752,974505
1500148036.887,974559
1500148037.027,974691
1500148037.162,974836
1500148037.297,974616
1500148037.432,974614
1500148037.567,974788
1500148037.702,974818
1500148037.838,974825
1500148037.977,974790
1500148038.112,974739
1500148038.247,974760
1500148038.382,974727
1500148038.518,974903
1500148038.653,974958
1500148038.788,975071
1500148038.923,975014
1500148039.062,975039
1500148039.197,975144
1500148039.333,974930
1500148039.468,975041
1500148039.603,974727
1500148039.738,974868
1500148039.873,974909
1500148040.012,975044
1500148040.148,974765
1500148040.283,974822
1500148040.418,974683
1500148040.553,974948
1500148040.688,974769
1500148040.824,974881
1500148040.959,974782
1500148041.098,974720
1500148041.233,974537
1500148041.368,974416
1500148041.503,974299
1500148041.639,974233
1500148041.774,974414
1500148041.909,974535
1500148042.048,974259
1500148042.183,974397
1500148042.318,974342
