timestamp,LM399_P6
1500389754.167,7161553.5
1500389756.726,7161557.8
1500389760.076,7161557.5
1500389763.417,7161558.0
1500389766.762,7161557.3
1500389770.108,7161556.8
1500389773.453,7161555.8
1500389776.798,7161556.5
1500389780.144,7161557.5
1500389783.489,7161557.3
1500389786.835,7161557.5
1500389790.180,7161555.8
1500389793.525,7161555.0
1500389796.871,7161556.0
1500389800.216,7161556.0
1500389803.562,7161555.2
1500389806.907,7161556.3
1500389810.252,7161556.0
1500389813.598,7161556.0
1500389816.943,7161556.0
1500389820.289,7161555.2
1500389823.634,7161557.0
1500389826.979,7161558.3
1500389830.325,7161556.5
1500389833.670,7161557.8
1500389837.016,7161558.0
1500389840.361,7161557.8
1500389843.706,7161558.5
1500389847.052,7161558.3
1500389850.397,7161557.0
1500389853.743,7161556.8
1500389857.088,7161556.8
1500389860.433,7161557.8
1500389863.779,7161558.0
1500389867.124,7161559.3
1500389870.470,7161558.5
1500389873.815,7161559.0
1500389877.160,7161560.1
1500389880.506,7161558.5
1500389883.851,7161559.6
1500389887.196,7161557.8
1500389890.542,7161559.0
1500389893.887,7161558.8
1500389897.233,7161558.3
1500389900.578,7161558.8
1500389903.923,7161558.8
1500389907.269,7161558.0
1500389910.614,7161558.5
1500389913.960,7161557.8
1500389917.305,7161558.3
1500389920.651,7161559.3
1500389923.996,7161558.5
1500389927.341,7161559.3
1500389930.687,7161558.0
1500389934.032,7161558.8
1500389937.377,7161558.8
1500389940.723,7161559.0
1500389944.068,7161561.1
1500389947.414,7161561.6
1500389950.759,7161561.3
1500389954.105,7161561.1
1500389957.450,7161559.6
1500389960.795,7161558.5
1500389964.141,7161559.0
1500389967.486,7161558.8
1500389970.832,7161559.0
1500389974.177,7161557.3
1500389977.522,7161559.0
1500389980.868,7161559.3
1500389984.213,7161558.5
1500389987.559,7161559.6
1500389990.904,7161559.3
1500389994.249,7161559.0
1500389997.595,7161558.8
1500390000.940,7161559.6
1500390004.286,7161559.6
1500390007.631,7161561.3
1500390010.976,7161557.8
1500390014.322,7161559.6
1500390017.667,7161559.0
1500390021.013,7161559.3
1500390024.358,7161558.0
1500390027.703,7161559.3
1500390031.049,7161558.8
1500390034.394,7161559.8
1500390037.740,7161558.8
1500390041.085,7161560.6
1500390044.430,7161559.3
1500390047.776,7161560.1
1500390051.121,7161559.3
1500390054.466,7161558.8
1500390057.812,7161559.0
1500390061.157,7161559.3
1500390064.503,7161560.6
1500390067.848,7161559.6
1500390071.193,7161560.3
1500390074.539,7161559.8
1500390077.884,7161560.3
1500390081.230,7161561.1
1500390084.575,7161561.1
1500390087.920,7161560.8
1500390091.266,7161561.3
1500390094.611,7161560.1
1500390097.957,7161559.8
1500390101.302,7161558.8
1500390104.647,7161560.1
1500390107.993,7161559.6
1500390111.338,7161559.3
1500390114.684,7161560.1
1500390118.029,7161557.8
1500390121.374,7161559.0
1500390124.720,7161558.3
1500390128.065,7161558.8
1500390131.411,7161558.5
1500390134.756,7161559.0
1500390138.101,7161560.1
1500390141.447,7161558.5
1500390144.792,7161559.6
1500390148.138,7161559.0
1500390151.483,7161559.6
1500390154.828,7161559.3
1500390158.174,7161559.0
1500390161.519,7161561.3
1500390164.865,7161560.3
1500390168.210,7161559.3
1500390171.555,7161559.6
1500390174.901,7161559.8
1500390178.246,7161560.3
1500390181.592,7161559.8
1500390184.937,7161560.1
1500390188.282,7161560.3
1500390191.628,7161560.3
1500390194.973,7161559.6
1500390198.319,7161559.6
1500390201.664,7161559.7
