timestamp,LM399-P15
1500699309.958,6890089.2
1500699313.303,6890067.1
1500699316.649,6890064.3
1500699319.994,6890062.5
1500699323.339,6890059.7
1500699326.685,6890061.3
1500699330.030,6890058.2
1500699333.376,6890058.5
1500699336.721,6890057.7
1500699340.066,6890058.2
1500699343.412,6890056.2
1500699346.757,6890056.4
1500699350.103,6890056.9
1500699353.448,6890056.9
1500699356.794,6890054.9
1500699360.139,6890054.7
1500699363.484,6890054.2
1500699366.830,6890054.7
1500699370.175,6890054.4
1500699373.520,6890052.9
1500699376.866,6890050.4
1500699380.211,6890050.9
1500699383.557,6890050.6
1500699386.902,6890053.1
1500699390.248,6890050.4
1500699393.593,6890049.3
1500699396.938,6890047.6
1500699400.284,6890053.1
1500699403.629,6890060.0
1500699406.974,6890051.4
1500699410.320,6890054.9
1500699413.665,6890055.2
1500699417.011,6890054.4
1500699420.356,6890057.2
1500699423.702,6890054.7
1500699427.047,6890055.7
1500699430.393,6890054.2
1500699433.738,6890054.2
1500699437.083,6890054.2
1500699440.428,6890053.9
1500699443.774,6890053.1
1500699447.120,6890053.7
1500699450.465,6890054.7
1500699453.810,6890053.4
1500699457.156,6890053.4
1500699460.501,6890052.9
1500699463.846,6890052.6
1500699467.192,6890052.9
1500699470.537,6890052.9
1500699473.882,6890053.7
1500699477.228,6890054.2
1500699480.573,6890052.9
1500699483.919,6890051.4
1500699487.264,6890050.4
1500699490.610,6890050.1
1500699493.955,6890050.1
1500699497.301,6890050.9
1500699500.646,6890049.1
1500699503.991,6890049.6
1500699507.337,6890048.1
1500699510.682,6890048.1
1500699514.027,6890049.6
1500699517.373,6890048.6
1500699520.718,6890050.1
1500699524.063,6890051.1
1500699527.409,6890051.4
1500699530.754,6890049.8
1500699534.100,6890049.3
1500699537.445,6890052.4
1500699540.791,6890050.4
1500699544.136,6890050.1
1500699547.481,6890048.8
1500699550.827,6890054.7
1500699554.172,6890059.7
1500699557.517,6890055.7
1500699560.863,6890046.8
1500699564.208,6890046.0
1500699567.554,6890043.3
1500699570.899,6890042.2
1500699574.245,6890044.8
1500699577.590,6890045.5
1500699580.935,6890043.5
1500699584.281,6890043.5
1500699587.626,6890043.8
1500699590.972,6890046.0
1500699594.317,6890047.6
1500699597.662,6890041.5
1500699601.008,6890042.5
1500699604.353,6890044.8
1500699607.698,6890039.5
1500699611.044,6890042.7
1500699614.389,6890042.5
1500699617.735,6890043.5
1500699621.080,6890047.6
1500699624.425,6890051.1
1500699627.771,6890050.4
1500699631.116,6890043.3
1500699634.462,6890042.7
1500699637.807,6890041.7
1500699641.153,6890044.8
1500699644.498,6890037.4
1500699647.843,6890039.2
1500699651.189,6890039.5
1500699654.534,6890039.7
1500699657.879,6890041.2
1500699661.225,6890040.0
1500699664.570,6890038.4
1500699667.916,6890038.7
1500699671.261,6890039.2
1500699674.606,6890042.5
1500699677.952,6890045.3
1500699681.297,6890046.0
1500699684.643,6890042.0
1500699687.988,6890043.8
1500699691.334,6890044.8
1500699694.679,6890042.0
1500699698.024,6890040.0
1500699701.369,6890041.7
1500699704.715,6890044.0
1500699708.060,6890044.3
1500699711.406,6890044.0
1500699714.751,6890041.2
1500699718.097,6890042.2
1500699721.442,6890045.0
1500699724.787,6890059.2
1500699728.133,6890062.0
1500699731.478,6890063.3
1500699734.824,6890060.5
1500699738.169,6890058.7
1500699741.515,6890062.0
1500699744.860,6890090.2
1500699748.205,6890069.1
1500699751.551,6890055.2
1500699754.896,6890053.7
1500699758.241,6890056.4
1500699761.587,6890076.7
1500699764.932,6890058.0
1500699768.278,6890059.7
1500699771.623,6890063.3
1500699774.968,6890069.4
1500699778.314,6890058.2
1500699781.659,6890062.8
1500699785.004,6890080.8
1500699788.350,6890062.0
1500699791.695,6890046.8
1500699795.041,6890048.1
1500699798.386,6890049.1
1500699801.732,6890048.6
1500699805.077,6890042.2
1500699808.422,6890032.6
1500699811.767,6890043.8
1500699815.113,6890058.5
1500699818.458,6890056.2
1500699821.804,6890059.5
1500699825.149,6890058.5
1500699828.495,6890060.5
1500699831.840,6890060.5
1500699835.186,6890059.7
1500699838.531,6890060.2
1500699841.876,6890059.7
1500699845.222,6890061.0
1500699848.567,6890061.0
1500699851.912,6890062.0
1500699855.258,6890061.0
1500699858.603,6890061.3
1500699861.949,6890060.0
1500699865.294,6890061.5
1500699868.639,6890060.0
1500699871.985,6890061.5
1500699875.330,6890063.3
1500699878.676,6890063.8
1500699882.021,6890065.8
1500699885.366,6890062.8
1500699888.712,6890065.3
1500699892.057,6890066.1
1500699895.403,6890062.3
1500699898.748,6890063.8
1500699902.093,6890062.0
1500699905.439,6890063.0
1500699908.784,6890063.0
1500699912.129,6890061.3
1500699915.475,6890062.3
1500699918.820,6890064.0
1500699922.166,6890063.5
1500699925.511,6890062.8
1500699928.856,6890062.8
1500699932.202,6890063.0
1500699935.548,6890063.3
1500699938.893,6890062.5
1500699942.238,6890064.3
1500699945.584,6890063.3
1500699948.929,6890065.8
1500699952.274,6890064.8
1500699955.620,6890064.3
1500699958.965,6890065.1
