timestamp,LM399-P15-fast6
1500789063.939,6890099.8
1500789064.277,6890031.3
1500789064.614,6890028.8
1500789064.952,6890041.5
1500789065.290,6890051.6
1500789065.628,6890056.7
1500789065.965,6890066.8
1500789066.303,6890071.9
1500789066.640,6890084.6
1500789066.978,6890079.5
1500789067.316,6890084.6
1500789067.653,6890089.7
1500789067.991,6890092.2
1500789068.329,6890092.2
1500789068.666,6890089.7
1500789069.004,6890089.7
1500789069.342,6890089.7
1500789069.679,6890084.6
1500789070.017,6890077.0
1500789070.355,6890074.4
1500789070.693,6890079.5
1500789071.030,6890079.5
1500789071.368,6890079.5
1500789071.705,6890079.5
1500789072.043,6890071.9
1500789072.381,6890079.5
1500789072.718,6890077.0
1500789073.056,6890077.0
1500789073.394,6890082.1
1500789073.731,6890077.0
1500789074.069,6890074.4
1500789074.407,6890077.0
1500789074.744,6890077.0
1500789075.082,6890074.4
1500789075.420,6890074.4
1500789075.757,6890071.9
1500789076.095,6890074.4
1500789076.433,6890066.8
1500789076.770,6890069.4
1500789077.108,6890069.4
1500789077.446,6890066.8
1500789077.783,6890064.3
1500789078.121,6890066.8
1500789078.459,6890069.4
1500789078.796,6890069.4
1500789079.134,6890066.8
1500789079.471,6890066.8
1500789079.809,6890066.8
1500789080.147,6890066.8
1500789080.485,6890064.3
1500789080.822,6890066.8
1500789081.160,6890064.3
1500789081.497,6890069.4
1500789081.835,6890064.3
1500789082.173,6890061.8
1500789082.510,6890059.2
1500789082.848,6890066.8
1500789083.186,6890061.8
1500789083.523,6890066.8
1500789083.861,6890064.3
1500789084.199,6890064.3
1500789084.536,6890061.8
1500789084.874,6890064.3
1500789085.212,6890066.8
1500789085.549,6890064.3
1500789085.887,6890059.2
1500789086.225,6890061.8
1500789086.562,6890061.8
1500789086.900,6890061.8
1500789087.238,6890064.3
1500789087.575,6890064.3
1500789087.913,6890066.8
1500789088.251,6890064.3
1500789088.588,6890069.4
1500789088.926,6890066.8
1500789089.264,6890066.8
1500789089.601,6890069.4
1500789089.939,6890066.8
1500789090.277,6890071.9
1500789090.614,6890066.8
1500789090.952,6890066.8
1500789091.289,6890069.4
1500789091.627,6890064.3
1500789091.965,6890069.4
1500789092.303,6890066.8
1500789092.640,6890064.3
1500789092.978,6890071.9
1500789093.316,6890066.8
1500789093.653,6890069.4
1500789093.991,6890069.4
1500789094.328,6890069.4
1500789094.666,6890069.4
1500789095.004,6890071.9
1500789095.342,6890066.8
1500789095.679,6890069.4
1500789096.017,6890066.8
1500789096.354,6890066.8
1500789096.692,6890066.8
1500789097.030,6890064.3
1500789097.368,6890066.8
1500789097.705,6890066.8
1500789098.043,6890064.3
1500789098.380,6890061.8
1500789098.718,6890064.3
1500789099.056,6890064.3
1500789099.393,6890064.3
1500789099.731,6890064.3
1500789100.069,6890064.3
1500789100.407,6890064.3
1500789100.744,6890061.8
1500789101.082,6890066.8
1500789101.419,6890074.4
1500789101.757,6890079.5
1500789102.095,6890084.6
1500789102.432,6890077.0
1500789102.770,6890079.5
1500789103.108,6890077.0
1500789103.445,6890079.5
1500789103.783,6890071.9
1500789104.121,6890071.9
1500789104.458,6890071.9
1500789104.796,6890069.4
1500789105.134,6890071.9
1500789105.471,6890074.4
1500789105.809,6890069.4
1500789106.147,6890071.9
1500789106.484,6890069.4
1500789106.822,6890064.3
1500789107.159,6890061.8
1500789107.497,6890066.8
1500789107.835,6890061.8
1500789108.173,6890064.3
1500789108.510,6890064.3
1500789108.848,6890066.8
1500789109.186,6890066.8
1500789109.523,6890066.8
1500789109.861,6890064.3
1500789110.199,6890066.8
1500789110.536,6890064.3
1500789110.874,6890066.8
1500789111.211,6890066.8
1500789111.549,6890066.8
1500789111.887,6890066.8
1500789112.225,6890059.2
1500789112.562,6890066.8
1500789112.900,6890064.3
1500789113.237,6890066.8
1500789113.575,6890066.8
1500789113.913,6890066.8
1500789114.250,6890064.3
1500789114.588,6890066.8
1500789114.926,6890061.8
1500789115.263,6890061.8
1500789115.601,6890066.8
