timestamp,LM399-P15-fast6-no-R7
1500848964.228,6890031.3
1500848964.565,6890036.4
1500848964.903,6890038.9
1500848965.241,6890033.9
1500848965.578,6890026.3
1500848965.916,6890016.1
1500848966.253,6890018.7
1500848966.591,6890023.7
1500848966.929,6890018.7
1500848967.267,6890023.7
1500848967.604,6890021.2
1500848967.942,6890018.7
1500848968.280,6890026.3
1500848968.617,6890023.7
1500848968.955,6890021.2
1500848969.292,6890016.1
1500848969.630,6890023.7
1500848969.968,6890023.7
1500848970.305,6890021.2
1500848970.643,6890008.5
1500848970.981,6890011.1
1500848971.318,6890021.2
1500848971.656,6890021.2
1500848971.994,6890018.7
1500848972.331,6890016.1
1500848972.669,6890011.1
1500848973.007,6890016.1
1500848973.344,6890016.1
1500848973.682,6890016.1
1500848974.020,6890011.1
1500848974.357,6890016.1
1500848974.695,6890013.6
1500848975.033,6890018.7
1500848975.370,6890016.1
1500848975.708,6890011.1
1500848976.046,6890013.6
1500848976.383,6890016.1
1500848976.721,6890013.6
1500848977.059,6890013.6
1500848977.396,6890013.6
1500848977.734,6890013.6
1500848978.072,6890013.6
1500848978.409,6890013.6
1500848978.747,6890013.6
1500848979.085,6890008.5
1500848979.422,6890008.5
1500848979.760,6890023.7
1500848980.097,6890036.4
1500848980.435,6890033.9
1500848980.773,6890031.3
1500848981.111,6890023.7
1500848981.448,6890026.3
1500848981.786,6890026.3
1500848982.124,6890018.7
1500848982.461,6890026.3
1500848982.799,6890023.7
1500848983.137,6890028.8
1500848983.474,6890036.4
1500848983.812,6890036.4
1500848984.150,6890033.9
1500848984.487,6890021.2
1500848984.825,6890013.6
1500848985.163,6890011.1
1500848985.500,6890006.0
1500848985.838,6890006.0
1500848986.175,6890008.5
1500848986.513,6890013.6
1500848986.851,6890013.6
1500848987.189,6890016.1
1500848987.526,6890011.1
1500848987.864,6890013.6
1500848988.202,6890016.1
1500848988.539,6890006.0
1500848988.877,6890018.7
1500848989.215,6890023.7
1500848989.552,6890018.7
1500848989.890,6890026.3
1500848990.227,6890033.9
1500848990.565,6890038.9
1500848990.903,6890023.7
1500848991.240,6890016.1
1500848991.578,6890016.1
1500848991.916,6890026.3
1500848992.253,6890028.8
1500848992.591,6890031.3
1500848992.929,6890031.3
1500848993.266,6890031.3
1500848993.604,6890033.9
1500848993.942,6890031.3
1500848994.280,6890036.4
1500848994.617,6890036.4
1500848994.955,6890036.4
1500848995.292,6890031.3
1500848995.630,6890031.3
1500848995.968,6890028.8
1500848996.305,6890028.8
1500848996.643,6890023.7
1500848996.981,6890016.1
1500848997.318,6890006.0
1500848997.656,6890011.1
1500848997.994,6890016.1
1500848998.331,6890013.6
1500848998.669,6890013.6
1500848999.007,6890011.1
1500848999.344,6890013.6
1500848999.682,6890021.2
1500849000.020,6890028.8
1500849000.357,6890026.3
1500849000.695,6890026.3
1500849001.033,6890033.9
1500849001.370,6890026.3
1500849001.708,6890018.7
1500849002.046,6890006.0
1500849002.383,6890006.0
1500849002.721,6890008.5
1500849003.059,6890008.5
1500849003.396,6890008.5
1500849003.734,6889993.3
1500849004.071,6890000.9
1500849004.409,6890021.2
1500849004.747,6890028.8
1500849005.084,6890041.5
1500849005.422,6890038.9
1500849005.760,6890033.9
1500849006.098,6890036.4
1500849006.435,6890041.5
1500849006.773,6890038.9
1500849007.111,6890038.9
1500849007.448,6890033.9
1500849007.786,6890038.9
1500849008.124,6890041.5
1500849008.461,6890046.6
1500849008.799,6890038.9
1500849009.136,6890031.3
1500849009.474,6890038.9
1500849009.812,6890041.5
1500849010.149,6890036.4
1500849010.487,6890038.9
1500849010.825,6890033.9
1500849011.163,6890044.0
1500849011.500,6890041.5
1500849011.838,6890041.5
1500849012.175,6890036.4
1500849012.513,6890041.5
1500849012.851,6890044.0
1500849013.188,6890028.8
1500849013.526,6890028.8
1500849013.864,6890021.2
1500849014.201,6890033.9
1500849014.539,6890038.9
1500849014.877,6890021.2
1500849015.214,6890021.2
1500849015.552,6890018.7
1500849015.890,6890021.2
1500849016.227,6890018.7
1500849016.565,6890021.2
1500849016.903,6890018.7
1500849017.240,6890013.6
1500849017.578,6890018.7
1500849017.916,6890033.9
1500849018.253,6890041.5
1500849018.591,6890049.1
1500849018.929,6890046.6
1500849019.266,6890046.6
1500849019.604,6890049.1
1500849019.942,6890046.6
1500849020.279,6890046.6
1500849020.617,6890046.6
1500849020.955,6890046.6
1500849021.292,6890033.9
1500849021.630,6890038.9
1500849021.968,6890031.3
1500849022.305,6890021.2
1500849022.643,6890021.2
1500849022.981,6889998.4
1500849023.318,6889990.8
1500849023.656,6889993.3
1500849023.994,6889993.3
1500849024.331,6890008.5
1500849024.669,6890021.2
1500849025.007,6890023.7
1500849025.344,6890021.2
1500849025.682,6890023.7
