timestamp,LM399-P15-slow6-no-R7-alkaline15V
1500869425.580,6890116.8
1500869428.147,6890120.8
1500869431.492,6890120.8
1500869434.838,6890122.9
1500869438.183,6890122.9
1500869441.529,6890123.4
1500869444.874,6890123.4
1500869448.220,6890124.6
1500869451.565,6890123.6
1500869454.910,6890124.4
1500869458.256,6890124.1
1500869461.601,6890124.6
1500869464.947,6890122.1
1500869468.292,6890120.6
1500869471.637,6890119.6
1500869474.983,6890121.4
1500869478.328,6890118.8
1500869481.673,6890115.8
1500869485.019,6890120.6
1500869488.364,6890121.6
1500869491.710,6890122.9
1500869495.055,6890123.9
1500869498.400,6890121.9
1500869501.746,6890121.6
1500869505.091,6890120.6
1500869508.437,6890120.8
1500869511.782,6890121.6
1500869515.128,6890121.6
1500869518.473,6890121.4
1500869521.818,6890117.5
1500869525.164,6890117.3
1500869528.509,6890118.3
1500869531.855,6890119.6
1500869535.200,6890119.8
1500869538.545,6890117.8
1500869541.891,6890118.1
1500869545.236,6890119.6
1500869548.582,6890118.1
1500869551.927,6890119.1
1500869555.272,6890117.3
1500869558.617,6890117.5
1500869561.963,6890118.3
1500869565.308,6890118.8
1500869568.654,6890117.8
1500869571.999,6890117.8
1500869575.345,6890120.1
1500869578.690,6890117.5
1500869582.035,6890117.0
1500869585.381,6890118.6
1500869588.726,6890118.6
1500869592.072,6890120.3
1500869595.417,6890118.6
1500869598.762,6890118.8
1500869602.108,6890119.1
1500869605.453,6890118.6
1500869608.799,6890117.8
1500869612.144,6890119.1
1500869615.490,6890119.6
1500869618.835,6890119.1
1500869622.180,6890121.1
1500869625.526,6890120.8
1500869628.871,6890121.9
1500869632.216,6890119.3
1500869635.562,6890119.1
1500869638.907,6890118.3
1500869642.253,6890119.3
1500869645.598,6890119.1
1500869648.943,6890118.3
1500869652.289,6890120.1
1500869655.634,6890119.6
1500869658.980,6890118.1
1500869662.325,6890117.3
1500869665.670,6890118.1
1500869669.016,6890120.1
1500869672.361,6890119.8
1500869675.707,6890118.8
1500869679.052,6890118.1
1500869682.397,6890122.6
1500869685.743,6890121.1
1500869689.088,6890121.9
1500869692.434,6890122.4
1500869695.779,6890121.4
1500869699.124,6890121.1
1500869702.470,6890120.3
1500869705.815,6890118.1
1500869709.160,6890116.8
1500869712.506,6890119.6
1500869715.851,6890114.8
1500869719.197,6890116.0
1500869722.542,6890118.8
