timestamp,AD584-P12
1500422102.685,10002504.0
1500422106.030,10002510.0
1500422109.376,10002511.0
1500422112.721,10002510.0
1500422116.067,10002513.0
1500422119.412,10002513.0
1500422122.757,10002516.0
1500422126.103,10002514.0
1500422129.448,10002518.0
1500422132.794,10002516.0
1500422136.139,10002516.0
1500422139.485,10002519.0
1500422142.830,10002516.0
1500422146.176,10002518.0
1500422149.521,10002516.0
1500422152.866,10002517.0
1500422156.212,10002517.0
1500422159.557,10002516.0
1500422162.903,10002514.0
1500422166.248,10002519.0
1500422169.594,10002518.0
1500422172.939,10002514.0
1500422176.285,10002514.0
1500422179.630,10002518.0
1500422182.975,10002523.0
1500422186.321,10002525.0
1500422189.666,10002517.0
1500422193.012,10002520.0
1500422196.357,10002499.0
1500422199.702,10002495.0
1500422203.049,10002503.0
1500422206.393,10002505.0
1500422209.739,10002500.0
1500422213.084,10002507.0
1500422216.430,10002504.0
1500422219.775,10002502.0
1500422223.121,10002506.0
1500422226.466,10002504.0
1500422229.812,10002504.0
1500422233.157,10002506.0
1500422236.502,10002508.0
1500422239.848,10002508.0
1500422243.193,10002502.0
1500422246.539,10002500.0
1500422249.884,10002499.0
1500422253.253,10002500.0
1500422256.575,10002501.0
1500422259.920,10002501.0
1500422263.266,10002499.0
1500422266.611,10002498.0
1500422269.957,10002500.0
1500422273.302,10002503.0
1500422276.648,10002502.0
1500422279.993,10002503.0
1500422283.338,10002501.0
1500422286.684,10002500.0
1500422290.029,10002495.0
1500422293.375,10002494.0
1500422296.720,10002495.0
1500422300.066,10002496.0
1500422303.411,10002499.0
1500422306.757,10002499.0
1500422310.102,10002502.0
1500422313.447,10002499.0
1500422316.793,10002500.0
1500422320.138,10002501.0
1500422323.484,10002498.0
1500422326.829,10002500.0
1500422330.175,10002500.0
1500422333.520,10002501.0
1500422336.865,10002501.0
1500422340.211,10002503.0
1500422343.556,10002496.0
1500422346.902,10002500.0
1500422350.247,10002499.0
1500422353.593,10002498.0
1500422356.938,10002505.0
1500422360.284,10002504.0
1500422363.629,10002500.0
1500422366.974,10002503.0
1500422370.319,10002511.0
1500422373.665,10002512.0
1500422377.010,10002510.0
1500422380.356,10002505.0
1500422383.701,10002508.0
1500422387.047,10002506.0
1500422390.392,10002504.0
1500422393.737,10002507.0
1500422397.083,10002507.0
1500422400.429,10002509.0
1500422403.774,10002508.0
1500422407.120,10002509.0
1500422410.465,10002511.0
1500422413.810,10002510.0
1500422417.155,10002505.0
1500422420.501,10002504.0
1500422423.847,10002507.0
1500422427.192,10002504.0
1500422430.537,10002514.0
1500422433.883,10002501.0
1500422437.228,10002506.0
1500422440.573,10002510.0
1500422443.927,10002511.0
1500422447.264,10002510.0
1500422450.610,10002512.0
1500422453.955,10002513.0
1500422457.301,10002511.0
1500422460.646,10002506.0
1500422463.991,10002508.0
1500422467.337,10002508.0
1500422470.682,10002511.0
1500422474.028,10002510.0
1500422477.373,10002511.0
1500422480.719,10002511.0
1500422484.064,10002511.0
1500422487.410,10002506.0
1500422490.755,10002507.0
1500422494.101,10002507.0
1500422497.446,10002506.0
1500422500.791,10002509.0
1500422504.137,10002506.0
1500422507.482,10002509.0
1500422510.828,10002509.0
1500422514.173,10002499.0
1500422517.519,10002496.0
1500422520.864,10002528.0
1500422524.209,10002521.0
1500422527.555,10002503.0
1500422530.900,10002522.0
1500422534.246,10002522.0
1500422537.591,10002518.0
1500422540.937,10002526.0
1500422544.282,10002529.0
1500422547.628,10002497.0
1500422550.973,10002497.0
1500422554.318,10002494.0
1500422557.664,10002492.0
1500422561.009,10002486.0
1500422564.355,10002489.0
1500422567.700,10002492.0
1500422571.046,10002488.0
1500422574.391,10002489.0
1500422577.736,10002494.0
1500422581.082,10002504.0
1500422584.427,10002500.0
1500422587.773,10002498.0
1500422591.118,10002504.0
1500422594.464,10002500.0
1500422597.809,10002507.0
1500422601.154,10002501.0
1500422604.500,10002501.0
1500422607.845,10002506.0
1500422611.191,10002505.0
1500422614.536,10002504.0
1500422617.882,10002502.0
1500422621.227,10002502.0
1500422624.572,10002501.0
1500422627.918,10002499.0
1500422631.263,10002501.0
1500422634.609,10002504.0
1500422637.954,10002500.0
1500422641.300,10002499.0
1500422644.645,10002496.0
1500422647.990,10002501.0
1500422651.336,10002504.0
1500422654.681,10002500.0
1500422658.027,10002496.0
1500422661.372,10002498.0
1500422664.718,10002495.0
1500422668.063,10002498.0
1500422671.408,10002503.0
