timestamp,EDC-501J
1500510610.048,10001326.0
1500510613.394,10001359.0
1500510616.739,10001378.0
1500510620.084,10001388.0
1500510623.430,10001395.0
1500510626.775,10001408.0
1500510630.121,10001410.0
1500510633.466,10001410.0
1500510636.811,10001417.0
1500510640.157,10001420.0
1500510643.502,10001424.0
1500510646.848,10001426.0
1500510650.193,10001426.0
1500510653.538,10001436.0
1500510656.884,10001439.0
1500510660.230,10001437.0
1500510663.575,10001443.0
1500510666.920,10001445.0
1500510670.266,10001442.0
1500510673.611,10001443.0
1500510676.957,10001441.0
1500510680.302,10001439.0
1500510683.648,10001445.0
1500510686.993,10001447.0
1500510690.338,10001445.0
1500510693.684,10001448.0
1500510697.029,10001451.0
1500510700.375,10001457.0
1500510703.720,10001453.0
1500510707.066,10001451.0
1500510710.411,10001450.0
1500510713.756,10001448.0
1500510717.102,10001453.0
1500510720.447,10001455.0
1500510723.793,10001451.0
1500510727.138,10001451.0
1500510730.484,10001450.0
1500510733.829,10001450.0
1500510737.175,10001447.0
1500510740.520,10001451.0
1500510743.865,10001451.0
1500510747.211,10001453.0
1500510750.557,10001459.0
1500510753.902,10001458.0
1500510757.247,10001456.0
1500510760.593,10001457.0
1500510763.938,10001459.0
1500510767.283,10001455.0
1500510770.629,10001455.0
1500510773.975,10001459.0
1500510777.320,10001463.0
1500510780.665,10001465.0
1500510784.011,10001462.0
1500510787.356,10001461.0
1500510790.702,10001464.0
1500510794.047,10001464.0
1500510797.393,10001460.0
1500510800.738,10001461.0
1500510804.084,10001463.0
1500510807.429,10001458.0
1500510810.774,10001467.0
1500510814.120,10001469.0
1500510817.465,10001472.0
1500510820.811,10001468.0
1500510824.156,10001468.0
1500510827.501,10001470.0
1500510830.847,10001470.0
1500510834.192,10001476.0
1500510837.538,10001470.0
1500510840.883,10001467.0
1500510844.228,10001470.0
1500510847.574,10001467.0
1500510850.919,10001461.0
1500510854.265,10001459.0
1500510857.610,10001458.0
1500510860.956,10001466.0
1500510864.301,10001468.0
1500510867.647,10001468.0
1500510870.992,10001468.0
1500510874.337,10001467.0
1500510877.683,10001466.0
1500510881.028,10001470.0
