timestamp,lm399-p15
1512747716.337,6890112.0
1512747719.689,6890114.0
1512747723.041,6890115.5
1512747726.393,6890114.8
1512747729.745,6890115.3
1512747733.097,6890115.0
1512747736.449,6890113.7
1512747739.802,6890114.8
1512747743.154,6890113.2
1512747746.506,6890108.2
1512747749.858,6890110.7
1512747753.210,6890110.7
1512747756.562,6890110.2
1512747759.914,6890110.7
1512747763.267,6890110.6
1512747766.618,6890107.2
1512747769.970,6890107.7
1512747773.323,6890109.7
1512747776.675,6890110.4
1512747780.027,6890108.4
1512747783.379,6890108.4
1512747786.732,6890107.7
1512747790.083,6890107.7
1512747793.435,6890108.4
1512747796.788,6890107.9
1512747800.140,6890109.7
1512747803.491,6890107.7
1512747806.844,6890107.9
1512747810.196,6890108.4
1512747813.548,6890108.2
1512747816.900,6890105.6
1512747820.253,6890106.6
1512747823.604,6890106.4
1512747826.957,6890105.9
1512747830.308,6890107.7
1512747833.661,6890105.6
1512747837.013,6890104.6
1512747840.365,6890105.6
1512747843.717,6890106.6
1512747847.070,6890107.2
1512747850.421,6890105.6
1512747853.774,6890106.9
1512747857.126,6890106.1
1512747860.478,6890106.4
1512747863.830,6890104.9
1512747867.182,6890106.1
1512747870.534,6890107.7
1512747873.887,6890109.7
1512747877.238,6890108.4
1512747880.590,6890105.6
1512747883.943,6890106.6
1512747887.294,6890107.2
1512747890.647,6890105.4
1512747893.999,6890105.9
1512747897.351,6890105.1
1512747900.703,6890106.6
1512747904.055,6890109.7
1512747907.408,6890110.2
1512747910.759,6890109.7
1512747914.112,6890105.1
1512747917.464,6890104.6
1512747920.816,6890106.1
1512747924.168,6890109.4
1512747927.521,6890110.7
1512747930.872,6890111.2
1512747934.225,6890109.9
1512747937.576,6890109.7
1512747940.929,6890107.7
1512747944.281,6890106.8
1512747947.633,6890106.6
1512747950.985,6890108.2
1512747954.337,6890108.9
1512747957.689,6890106.9
1512747961.042,6890106.9
1512747964.393,6890105.4
1512747967.746,6890106.6
1512747971.098,6890108.9
1512747974.450,6890110.2
1512747977.802,6890110.1
1512747981.154,6890108.7
1512747984.506,6890107.4
1512747987.858,6890107.7
1512747991.211,6890106.9
1512747994.562,6890106.4
1512747997.915,6890105.1
1512748001.267,6890106.1
1512748004.618,6890107.2
1512748007.971,6890107.9
1512748011.323,6890105.6
1512748014.676,6890107.7
1512748018.027,6890106.6
1512748021.380,6890107.2
1512748024.732,6890107.2
1512748028.083,6890107.4
1512748031.436,6890106.6
1512748034.788,6890108.7
1512748038.140,6890107.7
1512748041.492,6890106.1
1512748044.845,6890108.7
1512748048.196,6890109.4
1512748051.548,6890110.7
1512748054.901,6890112.2
1512748058.252,6890108.4
1512748061.605,6890106.6
1512748064.957,6890107.2
1512748068.309,6890107.7
1512748071.662,6890107.7
1512748075.014,6890106.9
1512748078.365,6890108.7
1512748081.718,6890106.9
1512748085.069,6890106.9
1512748088.422,6890107.2
1512748091.774,6890105.1
1512748095.127,6890106.1
1512748098.478,6890106.9
1512748101.831,6890107.2
1512748105.182,6890108.4
1512748108.534,6890106.6
1512748111.887,6890106.4
1512748115.238,6890105.6
1512748118.591,6890106.1
1512748121.943,6890105.1
1512748125.296,6890105.1
1512748128.647,6890103.9
1512748131.999,6890103.1
1512748135.352,6890103.3
1512748138.703,6890103.9
1512748142.055,6890103.9
1512748145.407,6890104.1
1512748148.760,6890106.9
1512748152.112,6890105.1
1512748155.464,6890105.6
1512748158.817,6890106.6
1512748162.168,6890105.1
1512748165.521,6890104.6
1512748168.872,6890105.1
1512748172.225,6890105.4
1512748175.577,6890104.1
1512748178.929,6890104.4
1512748182.281,6890103.9
1512748185.633,6890106.4
1512748188.985,6890106.1
1512748192.337,6890103.3
1512748195.690,6890104.9
1512748199.041,6890104.9
1512748202.394,6890104.6
1512748205.746,6890104.6
1512748209.098,6890104.9
1512748212.450,6890103.3
1512748215.802,6890106.9
1512748219.154,6890107.2
1512748222.506,6890107.2
1512748225.859,6890106.1
1512748229.210,6890106.1
1512748232.563,6890106.6
1512748235.915,6890105.9
1512748239.267,6890106.4
1512748242.619,6890107.4
1512748245.971,6890107.9
1512748249.323,6890106.4
1512748252.675,6890103.1
1512748256.028,6890105.1
1512748259.379,6890103.6
1512748262.732,6890104.9
1512748266.084,6890105.4
1512748269.436,6890101.1
1512748272.788,6890100.8
1512748276.140,6890103.6
1512748279.492,6890104.1
1512748282.844,6890103.6
1512748286.197,6890103.9
1512748289.548,6890104.9
1512748292.901,6890104.1
1512748296.253,6890105.6
1512748299.605,6890104.1
1512748302.957,6890103.9
1512748306.310,6890103.9
1512748309.661,6890104.1
1512748313.013,6890103.2
1512748316.365,6890105.9
1512748319.718,6890105.4
1512748323.069,6890105.4
1512748326.422,6890105.6
1512748329.774,6890105.4
1512748333.126,6890105.4
1512748336.478,6890105.1
1512748339.831,6890105.1
1512748343.182,6890103.9
1512748346.535,6890105.6
1512748349.887,6890106.6
1512748353.238,6890104.6
1512748356.591,6890105.9
1512748359.943,6890106.1
1512748363.295,6890107.7
1512748366.647,6890106.1
1512748370.000,6890108.9
1512748373.351,6890107.2
1512748376.704,6890107.4
1512748380.056,6890107.7
1512748383.407,6890106.9
1512748386.760,6890106.4
1512748390.112,6890108.2
1512748393.464,6890108.7
1512748396.816,6890108.2
1512748400.169,6890107.9
1512748403.520,6890105.4
1512748406.873,6890106.4
1512748410.225,6890105.4
1512748413.577,6890103.3
1512748416.929,6890105.4
1512748420.282,6890104.6
1512748423.633,6890103.1
1512748426.985,6890102.8
1512748430.337,6890104.6
1512748433.690,6890103.9
1512748437.041,6890104.1
1512748440.394,6890104.9
1512748443.746,6890104.9
1512748447.098,6890104.9
1512748450.450,6890104.4
1512748453.802,6890104.1
1512748457.154,6890105.6
1512748460.506,6890107.4
1512748463.859,6890107.4
1512748467.210,6890106.4
1512748470.563,6890106.6
1512748473.915,6890107.2
1512748477.267,6890106.4
1512748480.619,6890106.1
1512748483.971,6890106.1
1512748487.323,6890106.6
1512748490.676,6890107.7
1512748494.027,6890106.9
1512748497.380,6890107.7
1512748500.732,6890106.4
1512748504.083,6890105.4
1512748507.436,6890107.7
1512748510.788,6890104.4
1512748514.141,6890103.9
1512748517.492,6890104.1
1512748520.845,6890104.6
1512748524.196,6890103.6
1512748527.549,6890104.4
1512748530.901,6890105.6
1512748534.253,6890103.6
1512748537.605,6890105.1
1512748540.957,6890103.1
1512748544.309,6890102.8
1512748547.661,6890103.6
1512748551.013,6890104.6
1512748554.366,6890102.8
1512748557.717,6890103.6
1512748561.070,6890105.4
1512748564.422,6890103.0
1512748567.774,6890103.3
1512748571.126,6890103.9
1512748574.479,6890103.3
1512748577.830,6890101.6
1512748581.182,6890104.1
1512748584.535,6890105.9
1512748587.886,6890107.2
1512748591.239,6890105.6
1512748594.591,6890106.6
1512748597.943,6890106.9
1512748601.295,6890106.1
1512748604.648,6890106.6
1512748607.999,6890106.4
1512748611.352,6890106.1
1512748614.704,6890106.9
1512748618.055,6890106.1
1512748621.408,6890106.9
1512748624.760,6890107.7
1512748628.112,6890106.6
1512748631.464,6890105.6
1512748634.817,6890102.3
1512748638.168,6890103.3
1512748641.521,6890103.3
1512748644.873,6890104.9
1512748648.224,6890103.3
1512748651.577,6890103.6
1512748654.929,6890103.1
1512748658.281,6890103.1
1512748661.633,6890103.3
1512748664.986,6890103.1
1512748668.337,6890101.6
1512748671.690,6890102.8
1512748675.041,6890103.3
1512748678.394,6890102.3
1512748681.746,6890105.1
1512748685.098,6890106.9
1512748688.450,6890106.9
1512748691.803,6890107.7
1512748695.154,6890105.1
1512748698.506,6890104.9
1512748701.859,6890103.9
1512748705.210,6890106.4
1512748708.563,6890107.2
1512748711.915,6890104.6
1512748715.268,6890101.3
1512748718.619,6890103.9
1512748721.972,6890101.3
1512748725.324,6890100.8
1512748728.675,6890101.8
1512748732.028,6890101.3
1512748735.380,6890101.8
1512748738.732,6890101.1
1512748742.084,6890102.6
1512748745.436,6890102.8
1512748748.788,6890102.6
1512748752.140,6890104.4
1512748755.493,6890102.8
1512748758.844,6890103.9
1512748762.197,6890103.3
1512748765.549,6890104.4
1512748768.901,6890101.6
1512748772.253,6890100.6
1512748775.605,6890101.8
1512748778.957,6890102.1
1512748782.309,6890102.8
1512748785.662,6890102.6
1512748789.013,6890104.4
1512748792.365,6890102.6
1512748795.718,6890102.6
1512748799.070,6890103.1
1512748802.422,6890103.9
1512748805.774,6890102.3
1512748809.126,6890101.6
1512748812.478,6890102.8
1512748815.830,6890102.8
1512748819.183,6890103.3
1512748822.534,6890102.3
1512748825.887,6890103.1
1512748829.239,6890103.3
1512748832.590,6890102.6
1512748835.943,6890103.1
1512748839.295,6890103.3
1512748842.647,6890103.3
1512748845.999,6890101.6
1512748849.352,6890102.3
1512748852.703,6890104.1
1512748856.056,6890101.1
1512748859.408,6890103.1
1512748862.759,6890103.6
1512748866.112,6890103.6
1512748869.464,6890106.1
1512748872.816,6890105.3
1512748876.168,6890105.6
1512748879.521,6890104.6
1512748882.872,6890105.9
1512748886.225,6890105.6
1512748889.577,6890104.1
1512748892.928,6890106.6
1512748896.281,6890107.4
1512748899.633,6890105.4
1512748902.985,6890105.9
1512748906.337,6890105.4
1512748909.690,6890105.6
1512748913.041,6890106.1
1512748916.394,6890106.9
1512748919.745,6890105.4
1512748923.098,6890106.9
1512748926.450,6890107.7
1512748929.803,6890107.4
1512748933.154,6890105.6
1512748936.506,6890103.6
1512748939.858,6890103.1
1512748943.210,6890101.6
1512748946.563,6890106.1
1512748949.915,6890105.9
1512748953.267,6890106.1
1512748956.619,6890106.4
1512748959.972,6890106.6
1512748963.323,6890106.6
1512748966.676,6890105.6
1512748970.028,6890105.9
1512748973.379,6890106.9
1512748976.732,6890105.9
1512748980.084,6890103.3
1512748983.436,6890101.8
1512748986.788,6890100.6
1512748990.141,6890101.1
1512748993.492,6890100.8
1512748996.844,6890100.3
1512749000.197,6890101.8
1512749003.548,6890100.6
1512749006.901,6890101.8
1512749010.253,6890102.3
1512749013.605,6890102.6
1512749016.957,6890102.3
1512749020.309,6890103.3
1512749023.661,6890102.3
1512749027.014,6890102.3
1512749030.365,6890101.6
1512749033.718,6890101.3
1512749037.070,6890102.3
1512749040.422,6890101.3
1512749043.773,6890102.6
1512749047.126,6890103.1
1512749050.478,6890102.8
1512749053.830,6890102.8
1512749057.182,6890102.3
1512749060.535,6890103.6
1512749063.886,6890105.9
1512749067.239,6890106.4
1512749070.591,6890104.9
1512749073.943,6890107.2
1512749077.295,6890105.6
1512749080.647,6890106.1
1512749083.999,6890106.4
1512749087.352,6890105.9
1512749090.704,6890102.8
1512749094.055,6890101.1
1512749097.408,6890102.3
1512749100.760,6890104.9
1512749104.112,6890106.9
1512749107.464,6890105.4
1512749110.817,6890105.9
1512749114.168,6890105.9
1512749117.520,6890107.9
1512749120.873,6890105.5
1512749124.224,6890105.4
1512749127.577,6890104.9
1512749130.929,6890106.4
1512749134.281,6890107.2
1512749137.633,6890107.7
1512749140.985,6890107.4
1512749144.337,6890107.9
1512749147.716,6890105.9
1512749151.041,6890105.8
1512749154.394,6890106.9
1512749157.746,6890106.9
1512749161.098,6890107.4
1512749164.450,6890106.6
1512749167.803,6890106.6
1512749171.154,6890104.1
1512749174.507,6890105.6
1512749177.858,6890106.1
1512749181.211,6890107.7
1512749184.563,6890108.7
1512749187.914,6890104.6
1512749191.267,6890102.3
1512749194.619,6890104.4
1512749197.971,6890102.8
1512749201.323,6890103.9
1512749204.676,6890103.6
1512749208.027,6890106.9
1512749211.380,6890105.1
1512749214.732,6890104.6
1512749218.084,6890104.6
1512749221.436,6890106.1
1512749224.788,6890105.6
1512749228.140,6890103.9
1512749231.492,6890106.1
1512749234.844,6890107.4
1512749238.197,6890107.9
1512749241.548,6890106.4
1512749244.901,6890104.6
1512749248.253,6890102.1
1512749251.605,6890102.6
1512749254.957,6890104.9
1512749258.310,6890105.6
1512749261.661,6890106.1
1512749265.013,6890107.4
1512749268.365,6890104.6
1512749271.718,6890105.6
1512749275.069,6890104.4
1512749278.422,6890104.4
1512749281.774,6890103.3
1512749285.126,6890104.9
1512749288.478,6890103.6
1512749291.831,6890104.9
1512749295.182,6890103.9
1512749298.535,6890103.6
1512749301.887,6890102.6
1512749305.239,6890104.4
1512749308.591,6890106.1
1512749311.943,6890103.9
1512749315.295,6890107.2
1512749318.647,6890104.6
1512749322.000,6890104.6
1512749325.351,6890104.9
1512749328.704,6890106.4
1512749332.055,6890104.9
1512749335.408,6890105.4
1512749338.760,6890107.7
1512749342.112,6890108.4
1512749345.464,6890107.4
1512749348.816,6890108.7
1512749352.169,6890108.7
1512749355.520,6890105.6
1512749358.873,6890104.6
1512749362.225,6890104.1
1512749365.577,6890105.0
1512749368.929,6890105.4
1512749372.281,6890106.9
1512749375.633,6890105.4
1512749378.985,6890106.1
1512749382.338,6890105.4
1512749385.689,6890104.4
1512749389.092,6890104.4
1512749392.394,6890104.1
1512749395.746,6890104.1
1512749399.098,6890104.9
1512749402.450,6890103.3
1512749405.803,6890103.6
1512749409.155,6890102.1
1512749412.506,6890104.1
1512749415.859,6890103.1
1512749419.210,6890104.1
1512749422.563,6890103.1
1512749425.915,6890104.1
1512749429.267,6890103.6
1512749432.619,6890104.4
1512749435.972,6890102.8
1512749439.323,6890103.3
1512749442.676,6890103.6
1512749446.028,6890101.8
1512749449.379,6890101.6
1512749452.732,6890103.9
1512749456.084,6890103.9
1512749459.436,6890105.4
1512749462.788,6890105.6
1512749466.140,6890105.1
1512749469.492,6890104.1
1512749472.844,6890106.6
1512749476.196,6890105.9
1512749479.548,6890105.6
1512749482.901,6890106.9
1512749486.253,6890105.9
1512749489.605,6890104.6
