timestamp,svrt-no-tempco
1512886357.754,10000935.0
1512886361.107,10001007.0
1512886364.458,10000930.0
1512886367.810,10000937.0
1512886371.162,10000967.0
1512886374.514,10000891.0
1512886377.866,10000952.0
1512886381.219,10000960.0
1512886384.571,10000891.0
1512886387.922,10000896.0
1512886391.275,10000975.0
1512886394.627,10000910.0
1512886397.978,10000920.0
1512886401.331,10000926.0
1512886404.683,10000899.0
1512886408.035,10000976.0
1512886411.387,10000990.0
1512886414.739,10000912.0
1512886418.091,10000947.0
1512886421.443,10000998.0
1512886424.795,10001016.0
1512886428.148,10000950.0
1512886431.499,10000947.0
1512886434.852,10000906.0
1512886438.204,10000913.0
1512886441.555,10000992.0
1512886444.908,10000895.0
1512886448.259,10000928.0
1512886451.612,10000932.0
1512886454.964,10000875.0
1512886458.316,10000943.0
1512886461.668,10000980.0
1512886465.020,10000885.0
1512886468.373,10000929.0
1512886471.724,10000946.0
1512886475.076,10000849.0
1512886478.428,10000917.0
1512886481.780,10000902.0
1512886485.132,10000879.0
1512886488.484,10000951.0
1512886491.836,10000966.0
1512886495.188,10000963.0
1512886498.540,10000951.0
1512886501.893,10001012.0
1512886505.245,10000973.0
1512886508.597,10000917.0
1512886511.949,10000965.0
1512886515.301,10000923.0
1512886518.653,10000956.0
1512886522.005,10000995.0
1512886525.357,10000965.0
1512886528.709,10000943.0
1512886532.061,10000983.0
1512886535.413,10000933.0
1512886538.765,10000944.0
1512886542.117,10001000.0
1512886545.469,10000922.0
1512886548.822,10001006.0
1512886552.173,10001019.0
1512886555.526,10000945.0
1512886558.878,10000931.0
1512886562.230,10000977.0
1512886565.582,10000885.0
1512886568.934,10000941.0
1512886572.286,10000945.0
1512886575.639,10000921.0
1512886578.990,10000938.0
1512886582.342,10000983.0
1512886585.694,10000905.0
1512886589.047,10000949.0
1512886592.399,10000965.0
1512886595.751,10000897.0
1512886599.103,10000977.0
1512886602.455,10000952.0
1512886605.806,10000876.0
1512886609.158,10000934.0
1512886612.510,10000907.0
1512886615.863,10000859.0
1512886619.215,10000922.0
1512886622.567,10000929.0
1512886625.919,10000872.0
1512886629.271,10000912.0
1512886632.623,10000910.0
1512886635.975,10000897.0
1512886639.327,10000900.0
1512886642.680,10000914.0
1512886646.032,10000839.0
1512886649.384,10000899.0
1512886652.735,10000913.0
1512886656.087,10000901.0
1512886659.439,10000948.0
1512886662.791,10000981.0
1512886666.143,10000921.0
1512886669.496,10000918.0
1512886672.847,10000947.0
1512886676.199,10000909.0
1512886679.552,10000914.0
1512886682.904,10000966.0
1512886686.256,10000956.0
1512886689.608,10000914.0
1512886692.960,10000957.0
1512886696.312,10000918.0
1512886699.664,10000965.0
1512886703.017,10000928.0
1512886706.369,10000866.0
1512886709.721,10000877.0
1512886713.073,10000874.0
1512886716.424,10000870.0
1512886719.776,10000945.0
1512886723.128,10000906.0
1512886726.480,10000973.0
1512886729.833,10000991.0
1512886733.185,10000915.0
1512886736.537,10000906.0
1512886739.889,10000933.0
1512886743.241,10000896.0
1512886746.593,10000868.0
1512886749.946,10000853.0
1512886753.298,10000885.0
1512886756.650,10000858.0
1512886760.001,10000849.0
1512886763.353,10000851.0
1512886766.705,10000879.0
1512886770.057,10000918.0
1512886773.409,10000976.0
1512886776.762,10000999.0
1512886780.114,10001012.0
1512886783.466,10001004.0
1512886786.818,10000983.0
1512886790.169,10000993.0
1512886793.522,10000980.0
1512886796.874,10001023.0
1512886800.227,10001015.0
1512886803.579,10001014.0
1512886806.930,10000871.0
1512886810.282,10000895.0
1512886813.634,10000957.0
1512886816.986,10000899.0
1512886820.338,10000947.0
1512886823.691,10000980.0
1512886827.043,10000911.0
1512886830.395,10001012.0
1512886833.747,10000972.0
1512886837.099,10000883.0
1512886840.450,10000913.0
1512886843.803,10000950.0
1512886847.155,10000867.0
1512886850.507,10001009.0
1512886853.859,10000961.0
1512886857.211,10000860.0
1512886860.563,10000941.0
1512886863.915,10000963.0
1512886867.267,10000893.0
1512886870.619,10000933.0
1512886873.971,10000990.0
1512886877.323,10000883.0
1512886880.676,10000943.0
1512886884.028,10000964.0
1512886887.380,10000907.0
1512886890.732,10000966.0
1512886894.084,10000961.0
1512886897.436,10000853.0
1512886900.788,10000913.0
1512886904.140,10000912.0
1512886907.492,10000906.0
1512886910.844,10000941.0
1512886914.196,10000932.0
1512886917.548,10000865.0
1512886920.900,10000910.0
1512886924.253,10000947.0
1512886927.604,10000927.0
1512886930.956,10000949.0
1512886934.309,10000957.0
1512886937.661,10000906.0
1512886941.013,10000970.0
1512886944.365,10000997.0
1512886947.717,10000911.0
1512886951.069,10000985.0
1512886954.421,10000927.0
1512886957.773,10000895.0
1512886961.125,10000883.0
1512886964.477,10000919.0
1512886967.829,10000833.0
1512886971.182,10000931.0
1512886974.534,10000933.0
1512886977.886,10000964.0
1512886981.238,10000923.0
1512886984.589,10000997.0
1512886987.942,10001013.0
1512886991.293,10001012.0
1512886994.645,10000925.0
1512886997.997,10000910.0
1512887001.349,10000954.0
1512887004.702,10000954.0
1512887008.054,10000903.0
1512887011.406,10000926.0
1512887014.758,10000970.0
1512887018.110,10000925.0
1512887021.462,10000896.0
1512887024.814,10000929.0
1512887028.166,10000889.0
1512887031.518,10000959.0
1512887034.870,10000943.0
1512887038.222,10000861.0
1512887041.574,10000921.0
1512887044.927,10000910.0
1512887048.279,10000903.0
1512887051.631,10000935.0
1512887054.983,10000893.0
1512887058.335,10000845.0
1512887061.686,10000905.0
1512887065.038,10000916.0
1512887068.391,10000908.0
1512887071.743,10001037.0
1512887075.095,10001000.0
1512887078.447,10000925.0
1512887081.799,10000954.0
1512887085.152,10000894.0
1512887088.504,10000896.0
1512887091.856,10000929.0
1512887095.207,10000934.0
