timestamp,svrt-no-tape
1512954863.341,10000144.0
1512954866.694,10000180.0
1512954870.045,10000181.0
1512954873.397,10000155.0
1512954876.750,10000152.0
1512954880.102,10000166.0
1512954883.454,10000166.0
1512954886.806,10000167.0
1512954890.158,10000192.0
1512954893.510,10000194.0
1512954896.862,10000195.0
1512954900.215,10000198.0
1512954903.567,10000212.0
1512954906.918,10000209.0
1512954910.270,10000206.0
1512954913.623,10000192.0
1512954916.974,10000196.0
1512954920.327,10000182.0
1512954923.679,10000177.0
1512954927.031,10000166.0
1512954930.383,10000171.0
1512954933.735,10000192.0
1512954937.088,10000147.0
1512954940.440,10000172.0
1512954943.791,10000180.0
1512954947.143,10000180.0
1512954950.496,10000162.0
1512954953.848,10000192.0
1512954957.200,10000201.0
1512954960.552,10000193.0
1512954963.904,10000190.0
1512954967.256,10000184.0
1512954970.608,10000194.0
1512954973.961,10000189.0
1512954977.312,10000181.0
1512954980.664,10000157.0
1512954984.016,10000170.0
1512954987.369,10000165.0
1512954990.721,10000199.0
1512954994.073,10000195.0
1512954997.425,10000198.0
1512955000.777,10000200.0
1512955004.129,10000197.0
1512955007.481,10000192.0
1512955010.833,10000197.0
1512955014.186,10000193.0
1512955017.537,10000196.0
1512955020.889,10000193.0
1512955024.241,10000196.0
1512955027.594,10000195.0
1512955030.946,10000201.0
1512955034.298,10000211.0
1512955037.650,10000203.0
1512955041.002,10000197.0
1512955044.354,10000196.0
1512955047.706,10000196.0
1512955051.058,10000192.0
1512955054.411,10000199.0
1512955057.763,10000198.0
1512955061.114,10000200.0
1512955064.466,10000200.0
1512955067.819,10000201.0
1512955071.171,10000200.0
1512955074.523,10000211.0
1512955077.874,10000221.0
1512955081.227,10000195.0
1512955084.579,10000200.0
1512955087.931,10000195.0
1512955091.283,10000196.0
1512955094.636,10000193.0
1512955097.987,10000199.0
1512955101.339,10000196.0
1512955104.692,10000199.0
1512955108.044,10000198.0
1512955111.396,10000203.0
1512955114.748,10000199.0
1512955118.100,10000202.0
1512955121.452,10000206.0
1512955124.804,10000203.0
1512955128.156,10000199.0
1512955131.509,10000199.0
1512955134.860,10000199.0
1512955138.212,10000203.0
1512955141.565,10000200.0
1512955144.917,10000195.0
1512955148.269,10000204.0
1512955151.620,10000199.0
1512955154.973,10000188.0
1512955158.325,10000199.0
1512955161.677,10000166.0
1512955165.029,10000199.0
1512955168.381,10000188.0
1512955171.734,10000199.0
1512955175.086,10000174.0
1512955178.437,10000175.0
1512955181.789,10000181.0
1512955185.142,10000194.0
1512955188.494,10000182.0
1512955191.846,10000212.0
1512955195.198,10000217.0
1512955198.550,10000201.0
1512955201.902,10000115.0
1512955205.254,10000120.0
1512955208.606,10000137.0
1512955211.959,10000134.0
1512955215.311,10000140.0
1512955218.662,10000131.0
1512955222.014,10000119.0
1512955225.367,10000123.0
1512955228.719,10000110.0
1512955232.072,10000119.0
1512955235.423,10000124.0
1512955238.775,10000117.0
1512955242.127,10000114.0
1512955245.480,10000102.0
1512955248.832,10000117.0
1512955252.183,10000121.0
1512955255.535,10000148.0
1512955258.888,10000135.0
1512955262.240,10000132.0
1512955265.592,10000173.0
1512955268.943,10000162.0
1512955272.296,10000198.0
1512955275.648,10000206.0
1512955279.000,10000205.0
1512955282.352,10000204.0
1512955285.704,10000205.0
1512955289.057,10000204.0
1512955292.408,10000216.0
1512955295.760,10000213.0
1512955299.112,10000150.0
1512955302.465,10000131.0
1512955305.817,10000131.0
1512955309.169,10000132.0
1512955312.521,10000137.0
1512955315.873,10000132.0
1512955319.227,10000155.0
1512955322.577,10000181.0
1512955325.930,10000174.0
1512955329.282,10000208.0
1512955332.633,10000165.0
1512955335.985,10000159.0
1512955339.337,10000131.0
1512955342.690,10000175.0
1512955346.042,10000166.0
1512955349.394,10000137.0
1512955352.746,10000152.0
1512955356.098,10000131.0
1512955359.450,10000162.0
1512955362.802,10000192.0
1512955366.155,10000130.0
1512955369.506,10000137.0
1512955372.858,10000136.0
1512955376.211,10000151.0
1512955379.563,10000133.0
1512955382.915,10000162.0
1512955386.266,10000135.0
1512955389.619,10000132.0
1512955392.971,10000138.0
1512955396.323,10000121.0
1512955399.675,10000147.0
1512955403.027,10000139.0
1512955406.380,10000125.0
1512955409.731,10000163.0
1512955413.083,10000200.0
1512955416.435,10000181.0
1512955419.788,10000175.0
1512955423.140,10000178.0
1512955426.492,10000173.0
1512955429.843,10000158.0
1512955433.196,10000162.0
1512955436.548,10000141.0
1512955439.900,10000165.0
1512955443.252,10000191.0
1512955446.605,10000187.0
1512955449.956,10000173.0
1512955453.308,10000170.0
1512955456.660,10000200.0
1512955460.013,10000201.0
1512955463.365,10000198.0
1512955466.716,10000201.0
1512955470.069,10000165.0
1512955473.421,10000164.0
1512955476.773,10000159.0
1512955480.126,10000155.0
1512955483.477,10000177.0
1512955486.829,10000176.0
1512955490.181,10000187.0
1512955493.534,10000196.0
1512955496.886,10000166.0
1512955500.238,10000137.0
1512955503.589,10000186.0
1512955506.942,10000158.0
1512955510.294,10000189.0
1512955513.646,10000148.0
1512955516.999,10000162.0
1512955520.350,10000129.0
1512955523.703,10000127.0
1512955527.055,10000174.0
1512955530.407,10000198.0
1512955533.758,10000130.0
1512955537.110,10000119.0
1512955540.463,10000126.0
1512955543.815,10000193.0
1512955547.167,10000138.0
1512955550.520,10000159.0
1512955553.871,10000180.0
1512955557.223,10000152.0
1512955560.575,10000203.0
1512955563.928,10000189.0
1512955567.280,10000183.0
1512955570.631,10000175.0
1512955573.984,10000192.0
1512955577.336,10000186.0
1512955580.688,10000140.0
1512955584.040,10000150.0
1512955587.392,10000213.0
1512955590.744,10000211.0
1512955594.096,10000213.0
1512955597.448,10000224.0
1512955600.801,10000203.0
1512955604.152,10000185.0
1512955607.504,10000156.0
1512955610.856,10000176.0
1512955614.209,10000163.0
1512955617.561,10000210.0
1512955620.913,10000216.0
1512955624.265,10000212.0
1512955627.617,10000208.0
1512955630.969,10000212.0
1512955634.321,10000230.0
1512955637.674,10000216.0
1512955641.025,10000176.0
1512955644.377,10000207.0
1512955647.730,10000212.0
1512955651.082,10000218.0
1512955654.433,10000175.0
1512955657.786,10000169.0
1512955661.138,10000206.0
1512955664.490,10000214.0
1512955667.842,10000195.0
1512955671.195,10000222.0
1512955674.546,10000220.0
1512955677.898,10000183.0
1512955681.250,10000230.0
1512955684.603,10000210.0
1512955687.955,10000160.0
1512955691.306,10000169.0
1512955694.659,10000166.0
1512955698.011,10000180.0
1512955701.363,10000147.0
1512955704.714,10000175.0
1512955708.067,10000145.0
1512955711.419,10000128.0
1512955714.772,10000202.0
1512955718.124,10000215.0
1512955721.475,10000174.0
1512955724.827,10000171.0
1512955728.180,10000144.0
1512955731.532,10000168.0
1512955734.883,10000198.0
1512955738.236,10000185.0
1512955741.588,10000178.0
1512955744.940,10000165.0
1512955748.292,10000159.0
1512955751.645,10000162.0
1512955754.996,10000160.0
1512955758.348,10000161.0
1512955761.701,10000219.0
1512955765.052,10000220.0
1512955768.405,10000217.0
1512955771.757,10000210.0
1512955775.109,10000185.0
1512955778.461,10000203.0
1512955781.813,10000212.0
1512955785.165,10000165.0
1512955788.517,10000167.0
1512955791.869,10000187.0
1512955795.222,10000139.0
1512955798.574,10000130.0
1512955801.925,10000134.0
1512955805.277,10000124.0
1512955808.630,10000123.0
1512955811.982,10000139.0
1512955815.334,10000126.0
1512955818.685,10000153.0
1512955822.038,10000153.0
1512955825.390,10000139.0
1512955828.742,10000169.0
1512955832.095,10000178.0
1512955835.446,10000172.0
1512955838.798,10000212.0
