timestamp,ltz1000-p19
1513939180.882,7190059.2
1513939184.234,7190057.4
1513939187.586,7190058.1
1513939190.938,7190058.1
1513939194.291,7190057.4
1513939197.643,7190057.1
1513939200.995,7190059.4
1513939204.347,7190056.9
1513939207.699,7190056.6
1513939211.051,7190055.9
1513939214.403,7190054.6
1513939217.755,7190054.8
1513939221.107,7190054.6
1513939224.459,7190054.8
1513939227.812,7190056.1
1513939231.163,7190055.1
1513939234.515,7190056.4
1513939237.868,7190056.4
1513939241.219,7190055.6
1513939244.571,7190055.6
1513939247.924,7190052.8
1513939251.275,7190053.6
1513939254.628,7190053.3
1513939257.980,7190053.3
1513939261.332,7190053.3
1513939264.684,7190053.1
1513939268.036,7190054.8
1513939271.389,7190053.1
1513939274.740,7190053.6
1513939278.092,7190052.8
1513939281.445,7190053.1
1513939284.796,7190052.1
1513939288.149,7190054.1
1513939291.501,7190053.8
1513939294.853,7190053.3
1513939298.205,7190053.8
1513939301.557,7190054.1
1513939304.909,7190054.3
1513939308.261,7190054.6
1513939311.613,7190053.6
1513939314.965,7190052.8
1513939318.318,7190053.6
1513939321.670,7190053.3
1513939325.022,7190052.6
1513939328.374,7190052.3
1513939331.726,7190053.8
1513939335.078,7190053.3
1513939338.431,7190053.1
1513939341.782,7190053.6
1513939345.134,7190052.6
1513939348.486,7190053.1
1513939351.838,7190053.1
1513939355.191,7190053.3
1513939358.543,7190054.1
1513939361.895,7190052.8
1513939365.247,7190054.3
1513939368.599,7190051.8
1513939371.951,7190052.3
1513939375.303,7190052.8
1513939378.655,7190052.3
1513939382.007,7190052.8
1513939385.359,7190053.3
1513939388.712,7190054.1
1513939392.064,7190053.3
1513939395.416,7190053.8
1513939398.767,7190052.8
1513939402.120,7190053.6
1513939405.471,7190051.5
1513939408.824,7190052.8
1513939412.176,7190053.8
1513939415.528,7190052.1
1513939418.880,7190052.8
1513939422.232,7190052.3
1513939425.585,7190051.8
1513939428.936,7190052.3
1513939432.289,7190051.5
1513939435.640,7190051.3
1513939438.993,7190052.3
1513939442.345,7190052.1
1513939445.697,7190050.0
1513939449.049,7190051.5
1513939452.401,7190051.5
1513939455.753,7190051.8
1513939459.105,7190052.6
1513939462.458,7190053.1
1513939465.809,7190052.3
1513939469.161,7190051.8
1513939472.513,7190052.8
1513939475.865,7190051.3
1513939479.217,7190052.6
1513939482.570,7190051.0
1513939485.921,7190052.4
1513939489.274,7190052.6
1513939492.626,7190051.5
1513939495.978,7190052.1
1513939499.330,7190052.6
1513939502.682,7190051.3
1513939506.034,7190051.8
1513939509.386,7190052.6
1513939512.739,7190051.3
1513939516.090,7190052.6
1513939519.443,7190052.1
1513939522.795,7190051.3
1513939526.147,7190051.0
1513939529.499,7190050.0
1513939532.851,7190051.0
1513939536.203,7190051.8
1513939539.555,7190051.3
1513939542.907,7190051.5
1513939546.259,7190051.0
1513939549.611,7190051.5
1513939552.963,7190052.1
1513939556.316,7190051.3
1513939559.667,7190051.5
1513939563.020,7190052.1
1513939566.372,7190051.0
1513939569.723,7190052.6
1513939573.076,7190051.8
1513939576.428,7190051.0
1513939579.780,7190050.5
1513939583.132,7190050.8
1513939586.484,7190050.5
1513939589.836,7190051.8
1513939593.189,7190052.6
1513939596.540,7190052.6
1513939599.892,7190051.8
1513939603.245,7190051.3
1513939606.596,7190052.8
1513939609.949,7190052.3
1513939613.301,7190051.3
1513939616.653,7190049.8
1513939620.005,7190051.0
1513939623.357,7190051.0
1513939626.709,7190050.5
1513939630.061,7190050.5
1513939633.413,7190050.5
1513939636.765,7190052.1
1513939640.118,7190051.0
1513939643.469,7190050.5
1513939646.821,7190050.9
1513939650.174,7190053.1
1513939653.525,7190051.5
1513939656.878,7190051.0
1513939660.229,7190051.3
1513939663.582,7190051.8
1513939666.933,7190050.8
1513939670.286,7190051.3
1513939673.638,7190050.5
1513939676.990,7190051.8
1513939680.342,7190051.5
1513939683.694,7190051.3
1513939687.046,7190050.5
1513939690.399,7190051.0
1513939693.750,7190051.3
1513939697.102,7190052.3
1513939700.454,7190051.0
1513939703.806,7190052.1
1513939707.158,7190050.5
1513939710.510,7190051.5
1513939713.862,7190052.3
1513939717.214,7190052.6
1513939720.567,7190052.3
1513939723.918,7190051.5
1513939727.270,7190051.0
1513939730.623,7190051.3
1513939733.974,7190051.8
1513939737.327,7190050.8
1513939740.678,7190050.5
1513939744.031,7190051.0
1513939747.382,7190052.3
1513939750.735,7190052.3
1513939754.087,7190051.0
1513939757.439,7190051.3
1513939760.791,7190051.8
1513939764.143,7190051.9
1513939767.496,7190051.8
1513939770.847,7190051.3
1513939774.200,7190050.3
1513939777.551,7190051.8
1513939780.903,7190051.8
1513939784.255,7190051.5
1513939787.608,7190051.5
1513939790.959,7190051.8
1513939794.312,7190052.6
1513939797.664,7190053.1
1513939801.016,7190050.5
1513939804.368,7190050.8
1513939807.720,7190051.8
1513939811.072,7190051.8
1513939814.424,7190052.8
1513939817.776,7190052.1
1513939821.128,7190053.3
1513939824.480,7190053.1
1513939827.833,7190052.6
1513939831.184,7190052.3
1513939834.536,7190052.1
1513939837.889,7190052.8
1513939841.240,7190052.8
1513939844.593,7190052.3
1513939847.944,7190051.8
1513939851.297,7190051.0
1513939854.648,7190051.5
1513939858.000,7190052.8
1513939861.353,7190052.1
1513939864.705,7190052.3
1513939868.057,7190053.3
1513939871.409,7190052.6
1513939874.761,7190053.1
1513939878.113,7190052.6
1513939881.466,7190052.6
1513939884.817,7190052.3
1513939888.169,7190052.6
1513939891.521,7190051.0
1513939894.873,7190051.5
1513939898.226,7190051.8
1513939901.577,7190051.8
1513939904.929,7190052.8
1513939908.282,7190053.6
1513939911.633,7190052.6
1513939914.986,7190051.3
1513939918.337,7190051.0
1513939921.690,7190051.8
1513939925.042,7190051.0
1513939928.394,7190051.5
1513939931.746,7190051.5
1513939935.098,7190051.3
1513939938.450,7190051.3
1513939941.802,7190052.3
1513939945.155,7190051.5
1513939948.506,7190053.6
1513939951.858,7190052.3
1513939955.211,7190052.3
1513939958.563,7190051.8
1513939961.915,7190052.3
1513939965.266,7190051.0
1513939968.619,7190051.8
1513939971.970,7190051.5
1513939975.323,7190050.0
1513939978.675,7190049.3
1513939982.027,7190051.3
1513939985.379,7190050.5
1513939988.731,7190050.0
1513939992.083,7190051.3
1513939995.435,7190052.1
1513939998.787,7190051.5
1513940002.139,7190051.8
1513940005.491,7190050.3
1513940008.843,7190050.3
1513940012.195,7190050.0
1513940015.548,7190050.5
1513940018.899,7190051.0
1513940022.252,7190050.3
1513940025.604,7190051.0
1513940028.955,7190050.8
1513940032.308,7190049.3
1513940035.660,7190050.3
1513940039.012,7190049.3
1513940042.364,7190050.0
1513940045.715,7190049.8
1513940049.068,7190049.8
1513940052.420,7190050.5
1513940055.772,7190050.5
1513940059.124,7190049.8
1513940062.476,7190051.8
1513940065.829,7190050.3
1513940069.181,7190050.3
1513940072.533,7190050.5
1513940075.884,7190049.8
1513940079.237,7190048.3
1513940082.589,7190048.8
1513940085.941,7190050.3
1513940089.292,7190051.3
1513940092.645,7190050.3
1513940095.997,7190050.5
1513940099.349,7190051.0
1513940102.701,7190050.0
1513940106.053,7190049.5
1513940109.405,7190050.5
1513940112.757,7190049.3
1513940116.109,7190050.0
1513940119.461,7190050.0
1513940122.813,7190051.0
1513940126.165,7190049.3
1513940129.517,7190050.5
1513940132.869,7190051.0
1513940136.222,7190050.0
1513940139.574,7190050.0
1513940142.926,7190051.0
1513940146.278,7190050.0
1513940149.630,7190051.8
1513940152.982,7190051.5
1513940156.334,7190052.1
1513940159.686,7190050.5
1513940163.038,7190049.3
1513940166.390,7190050.0
1513940169.742,7190049.8
1513940173.095,7190051.3
1513940176.446,7190049.8
1513940179.798,7190049.8
1513940183.151,7190050.5
1513940186.502,7190049.8
1513940189.855,7190050.8
1513940193.207,7190051.3
1513940196.559,7190051.3
1513940199.911,7190050.3
1513940203.262,7190050.8
1513940206.615,7190050.8
1513940209.967,7190049.5
1513940213.319,7190049.5
1513940216.671,7190050.5
1513940220.023,7190050.0
1513940223.375,7190050.5
1513940226.727,7190049.3
1513940230.080,7190049.8
1513940233.431,7190050.8
1513940236.784,7190051.5
1513940240.135,7190049.5
1513940243.488,7190050.0
1513940246.840,7190050.8
1513940250.192,7190050.5
1513940253.544,7190050.0
1513940256.896,7190050.0
1513940260.248,7190049.3
1513940263.600,7190049.5
1513940266.952,7190049.5
1513940270.304,7190050.3
1513940273.657,7190051.0
1513940277.008,7190050.5
1513940280.361,7190050.5
1513940283.712,7190051.0
1513940287.064,7190049.3
1513940290.416,7190050.5
1513940293.769,7190050.3
1513940297.121,7190050.4
1513940300.472,7190051.3
1513940303.825,7190050.8
1513940307.177,7190051.3
1513940310.529,7190049.8
1513940313.881,7190050.3
1513940317.233,7190050.3
1513940320.585,7190051.5
1513940323.937,7190051.0
1513940327.289,7190050.3
1513940330.641,7190049.8
1513940333.994,7190050.5
1513940337.346,7190050.3
1513940340.697,7190050.3
1513940344.050,7190049.5
1513940347.401,7190050.8
1513940350.753,7190050.8
1513940354.106,7190051.0
1513940357.457,7190051.5
1513940360.810,7190051.5
1513940364.162,7190051.3
1513940367.514,7190049.8
1513940370.866,7190050.3
1513940374.218,7190049.5
1513940377.570,7190050.0
1513940380.922,7190050.3
1513940384.274,7190050.0
1513940387.626,7190049.8
1513940390.978,7190051.0
1513940394.330,7190050.0
1513940397.682,7190050.5
1513940401.034,7190050.0
1513940404.386,7190050.8
1513940407.739,7190049.0
1513940411.090,7190050.0
1513940414.443,7190049.5
1513940417.795,7190048.8
1513940421.147,7190049.3
1513940424.499,7190049.3
1513940427.851,7190050.0
1513940431.203,7190049.3
1513940434.555,7190050.8
1513940437.908,7190050.5
1513940441.259,7190049.8
1513940444.612,7190049.5
1513940447.963,7190050.5
1513940451.315,7190050.5
1513940454.668,7190051.0
1513940458.020,7190049.6
1513940461.371,7190051.0
1513940464.724,7190050.8
1513940468.076,7190050.3
1513940471.428,7190050.8
1513940474.779,7190051.3
1513940478.132,7190051.5
1513940481.484,7190050.8
