timestamp,ltz1000-p19-soldered-leads
1513978962.127,7189832.1
1513978965.480,7189833.2
1513978968.832,7189833.7
1513978972.184,7189833.5
1513978975.537,7189834.8
1513978978.888,7189829.9
1513978982.241,7189832.5
1513978985.593,7189837.2
1513978988.944,7189833.7
1513978992.297,7189832.2
1513978995.649,7189833.0
1513978999.001,7189832.5
1513979002.353,7189832.3
1513979005.706,7189835.0
1513979009.057,7189838.1
1513979012.410,7189837.5
1513979015.762,7189839.3
1513979019.114,7189836.5
1513979022.466,7189831.7
1513979025.818,7189834.0
1513979029.170,7189832.0
1513979032.522,7189831.0
1513979035.874,7189828.2
1513979039.227,7189826.1
1513979042.578,7189828.7
1513979045.931,7189831.0
1513979049.283,7189829.7
1513979052.635,7189828.4
1513979055.987,7189832.0
1513979059.339,7189834.2
1513979062.691,7189833.0
1513979066.043,7189826.9
1513979069.396,7189828.4
1513979072.747,7189828.2
1513979076.099,7189829.4
1513979079.451,7189829.3
1513979082.804,7189832.2
1513979086.381,7189833.7
1513979089.508,7189833.2
1513979092.860,7189830.4
1513979096.212,7189829.6
1513979099.564,7189834.5
1513979102.917,7189834.9
1513979106.268,7189835.5
1513979109.620,7189835.4
1513979112.973,7189837.3
1513979116.325,7189835.3
1513979119.677,7189835.3
1513979123.028,7189835.0
1513979126.381,7189834.8
1513979129.733,7189837.0
1513979133.085,7189835.5
1513979136.438,7189834.8
1513979139.789,7189834.0
1513979143.141,7189834.0
1513979146.494,7189833.2
1513979149.845,7189833.5
1513979153.198,7189836.0
1513979156.550,7189837.8
1513979159.901,7189836.1
1513979163.254,7189836.5
1513979166.606,7189833.5
1513979169.958,7189835.3
1513979173.310,7189834.1
1513979176.663,7189832.5
1513979180.014,7189833.7
1513979183.367,7189835.9
1513979186.718,7189837.0
1513979190.071,7189836.3
1513979193.423,7189841.3
1513979196.775,7189841.1
1513979200.127,7189839.7
1513979203.480,7189839.6
1513979206.831,7189839.3
1513979210.183,7189837.2
1513979213.536,7189834.5
1513979216.887,7189834.5
1513979220.240,7189833.0
1513979223.591,7189832.2
1513979226.944,7189835.3
1513979230.296,7189835.0
1513979233.648,7189835.3
1513979237.000,7189835.3
1513979240.353,7189835.3
1513979243.704,7189835.5
1513979247.056,7189834.5
1513979250.409,7189834.0
1513979253.760,7189832.9
1513979257.113,7189834.4
1513979260.465,7189833.1
1513979263.817,7189834.0
1513979267.169,7189833.0
1513979270.521,7189832.7
1513979273.873,7189832.2
1513979277.225,7189832.0
1513979280.577,7189831.0
1513979283.929,7189829.4
1513979287.282,7189832.2
1513979290.633,7189831.5
1513979293.986,7189832.1
1513979297.338,7189832.7
1513979300.690,7189831.7
1513979304.042,7189831.7
1513979307.394,7189833.7
1513979310.746,7189834.0
1513979314.098,7189829.3
1513979317.451,7189824.6
1513979320.802,7189825.9
1513979324.155,7189828.9
1513979327.506,7189830.2
1513979330.859,7189831.0
1513979334.211,7189831.0
1513979337.563,7189828.7
1513979340.915,7189831.2
1513979344.267,7189830.4
1513979347.620,7189829.9
1513979350.971,7189828.2
1513979354.324,7189829.0
1513979357.676,7189829.4
1513979361.028,7189830.4
1513979364.380,7189828.9
1513979367.731,7189831.2
1513979371.084,7189829.9
1513979374.436,7189830.7
1513979377.788,7189829.7
1513979381.140,7189833.0
1513979384.493,7189833.5
1513979388.001,7189833.5
1513979391.197,7189832.2
1513979394.548,7189832.5
1513979397.901,7189835.3
1513979401.253,7189836.5
1513979404.605,7189836.0
1513979407.957,7189835.9
1513979411.310,7189834.5
1513979414.661,7189833.0
1513979418.014,7189834.4
1513979421.366,7189839.8
1513979424.717,7189839.1
1513979428.070,7189837.0
1513979431.422,7189835.3
1513979434.774,7189832.7
1513979438.126,7189832.5
1513979441.479,7189833.6
1513979444.830,7189839.6
1513979448.182,7189837.7
1513979451.535,7189837.3
1513979454.886,7189838.8
1513979458.239,7189840.6
1513979461.591,7189840.0
1513979464.943,7189840.3
1513979468.295,7189840.8
1513979471.647,7189841.6
1513979474.999,7189842.6
1513979478.352,7189842.7
1513979481.704,7189842.6
1513979485.055,7189846.0
1513979488.408,7189845.4
1513979491.760,7189840.7
1513979495.112,7189842.1
1513979498.464,7189842.1
1513979501.816,7189841.1
1513979505.169,7189840.6
1513979508.520,7189842.5
1513979511.873,7189841.3
1513979515.225,7189842.2
1513979518.576,7189844.9
1513979521.929,7189838.2
1513979525.281,7189838.2
1513979528.793,7189840.8
1513979531.985,7189840.0
1513979535.337,7189838.8
1513979538.690,7189837.3
1513979542.041,7189837.8
1513979545.393,7189838.8
1513979548.746,7189838.8
1513979552.098,7189839.4
1513979555.450,7189836.8
1513979558.802,7189840.1
1513979562.154,7189836.3
1513979565.506,7189838.3
1513979568.858,7189838.1
1513979572.210,7189837.5
1513979575.563,7189837.2
1513979578.914,7189835.3
1513979582.267,7189836.0
1513979585.619,7189835.9
1513979588.971,7189834.0
1513979592.323,7189832.5
1513979595.675,7189834.4
1513979599.027,7189832.3
1513979602.380,7189831.8
1513979605.731,7189832.3
1513979609.083,7189830.2
1513979612.436,7189831.2
1513979615.788,7189836.3
1513979619.140,7189833.0
1513979622.492,7189830.6
1513979625.844,7189832.2
1513979629.196,7189836.5
1513979632.551,7189835.9
1513979635.900,7189835.3
1513979639.253,7189833.5
1513979642.604,7189832.5
1513979645.957,7189835.0
1513979649.309,7189834.6
1513979652.660,7189839.6
1513979656.013,7189835.0
1513979659.365,7189835.5
1513979662.717,7189835.5
1513979666.069,7189838.1
1513979669.421,7189833.7
1513979672.773,7189831.7
1513979676.126,7189838.3
1513979679.478,7189839.8
1513979682.830,7189837.8
1513979686.182,7189836.8
1513979689.534,7189837.3
1513979692.886,7189837.3
1513979696.238,7189837.8
1513979699.590,7189835.5
1513979702.942,7189840.3
1513979706.295,7189839.3
1513979709.646,7189839.1
1513979712.999,7189838.6
1513979716.351,7189836.8
1513979719.703,7189838.8
1513979723.055,7189840.7
1513979726.407,7189840.2
1513979729.760,7189838.6
1513979733.111,7189834.8
1513979736.464,7189835.8
1513979739.815,7189835.5
1513979743.168,7189840.6
1513979746.519,7189840.8
1513979749.872,7189842.1
1513979753.224,7189841.6
1513979756.576,7189839.7
1513979759.928,7189843.0
1513979763.280,7189843.1
1513979766.632,7189844.0
1513979769.985,7189846.4
1513979773.336,7189843.4
1513979776.689,7189847.4
1513979780.040,7189847.4
1513979783.393,7189844.4
1513979786.745,7189837.4
1513979790.097,7189839.3
1513979793.449,7189838.8
1513979796.802,7189839.8
1513979800.154,7189841.3
1513979803.505,7189838.6
1513979806.858,7189832.1
1513979810.210,7189834.0
1513979813.562,7189840.7
1513979816.914,7189842.7
1513979820.267,7189840.6
1513979823.618,7189842.1
1513979826.971,7189842.7
1513979830.322,7189841.6
1513979833.674,7189843.1
1513979837.027,7189844.9
1513979840.379,7189843.0
1513979843.731,7189841.3
1513979847.083,7189846.9
1513979850.435,7189847.2
1513979853.787,7189846.2
1513979857.140,7189844.5
1513979860.491,7189845.7
1513979863.844,7189841.9
1513979867.196,7189840.8
1513979870.548,7189840.0
1513979873.900,7189840.6
1513979877.253,7189842.4
1513979880.604,7189844.1
1513979883.956,7189841.6
1513979887.309,7189841.3
1513979890.660,7189846.8
1513979894.013,7189844.6
1513979897.364,7189844.1
1513979900.717,7189843.1
1513979904.069,7189840.6
1513979907.421,7189840.7
