timestamp,ltz1000-p17
1513992452.435,7071367.1
1513992455.787,7071363.8
1513992459.139,7071367.3
1513992462.492,7071364.8
1513992465.843,7071364.8
1513992469.196,7071364.5
1513992472.548,7071365.0
1513992475.900,7071365.0
1513992479.253,7071364.3
1513992482.604,7071363.5
1513992485.957,7071361.0
1513992489.308,7071364.5
1513992492.661,7071363.8
1513992496.013,7071365.0
1513992499.365,7071363.0
1513992502.717,7071365.0
1513992506.069,7071362.8
1513992509.421,7071365.3
1513992512.773,7071366.1
1513992516.125,7071365.8
1513992519.478,7071364.1
1513992522.829,7071361.9
1513992526.182,7071363.8
1513992529.534,7071360.7
1513992532.886,7071362.5
1513992536.238,7071364.0
1513992539.590,7071364.0
1513992542.943,7071362.5
1513992546.294,7071363.5
1513992549.647,7071363.8
1513992552.999,7071361.2
1513992556.351,7071362.5
1513992559.703,7071358.7
1513992563.055,7071360.0
1513992566.407,7071360.1
1513992569.760,7071358.4
1513992573.111,7071361.0
1513992576.464,7071360.2
1513992579.816,7071362.2
1513992583.168,7071360.7
1513992586.520,7071362.8
1513992589.872,7071362.0
1513992593.225,7071360.2
1513992596.576,7071358.4
1513992599.928,7071357.7
1513992603.281,7071357.2
1513992606.633,7071355.1
1513992609.984,7071357.2
1513992613.337,7071358.2
1513992616.689,7071356.9
1513992620.041,7071357.9
1513992623.393,7071358.4
1513992626.745,7071357.9
1513992630.098,7071357.7
1513992633.449,7071358.7
1513992636.802,7071357.9
1513992640.153,7071357.2
1513992643.506,7071355.1
1513992646.858,7071357.9
1513992650.209,7071355.4
1513992653.562,7071354.6
1513992656.913,7071356.7
1513992660.266,7071356.2
1513992663.618,7071355.1
1513992666.970,7071356.2
1513992670.322,7071358.2
1513992673.675,7071357.7
1513992677.026,7071357.2
1513992680.379,7071359.0
1513992683.730,7071356.2
1513992687.083,7071354.4
1513992690.435,7071357.9
1513992693.787,7071357.4
1513992697.139,7071357.4
1513992700.491,7071356.4
1513992703.843,7071358.4
1513992707.195,7071359.5
1513992710.547,7071358.2
1513992713.900,7071357.4
1513992717.251,7071356.7
1513992720.604,7071357.2
1513992723.956,7071355.7
1513992727.308,7071354.4
1513992730.660,7071353.9
1513992734.012,7071357.2
1513992737.364,7071357.7
1513992740.716,7071356.9
1513992744.069,7071359.2
1513992747.420,7071357.7
1513992750.773,7071357.7
1513992754.124,7071357.7
1513992757.476,7071357.2
1513992760.829,7071355.7
1513992764.181,7071355.7
1513992767.533,7071356.9
1513992770.885,7071356.9
1513992774.237,7071356.7
1513992777.589,7071359.0
1513992780.941,7071356.4
1513992784.293,7071356.9
1513992787.645,7071356.2
1513992790.998,7071355.9
1513992794.350,7071357.4
1513992797.701,7071357.4
1513992801.054,7071359.7
1513992804.406,7071353.4
1513992807.758,7071355.7
1513992811.110,7071353.9
1513992814.462,7071353.4
1513992817.814,7071354.9
1513992821.166,7071354.9
1513992824.519,7071354.6
1513992827.870,7071355.1
1513992831.223,7071353.6
1513992834.574,7071356.7
1513992837.927,7071353.9
1513992841.279,7071353.1
1513992844.631,7071353.6
1513992847.983,7071354.4
1513992851.335,7071352.9
1513992854.687,7071353.6
1513992858.040,7071352.9
1513992861.391,7071350.6
1513992864.743,7071352.4
1513992868.095,7071353.9
1513992871.447,7071353.9
1513992874.799,7071355.9
1513992878.152,7071354.9
1513992881.503,7071351.9
1513992884.856,7071352.9
1513992888.208,7071350.8
1513992891.560,7071352.9
1513992894.912,7071350.8
1513992898.265,7071355.9
1513992901.616,7071354.9
1513992904.969,7071354.4
1513992908.320,7071353.9
1513992911.673,7071352.6
1513992915.024,7071354.6
1513992918.377,7071356.9
1513992921.729,7071351.9
1513992925.081,7071354.1
1513992928.433,7071353.6
1513992931.785,7071352.1
1513992935.137,7071353.6
1513992938.489,7071352.6
1513992941.841,7071354.4
1513992945.194,7071356.5
1513992948.545,7071352.1
1513992951.898,7071349.3
1513992955.249,7071350.8
1513992958.625,7071351.6
1513992961.953,7071350.8
1513992965.306,7071353.4
1513992968.657,7071352.6
1513992972.010,7071351.1
1513992975.362,7071349.3
1513992978.714,7071349.1
1513992982.067,7071350.6
1513992985.418,7071351.3
1513992988.771,7071350.3
1513992992.123,7071352.9
1513992995.474,7071353.1
1513992998.827,7071350.8
1513993002.178,7071351.1
1513993005.531,7071351.3
1513993008.883,7071350.3
1513993012.235,7071351.3
1513993015.587,7071352.4
1513993018.939,7071352.1
1513993022.291,7071354.9
1513993025.643,7071353.6
1513993028.995,7071355.4
1513993032.347,7071353.6
1513993035.699,7071354.6
1513993039.052,7071353.1
1513993042.403,7071350.3
1513993045.756,7071351.3
1513993049.107,7071353.4
1513993052.460,7071351.3
1513993055.812,7071352.9
1513993059.164,7071349.8
1513993062.516,7071351.3
1513993065.868,7071352.1
1513993069.220,7071352.9
1513993072.572,7071353.1
1513993075.925,7071349.6
1513993079.276,7071351.6
1513993082.628,7071352.4
1513993085.981,7071350.8
1513993089.332,7071349.3
1513993092.685,7071349.8
1513993096.037,7071349.1
1513993099.389,7071348.6
1513993102.741,7071346.3
1513993106.093,7071348.6
1513993109.445,7071347.5
1513993112.798,7071345.5
1513993116.149,7071346.5
