timestamp,ltz1000-p17-foam-under
1514007255.222,7071328.5
1514007258.574,7071329.0
1514007261.926,7071330.0
1514007265.279,7071327.8
1514007268.630,7071328.3
1514007271.982,7071328.8
1514007275.335,7071328.5
1514007278.687,7071329.4
1514007282.039,7071329.8
1514007285.391,7071330.0
1514007288.743,7071328.8
1514007292.096,7071330.8
1514007295.447,7071330.3
1514007298.800,7071330.8
1514007302.151,7071330.0
1514007305.504,7071328.5
1514007308.856,7071329.3
1514007312.208,7071329.5
1514007315.560,7071329.0
1514007318.912,7071331.6
1514007322.264,7071331.1
1514007325.617,7071329.8
1514007328.968,7071329.0
1514007332.321,7071328.3
1514007335.673,7071329.3
1514007339.025,7071329.5
1514007342.377,7071328.8
1514007345.729,7071328.3
1514007349.082,7071328.5
1514007352.433,7071328.0
1514007355.786,7071328.5
1514007359.137,7071328.0
1514007362.490,7071328.5
1514007365.842,7071329.8
1514007369.194,7071331.1
1514007372.546,7071328.5
1514007375.898,7071331.6
1514007379.250,7071329.8
1514007382.602,7071330.0
1514007385.954,7071329.3
1514007389.306,7071328.5
1514007392.659,7071329.3
1514007396.011,7071326.7
1514007399.363,7071326.5
1514007402.715,7071329.0
1514007406.067,7071329.0
1514007409.419,7071328.8
1514007412.771,7071328.3
1514007416.123,7071327.8
1514007419.476,7071328.0
1514007422.827,7071327.0
1514007426.180,7071327.8
1514007429.532,7071326.2
1514007432.884,7071327.0
1514007436.236,7071326.5
1514007439.588,7071327.5
1514007442.941,7071328.0
1514007446.292,7071327.5
1514007449.645,7071327.5
1514007452.996,7071327.3
1514007456.349,7071327.5
1514007459.701,7071326.0
1514007463.053,7071327.0
1514007466.405,7071327.3
1514007469.758,7071325.5
1514007473.109,7071327.5
1514007476.462,7071328.3
1514007479.813,7071327.0
1514007483.166,7071327.5
1514007486.518,7071328.0
1514007489.870,7071328.3
1514007493.222,7071327.5
1514007496.574,7071328.0
1514007499.927,7071328.3
1514007503.278,7071327.5
1514007506.631,7071327.3
1514007509.982,7071327.0
1514007513.335,7071327.3
1514007516.687,7071328.0
1514007520.039,7071326.7
1514007523.391,7071325.7
1514007526.743,7071327.8
1514007530.095,7071326.5
1514007533.448,7071325.0
1514007536.799,7071325.5
1514007540.152,7071325.5
1514007543.503,7071326.0
1514007546.856,7071327.0
1514007550.208,7071326.0
1514007553.560,7071327.5
1514007556.912,7071327.8
1514007560.265,7071325.2
1514007563.616,7071325.7
1514007566.969,7071326.0
1514007570.320,7071324.5
1514007573.673,7071326.5
1514007577.025,7071326.5
1514007580.377,7071324.7
1514007583.729,7071326.7
1514007587.082,7071327.0
1514007590.433,7071326.2
1514007593.786,7071323.7
1514007597.137,7071326.0
1514007600.490,7071326.0
1514007603.841,7071324.7
1514007607.194,7071328.8
1514007610.546,7071329.0
1514007613.898,7071331.1
1514007617.250,7071329.0
1514007620.603,7071329.5
1514007623.954,7071330.3
1514007627.307,7071330.6
1514007630.658,7071328.5
1514007634.011,7071329.8
1514007637.363,7071329.3
1514007640.715,7071330.3
1514007644.067,7071329.0
1514007647.419,7071330.0
1514007650.772,7071329.5
1514007654.123,7071329.0
1514007657.476,7071330.8
1514007660.827,7071329.5
1514007664.180,7071327.5
1514007667.796,7071329.8
1514007670.884,7071328.5
1514007674.236,7071328.8
1514007677.588,7071328.0
1514007680.940,7071328.0
1514007684.292,7071326.7
1514007687.645,7071327.3
1514007690.996,7071328.5
1514007694.349,7071327.3
1514007697.701,7071328.3
1514007701.053,7071326.0
1514007704.405,7071326.2
1514007707.757,7071326.2
1514007711.109,7071327.8
1514007714.461,7071328.0
1514007717.813,7071327.8
1514007721.165,7071328.8
1514007724.518,7071328.5
1514007727.870,7071328.0
1514007731.222,7071326.0
1514007734.574,7071326.7
1514007737.926,7071326.7
1514007741.278,7071329.8
1514007744.631,7071328.8
1514007747.982,7071328.0
1514007751.335,7071328.3
1514007754.686,7071328.5
1514007758.039,7071327.5
1514007761.391,7071328.8
1514007764.743,7071329.3
1514007768.095,7071328.5
1514007771.447,7071330.3
1514007774.799,7071328.0
1514007778.151,7071329.0
1514007781.504,7071329.5
1514007784.855,7071329.0
1514007788.208,7071329.0
1514007791.560,7071327.3
1514007794.912,7071326.2
1514007798.265,7071328.0
1514007801.616,7071327.3
1514007804.968,7071328.3
1514007808.321,7071326.2
1514007811.672,7071326.7
1514007815.025,7071327.8
1514007818.377,7071326.7
1514007821.729,7071326.2
1514007825.081,7071326.7
1514007828.433,7071326.7
1514007831.785,7071326.7
1514007835.138,7071326.5
1514007838.489,7071325.0
1514007841.842,7071330.0
1514007845.193,7071331.3
1514007848.546,7071331.3
1514007851.897,7071330.8
1514007855.250,7071328.0
1514007858.603,7071328.5
1514007861.954,7071328.5
1514007865.306,7071331.3
1514007868.659,7071332.6
1514007872.010,7071329.5
1514007875.363,7071330.4
1514007878.714,7071331.1
1514007882.067,7071332.3
1514007885.419,7071331.6
1514007888.771,7071331.1
1514007892.123,7071331.8
1514007895.476,7071330.8
1514007898.827,7071331.6
1514007902.180,7071330.6
1514007905.531,7071329.8
1514007908.884,7071330.3
1514007912.235,7071331.2
1514007915.588,7071331.8
1514007918.940,7071330.8
1514007922.292,7071333.3
1514007925.644,7071332.8
1514007928.996,7071329.3
1514007932.348,7071329.0
1514007935.700,7071329.3
1514007939.052,7071326.7
1514007942.405,7071325.0
1514007945.757,7071326.5
1514007949.109,7071325.0
1514007952.461,7071325.0
1514007955.813,7071324.0
1514007959.165,7071326.1
1514007962.517,7071323.7
1514007965.869,7071325.2
1514007969.222,7071323.5
1514007972.573,7071324.2
1514007975.926,7071322.9
1514007979.278,7071324.5
1514007982.630,7071325.2
1514007985.982,7071324.7
1514007989.335,7071325.0
