timestamp,ltz1000-p17-back-in-town
1514391138.757,7071104.4
1514391142.109,7071066.3
1514391145.462,7071037.1
1514391148.814,7071049.4
1514391152.166,7071045.0
1514391155.518,7071130.4
1514391158.870,7071116.9
1514391162.222,7071126.9
1514391165.574,7071131.4
1514391168.926,7071126.7
1514391172.278,7071126.1
1514391175.630,7071129.4
1514391178.983,7071130.9
1514391182.335,7071135.1
1514391185.687,7071133.7
1514391189.039,7071129.7
1514391192.391,7071134.2
1514391195.743,7071131.6
1514391199.096,7071133.0
1514391202.447,7071123.5
1514391205.799,7071081.4
1514391209.152,7071030.6
1514391212.504,7071045.4
1514391215.856,7071127.1
1514391219.208,7071131.9
1514391222.560,7071132.1
1514391225.912,7071127.5
1514391229.265,7071128.3
1514391232.616,7071129.6
1514391236.181,7071131.0
1514391239.320,7071130.2
1514391242.673,7071133.8
1514391246.025,7071131.3
1514391249.377,7071131.5
1514391252.729,7071130.7
1514391256.081,7071129.2
1514391259.433,7071129.9
1514391262.785,7071130.7
1514391266.138,7071130.5
1514391269.490,7071131.9
1514391272.842,7071129.6
1514391276.193,7071129.9
1514391279.546,7071133.7
1514391282.898,7071132.8
1514391286.250,7071132.5
1514391289.733,7071135.8
1514391292.955,7071133.7
1514391296.306,7071133.3
1514391299.658,7071134.7
1514391303.011,7071134.9
1514391306.362,7071135.2
1514391309.715,7071134.2
1514391313.067,7071133.3
1514391316.420,7071133.2
1514391319.771,7071132.6
1514391323.123,7071132.6
1514391326.476,7071132.0
1514391329.827,7071131.9
1514391333.180,7071131.4
1514391336.532,7071129.6
1514391339.884,7071128.3
1514391343.269,7071130.0
1514391346.588,7071131.5
1514391349.940,7071131.3
1514391353.292,7071130.6
1514391356.644,7071126.8
1514391359.996,7071128.7
1514391363.349,7071126.7
1514391366.701,7071123.1
1514391370.053,7071125.4
1514391373.405,7071121.9
1514391376.757,7071123.0
1514391380.109,7071126.3
1514391383.461,7071128.8
1514391386.813,7071123.0
1514391390.166,7071119.2
1514391393.517,7071120.0
1514391396.870,7071136.7
1514391400.221,7071133.4
1514391403.574,7071129.6
1514391406.926,7071134.8
1514391410.278,7071133.3
1514391413.631,7071132.6
1514391416.982,7071131.8
1514391420.335,7071134.4
1514391423.686,7071136.2
1514391427.039,7071136.8
1514391430.391,7071138.4
1514391433.743,7071136.7
1514391437.095,7071141.7
1514391440.447,7071135.4
1514391443.799,7071130.4
1514391447.151,7071139.1
1514391450.504,7071138.2
1514391453.856,7071138.2
1514391457.207,7071135.8
1514391460.560,7071137.0
1514391463.912,7071135.9
