timestamp,ltz1000-p17-hammond
1514514227.376,7071450.7
1514514230.728,7071449.7
1514514234.081,7071450.5
1514514237.432,7071450.7
1514514240.785,7071449.5
1514514244.136,7071447.4
1514514247.489,7071445.9
1514514250.841,7071447.2
1514514254.193,7071448.0
1514514257.545,7071446.2
1514514260.898,7071444.9
1514514264.249,7071443.1
1514514267.602,7071443.9
1514514270.954,7071442.4
1514514274.306,7071442.6
1514514277.658,7071442.6
1514514281.010,7071441.9
1514514284.362,7071444.1
1514514287.714,7071442.4
1514514291.067,7071443.1
1514514294.418,7071442.1
1514514297.771,7071442.4
1514514301.123,7071441.1
1514514304.475,7071441.9
1514514307.827,7071441.4
1514514311.180,7071441.4
1514514314.531,7071441.4
1514514317.884,7071442.9
1514514321.236,7071442.9
1514514324.587,7071441.4
1514514327.940,7071443.4
1514514331.291,7071442.4
1514514334.644,7071435.0
1514514337.996,7071431.7
1514514341.348,7071432.2
1514514344.701,7071429.7
1514514348.052,7071431.2
1514514351.404,7071430.2
1514514354.757,7071429.2
1514514358.108,7071428.9
1514514361.461,7071428.9
1514514364.813,7071429.4
1514514368.165,7071436.3
1514514371.517,7071442.1
1514514374.869,7071446.4
1514514378.222,7071444.4
1514514381.573,7071441.1
1514514384.925,7071436.5
1514514388.278,7071434.3
1514514391.629,7071436.0
1514514394.982,7071437.6
1514514398.334,7071437.3
1514514401.686,7071436.3
1514514405.038,7071437.6
1514514408.390,7071438.6
1514514411.742,7071442.1
1514514415.095,7071445.7
1514514418.447,7071445.7
1514514421.798,7071444.4
1514514425.151,7071437.3
1514514428.503,7071435.5
1514514431.855,7071440.9
1514514435.207,7071441.6
1514514438.559,7071439.8
1514514441.911,7071441.9
1514514445.263,7071442.1
1514514448.616,7071444.4
1514514451.968,7071443.9
1514514455.320,7071444.7
1514514458.672,7071443.4
1514514462.024,7071443.6
1514514465.376,7071445.2
1514514468.728,7071444.1
1514514472.081,7071444.9
1514514475.432,7071444.7
1514514478.785,7071443.1
1514514482.136,7071443.1
1514514485.489,7071442.6
1514514488.841,7071445.2
1514514492.193,7071443.9
1514514495.545,7071443.1
1514514498.897,7071442.6
1514514502.249,7071444.9
1514514505.602,7071444.7
1514514508.953,7071445.9
1514514512.306,7071444.1
1514514515.657,7071446.2
1514514519.010,7071445.2
1514514522.361,7071444.7
1514514525.714,7071444.7
1514514529.066,7071445.7
1514514532.418,7071445.7
1514514535.770,7071445.2
1514514539.123,7071442.4
1514514542.474,7071442.4
1514514545.827,7071442.9
1514514549.179,7071442.9
1514514552.531,7071443.6
1514514555.883,7071444.1
1514514559.235,7071440.9
1514514562.587,7071440.9
1514514565.939,7071441.6
1514514569.292,7071440.1
1514514572.643,7071441.6
1514514575.996,7071442.1
1514514579.348,7071441.9
1514514582.700,7071440.9
1514514586.052,7071440.9
1514514589.405,7071442.4
1514514592.756,7071441.6
1514514596.109,7071443.1
1514514599.460,7071441.4
1514514602.813,7071441.6
1514514606.165,7071442.1
1514514609.516,7071442.6
1514514612.869,7071442.4
1514514616.221,7071441.4
1514514619.573,7071442.4
1514514622.925,7071443.9
1514514626.278,7071444.1
1514514629.629,7071444.8
1514514632.982,7071444.7
1514514636.334,7071445.4
1514514639.686,7071445.7
1514514643.038,7071446.7
1514514646.390,7071445.7
1514514649.742,7071445.7
1514514653.095,7071445.9
1514514656.446,7071445.7
1514514659.798,7071445.4
1514514663.151,7071445.2
1514514666.502,7071445.4
1514514669.855,7071444.9
1514514673.207,7071444.9
1514514676.559,7071445.7
1514514679.911,7071445.4
1514514683.263,7071444.9
1514514686.616,7071445.2
1514514689.967,7071444.1
1514514693.319,7071445.2
1514514696.672,7071443.9
1514514700.024,7071443.9
1514514703.376,7071443.6
1514514706.728,7071442.4
1514514710.080,7071443.4
1514514713.432,7071444.1
1514514716.785,7071443.9
1514514720.136,7071444.9
1514514723.489,7071443.4
1514514726.841,7071442.6
1514514730.193,7071444.1
1514514733.545,7071444.1
1514514736.897,7071443.1
1514514740.249,7071443.1
1514514743.602,7071443.4
1514514746.954,7071443.6
1514514750.305,7071443.9
1514514753.658,7071443.4
1514514757.010,7071442.6
1514514760.362,7071442.1
1514514763.714,7071443.4
1514514767.066,7071444.4
1514514770.419,7071444.4
1514514773.770,7071441.6
1514514777.123,7071440.1
1514514780.474,7071440.6
1514514783.827,7071440.3
1514514787.179,7071439.3
1514514790.531,7071440.1
1514514793.883,7071441.6
1514514797.235,7071441.4
1514514800.587,7071440.9
1514514803.939,7071440.6
1514514807.292,7071441.9
1514514810.643,7071442.4
1514514813.996,7071441.1
1514514817.347,7071440.6
1514514820.700,7071441.9
1514514824.052,7071441.1
1514514827.404,7071441.9
1514514830.756,7071439.6
1514514834.108,7071440.6
1514514837.460,7071440.6
1514514840.813,7071443.9
1514514844.165,7071445.2
1514514847.517,7071445.7
1514514850.868,7071446.4
1514514854.221,7071445.7
1514514857.574,7071445.9
1514514860.925,7071445.9
1514514864.278,7071444.4
1514514867.629,7071445.9
1514514870.982,7071449.2
1514514874.333,7071448.5
1514514877.686,7071448.0
1514514881.038,7071448.2
1514514884.390,7071445.9
1514514887.742,7071445.9
1514514891.094,7071444.9
1514514894.447,7071445.4
1514514897.798,7071445.2
1514514901.151,7071446.2
1514514904.503,7071444.7
1514514907.855,7071446.4
1514514911.207,7071445.2
1514514914.559,7071446.2
1514514917.911,7071445.9
1514514921.263,7071445.7
1514514924.616,7071444.7
1514514927.967,7071446.4
1514514931.320,7071445.7
1514514934.672,7071445.2
1514514938.024,7071445.2
1514514941.376,7071446.9
1514514944.728,7071444.7
1514514948.080,7071446.7
1514514951.432,7071445.9
1514514954.785,7071446.4
1514514958.137,7071445.7
1514514961.489,7071444.9
1514514964.841,7071445.2
1514514968.193,7071446.4
1514514971.545,7071446.4
1514514974.898,7071446.4
1514514978.249,7071446.7
1514514981.602,7071446.9
1514514984.954,7071446.9
1514514988.306,7071446.2
1514514991.658,7071446.2
1514514995.010,7071445.2
1514514998.362,7071444.4
1514515001.715,7071444.9
1514515005.066,7071446.9
1514515008.418,7071445.2
1514515011.771,7071444.7
1514515015.122,7071446.9
1514515018.475,7071446.4
1514515021.827,7071445.7
1514515025.179,7071444.7
1514515028.531,7071445.9
1514515031.883,7071445.7
1514515035.235,7071446.4
1514515038.588,7071444.4
1514515041.940,7071445.7
1514515045.292,7071445.7
1514515048.644,7071447.7
1514515051.996,7071448.5
1514515055.349,7071446.2
1514515058.700,7071445.9
1514515062.053,7071446.4
1514515065.404,7071446.2
1514515068.757,7071447.4
1514515072.109,7071445.7
1514515075.461,7071447.7
1514515078.813,7071448.5
1514515082.165,7071448.2
1514515085.517,7071447.7
1514515088.870,7071447.7
1514515092.221,7071448.0
1514515095.574,7071448.0
1514515098.926,7071447.4
1514515102.278,7071447.4
1514515105.630,7071445.2
1514515108.982,7071446.9
1514515112.334,7071445.4
1514515115.686,7071445.2
1514515119.038,7071445.7
1514515122.391,7071445.2
1514515125.743,7071443.9
1514515129.095,7071445.9
1514515132.447,7071445.2
1514515135.800,7071446.2
1514515139.151,7071445.4
1514515142.504,7071447.4
1514515145.855,7071446.2
1514515149.208,7071445.7
1514515152.559,7071445.7
1514515155.912,7071446.2
1514515159.265,7071448.2
1514515162.616,7071445.9
1514515165.969,7071447.2
1514515169.320,7071445.2
1514515172.673,7071447.2
1514515176.024,7071446.4
1514515179.377,7071445.8
1514515182.728,7071446.2
1514515186.081,7071446.9
1514515189.433,7071446.2
1514515192.785,7071445.9
