timestamp,ltz1000-p17-powercycle
1514588536.007,7071457.8
1514588539.359,7071455.6
1514588542.711,7071458.9
1514588546.064,7071456.3
1514588549.415,7071447.7
1514588552.767,7071451.0
1514588556.120,7071454.5
1514588559.471,7071452.8
1514588562.824,7071448.2
1514588566.175,7071448.5
1514588569.528,7071453.5
1514588572.880,7071452.0
1514588576.232,7071451.8
1514588579.584,7071447.2
1514588582.936,7071452.3
1514588586.288,7071446.9
1514588589.640,7071445.4
1514588592.993,7071444.4
1514588596.344,7071442.6
1514588599.697,7071443.4
1514588603.049,7071442.1
1514588606.401,7071442.6
1514588609.753,7071441.6
1514588613.105,7071442.0
1514588616.457,7071442.9
1514588619.810,7071444.7
1514588623.161,7071443.4
1514588626.513,7071444.4
1514588629.866,7071443.4
1514588633.218,7071442.4
1514588636.569,7071441.4
1514588639.922,7071441.1
1514588643.274,7071441.4
1514588646.626,7071440.9
1514588649.979,7071444.4
1514588653.330,7071445.9
1514588656.682,7071445.4
1514588660.035,7071445.4
1514588663.386,7071445.7
1514588666.739,7071444.1
1514588670.092,7071444.9
1514588673.443,7071448.5
1514588676.796,7071447.4
1514588680.147,7071445.7
1514588683.500,7071443.9
1514588686.852,7071446.9
1514588690.204,7071448.2
1514588693.556,7071449.2
1514588696.908,7071446.2
1514588700.260,7071447.4
1514588703.613,7071446.4
1514588706.965,7071446.4
1514588710.317,7071448.0
1514588713.668,7071447.2
1514588717.021,7071449.5
1514588720.373,7071449.7
1514588723.725,7071446.9
1514588727.077,7071450.2
1514588730.430,7071448.7
1514588733.781,7071449.2
1514588737.134,7071448.5
1514588740.486,7071443.4
1514588743.837,7071446.7
1514588747.190,7071451.0
1514588750.543,7071446.7
1514588753.894,7071448.0
1514588757.246,7071447.7
1514588760.599,7071449.0
1514588763.950,7071449.0
1514588767.303,7071449.2
1514588770.655,7071449.2
1514588774.007,7071448.7
1514588777.359,7071446.4
1514588780.711,7071443.9
1514588784.063,7071445.4
1514588787.416,7071443.9
1514588790.768,7071447.2
1514588794.120,7071446.9
1514588797.471,7071446.7
1514588800.824,7071442.6
1514588804.176,7071436.5
1514588807.528,7071441.1
1514588810.881,7071443.1
1514588814.232,7071440.9
1514588817.584,7071442.1
1514588820.937,7071442.4
1514588824.289,7071445.9
1514588827.641,7071446.9
1514588830.993,7071445.7
1514588834.345,7071447.4
1514588837.697,7071445.2
1514588841.050,7071446.2
1514588844.401,7071437.3
1514588847.754,7071432.5
1514588851.106,7071442.4
1514588854.458,7071440.3
1514588857.810,7071440.3
1514588861.162,7071441.6
1514588864.514,7071447.2
1514588867.866,7071437.6
1514588871.219,7071435.5
1514588874.571,7071439.6
1514588877.923,7071438.6
1514588881.275,7071440.6
1514588884.627,7071430.7
1514588887.979,7071429.9
1514588891.331,7071441.9
1514588894.683,7071441.9
1514588898.036,7071443.9
1514588901.387,7071445.4
1514588904.740,7071436.3
1514588908.092,7071431.2
1514588911.444,7071429.9
1514588914.796,7071431.7
1514588918.148,7071430.7
1514588921.501,7071435.0
1514588924.852,7071442.9
1514588928.204,7071443.1
1514588931.556,7071431.5
1514588934.909,7071432.7
1514588938.261,7071431.2
1514588941.613,7071430.5
1514588944.965,7071432.7
1514588948.317,7071432.2
1514588951.669,7071431.5
1514588955.021,7071433.0
1514588958.373,7071432.0
1514588961.726,7071433.8
1514588965.077,7071431.0
1514588968.429,7071432.5
1514588971.782,7071431.7
1514588975.133,7071431.2
1514588978.486,7071428.7
1514588981.837,7071429.7
1514588985.190,7071429.2
1514588988.542,7071428.4
1514588991.894,7071428.9
1514588995.246,7071429.2
1514588998.599,7071429.7
1514589001.950,7071437.3
1514589005.303,7071437.3
1514589008.654,7071437.3
1514589012.007,7071438.1
1514589015.359,7071436.8
1514589018.711,7071438.1
1514589022.063,7071438.1
1514589025.416,7071437.0
1514589028.767,7071439.1
1514589032.120,7071438.8
1514589035.471,7071438.1
1514589038.824,7071437.3
1514589042.176,7071436.8
1514589045.528,7071437.0
1514589048.880,7071437.3
1514589052.232,7071438.8
1514589055.585,7071437.3
1514589058.936,7071437.3
1514589062.289,7071437.0
1514589065.641,7071437.0
1514589068.992,7071436.3
1514589072.345,7071438.1
1514589075.696,7071437.0
1514589079.049,7071438.8
1514589082.401,7071437.8
1514589085.753,7071437.6
1514589089.105,7071439.1
1514589092.458,7071438.1
1514589095.810,7071438.8
1514589099.162,7071437.6
1514589102.513,7071435.5
1514589105.866,7071435.0
1514589109.218,7071433.8
1514589112.570,7071432.7
1514589115.922,7071433.0
1514589119.274,7071432.0
1514589122.626,7071431.7
1514589125.979,7071433.0
1514589129.331,7071434.5
1514589132.683,7071436.0
1514589136.034,7071437.8
1514589139.387,7071437.6
1514589142.739,7071437.3
1514589146.091,7071436.0
1514589149.443,7071436.8
1514589152.795,7071444.1
1514589156.148,7071443.9
1514589159.499,7071443.4
1514589162.852,7071445.4
1514589166.204,7071444.4
1514589169.555,7071443.9
1514589172.908,7071443.1
1514589176.260,7071440.6
1514589179.612,7071441.6
1514589182.964,7071442.1
1514589186.317,7071441.9
1514589189.668,7071440.0
1514589193.020,7071439.1
1514589196.373,7071439.8
1514589199.724,7071445.7
1514589203.077,7071445.2
1514589206.429,7071446.2
1514589209.781,7071445.2
1514589213.133,7071445.2
1514589216.485,7071445.9
1514589219.838,7071445.2
1514589223.189,7071444.7
1514589226.542,7071444.1
1514589229.894,7071448.2
1514589233.246,7071447.7
1514589236.598,7071446.4
1514589239.950,7071448.0
1514589243.303,7071448.5
1514589246.654,7071452.3
1514589250.007,7071458.3
1514589253.358,7071457.3
1514589256.711,7071457.6
1514589260.063,7071456.6
1514589263.415,7071457.3
1514589266.767,7071458.3
1514589270.119,7071458.9
1514589273.471,7071449.0
1514589276.823,7071445.7
1514589280.176,7071446.2
1514589283.527,7071446.4
1514589286.880,7071447.4
1514589290.232,7071446.7
1514589293.584,7071447.4
1514589296.936,7071445.7
1514589300.288,7071448.7
1514589303.640,7071458.3
1514589306.993,7071455.8
1514589310.345,7071446.4
1514589313.697,7071446.7
1514589317.049,7071447.2
1514589320.400,7071445.7
1514589323.753,7071445.4
1514589327.106,7071446.2
1514589330.457,7071447.2
1514589333.810,7071446.7
1514589337.161,7071448.0
1514589340.514,7071451.2
1514589343.865,7071447.7
1514589347.218,7071448.5
1514589350.570,7071448.7
1514589353.922,7071449.0
1514589357.274,7071449.0
1514589360.626,7071448.5
1514589363.979,7071448.7
1514589367.330,7071448.2
1514589370.683,7071446.4
1514589374.035,7071447.7
1514589377.387,7071449.5
1514589380.739,7071447.7
1514589384.091,7071448.7
1514589387.443,7071446.9
1514589390.796,7071447.7
1514589394.147,7071449.5
1514589397.500,7071449.7
1514589400.852,7071448.7
