timestamp,ltz1000-p17-negcase
1514591779.352,7071512.1
1514591782.705,7071511.6
1514591786.057,7071511.6
1514591789.409,7071510.8
1514591793.041,7071510.6
1514591796.113,7071510.8
1514591799.465,7071509.8
1514591802.817,7071508.3
1514591806.169,7071505.3
1514591809.522,7071505.8
1514591812.873,7071507.3
1514591816.226,7071507.3
1514591819.578,7071505.5
1514591822.929,7071505.5
1514591826.282,7071505.0
1514591829.634,7071505.0
1514591832.986,7071505.0
1514591836.338,7071504.5
1514591839.690,7071503.2
1514591843.042,7071503.5
1514591846.395,7071504.7
1514591849.746,7071504.2
1514591853.099,7071503.5
1514591856.451,7071503.7
1514591859.803,7071503.5
1514591863.155,7071502.7
1514591866.507,7071503.5
1514591869.859,7071503.5
1514591873.212,7071503.5
1514591876.563,7071502.2
1514591879.916,7071503.0
1514591883.267,7071502.7
1514591886.620,7071502.2
1514591889.972,7071503.5
1514591893.324,7071502.2
1514591896.676,7071503.2
1514591900.028,7071503.5
1514591903.380,7071503.5
1514591906.732,7071501.5
1514591910.085,7071501.7
1514591913.436,7071502.5
1514591916.789,7071502.5
1514591920.141,7071500.7
1514591923.493,7071501.7
1514591926.844,7071501.2
1514591930.197,7071500.9
1514591933.549,7071501.5
1514591936.901,7071502.2
1514591940.253,7071501.2
1514591943.606,7071500.4
1514591946.957,7071500.7
1514591950.309,7071500.4
1514591953.662,7071501.5
1514591957.013,7071499.2
1514591960.366,7071500.4
1514591963.718,7071500.2
1514591967.070,7071499.2
1514591970.422,7071500.4
1514591973.774,7071500.9
1514591977.126,7071502.0
1514591980.478,7071499.9
1514591983.830,7071501.5
1514591987.183,7071500.2
1514591990.535,7071500.7
1514591993.887,7071499.9
1514591997.239,7071500.4
1514592000.591,7071499.9
1514592003.943,7071498.9
1514592007.295,7071500.4
1514592010.647,7071497.1
1514592013.999,7071498.2
1514592017.352,7071498.2
1514592020.703,7071497.6
1514592024.055,7071497.6
1514592027.408,7071498.7
1514592030.760,7071498.9
1514592034.112,7071499.4
1514592037.464,7071499.2
1514592040.816,7071497.6
1514592044.169,7071497.9
1514592047.520,7071497.6
1514592050.872,7071497.9
1514592054.224,7071498.4
1514592057.577,7071498.4
1514592060.929,7071497.6
1514592064.281,7071498.7
1514592067.633,7071496.1
1514592070.985,7071498.2
1514592074.337,7071496.9
1514592077.689,7071496.6
1514592081.042,7071497.4
1514592084.393,7071497.1
1514592087.746,7071499.7
1514592091.098,7071498.2
1514592094.450,7071497.4
1514592097.802,7071498.9
1514592101.154,7071498.7
1514592104.506,7071498.4
1514592107.859,7071498.9
1514592111.210,7071498.4
1514592114.562,7071499.4
1514592117.915,7071498.4
1514592121.266,7071498.2
1514592124.619,7071498.2
1514592127.971,7071496.9
1514592131.323,7071497.1
1514592134.675,7071497.9
1514592138.028,7071497.4
1514592141.379,7071496.1
1514592144.731,7071497.9
1514592148.084,7071497.6
1514592151.435,7071499.4
1514592154.788,7071497.4
1514592158.140,7071498.7
