timestamp,ltz1000-p17-cotton-rounds
1514610403.575,7071505.0
1514610406.927,7071503.7
1514610410.279,7071503.7
1514610413.632,7071504.7
1514610416.983,7071504.0
1514610420.335,7071502.5
1514610423.688,7071503.7
1514610427.040,7071502.2
1514610430.392,7071503.0
1514610433.744,7071502.0
1514610437.096,7071502.0
1514610440.448,7071502.5
1514610443.800,7071501.2
1514610447.152,7071501.5
1514610450.504,7071501.7
1514610453.857,7071502.2
1514610457.208,7071500.7
1514610460.561,7071500.7
1514610463.912,7071501.2
1514610467.265,7071501.5
1514610470.617,7071500.9
1514610473.969,7071500.9
1514610477.321,7071500.7
1514610480.673,7071500.2
1514610484.025,7071499.9
1514610487.378,7071498.9
1514610490.729,7071499.4
1514610494.082,7071499.9
1514610497.434,7071500.4
1514610500.786,7071499.4
1514610504.138,7071499.9
1514610507.490,7071498.9
1514610510.842,7071498.4
1514610514.195,7071498.9
1514610517.546,7071500.2
1514610520.899,7071500.7
1514610524.250,7071499.2
1514610527.603,7071498.9
1514610530.954,7071499.7
1514610534.307,7071500.2
1514610537.659,7071499.4
1514610541.011,7071498.9
1514610544.363,7071499.2
1514610547.716,7071499.9
1514610551.067,7071498.4
1514610554.420,7071498.9
1514610557.771,7071498.2
1514610561.124,7071499.7
1514610564.476,7071498.9
1514610567.828,7071498.4
1514610571.180,7071497.1
1514610574.533,7071498.4
1514610577.884,7071498.7
1514610581.237,7071497.9
1514610584.589,7071498.9
1514610587.940,7071497.9
1514610591.293,7071498.4
1514610594.645,7071497.1
1514610597.997,7071497.4
1514610601.349,7071498.4
1514610604.701,7071497.9
1514610608.053,7071498.2
1514610611.405,7071497.1
1514610614.758,7071497.6
1514610618.110,7071496.6
1514610621.462,7071497.1
1514610624.813,7071497.1
1514610628.166,7071497.9
1514610631.518,7071498.4
1514610634.870,7071498.2
1514610638.222,7071497.6
1514610641.575,7071497.4
1514610644.926,7071497.1
1514610648.278,7071496.6
1514610651.631,7071496.9
1514610654.983,7071496.6
1514610658.335,7071497.9
1514610661.687,7071497.4
1514610665.039,7071496.1
1514610668.392,7071496.4
1514610671.743,7071497.6
1514610675.096,7071497.6
1514610678.448,7071497.6
1514610681.800,7071496.6
1514610685.152,7071496.4
1514610688.504,7071497.1
1514610691.856,7071496.4
1514610695.209,7071496.6
1514610698.560,7071496.6
