timestamp,ltz1000-3-to-4-lipo-3s
1515389006.441,17532.4
1515389009.785,17533.9
1515389013.131,17536.7
1515389016.476,17538.4
1515389019.822,17540.5
1515389023.168,17542.0
1515389026.512,17544.4
1515389029.858,17546.8
1515389033.204,17548.1
1515389036.549,17549.5
1515389039.895,17550.5
1515389043.240,17552.0
1515389046.585,17552.7
1515389049.930,17553.7
1515389053.276,17555.0
1515389056.622,17555.1
1515389059.967,17556.5
1515389063.313,17557.2
1515389066.657,17557.3
1515389070.003,17557.9
1515389073.349,17558.8
1515389076.694,17558.6
1515389080.040,17559.6
1515389083.385,17560.3
1515389086.731,17560.7
1515389090.076,17561.1
1515389093.421,17561.5
1515389096.766,17561.9
1515389100.112,17562.1
1515389103.457,17563.0
1515389106.803,17563.2
1515389110.148,17563.7
1515389113.494,17563.3
1515389116.839,17563.5
1515389120.185,17563.7
1515389123.530,17564.1
1515389126.876,17564.5
1515389130.221,17564.3
1515389133.566,17566.4
1515389136.912,17566.7
1515389140.257,17567.6
1515389143.603,17568.3
1515389146.948,17566.5
1515389150.294,17566.5
1515389153.639,17566.3
1515389156.984,17565.6
1515389160.330,17565.4
1515389163.675,17565.1
1515389167.021,17565.3
1515389170.365,17565.0
1515389173.711,17565.5
1515389177.057,17568.2
1515389180.402,17578.8
1515389183.748,17571.4
1515389187.093,17569.6
1515389190.438,17575.9
1515389193.783,17576.9
1515389197.129,17574.7
1515389200.475,17567.2
1515389203.820,17566.3
1515389207.165,17566.5
1515389210.511,17567.4
1515389213.856,17567.9
1515389217.202,17567.7
1515389220.547,17566.9
1515389223.893,17567.1
1515389227.238,17566.1
1515389230.583,17565.7
1515389233.928,17566.1
1515389237.274,17566.5
1515389240.619,17566.7
1515389243.965,17567.0
1515389247.310,17566.7
1515389250.656,17570.2
1515389254.001,17577.0
1515389257.347,17578.9
1515389260.692,17572.3
1515389264.037,17567.4
1515389267.383,17569.0
1515389270.728,17572.5
1515389274.074,17569.9
1515389277.419,17569.9
1515389280.764,17569.7
1515389284.110,17571.7
1515389287.455,17569.3
1515389290.801,17568.2
1515389294.147,17566.8
1515389297.491,17566.7
1515389300.837,17566.3
1515389304.182,17566.0
1515389307.528,17566.6
1515389310.873,17566.4
1515389314.218,17566.3
