resistance,temp_c
10000.405,26.004
10000.405,25.996
10000.405,25.99
10000.405,26.022
10000.405,26.0
10000.405,26.004
10000.405,25.992
10000.405,26.003
10000.405,26.003
10000.405,25.998
10000.405,26.003
10000.405,25.996
10000.405,25.998
10000.407,25.998
10000.407,26.001
10000.407,26.009
10000.407,26.008
10000.407,25.998
10000.407,25.998
10000.407,25.998
10000.407,26.005
10000.407,26.0
10000.407,26.001
10000.407,26.015
10000.407,26.008
10000.407,26.005
10000.406,26.008
10000.406,26.009
10000.406,26.004
10000.406,25.993
10000.406,25.989
10000.406,26.011
10000.406,26.018
10000.406,26.011
10000.406,26.001
10000.406,26.018
10000.406,26.003
10000.406,26.001
10000.406,25.998
10000.406,26.011
10000.408,26.014
10000.408,26.016
10000.408,26.007
10000.408,26.005
10000.408,25.993
10000.408,25.998
10000.408,25.997
10000.408,26.007
10000.408,26.0
10000.408,26.004
10000.408,26.007
10000.408,26.003
10000.408,25.993
10000.407,26.011
10000.407,26.015
10000.407,26.008
10000.407,26.02
10000.407,26.014
10000.407,26.008
10000.407,26.003
10000.407,25.994
10000.407,26.001
10000.407,26.011
10000.407,26.008
10000.407,26.005
10000.407,25.996
10000.407,26.001
10000.407,26.004
10000.407,25.997
10000.407,25.997
10000.407,26.004
10000.407,26.008
10000.407,26.001
10000.407,25.997
10000.407,26.003
10000.407,26.012
10000.407,26.003
10000.407,26.001
10000.407,26.005
10000.407,26.02
10000.406,26.0
10000.406,26.001
10000.406,26.007
10000.406,25.996
10000.406,26.004
10000.406,26.003
10000.406,25.997
10000.406,26.004
10000.406,26.001
10000.406,26.004
10000.406,26.003
10000.406,26.008
10000.406,25.996
10000.407,26.001
10000.407,26.008
10000.407,26.0
10000.407,25.998
10000.407,25.992
10000.407,26.001
10000.407,26.0
10000.407,25.998
10000.407,25.994
10000.407,25.993
10000.407,26.005
10000.407,26.009
10000.407,26.005
10000.407,26.019
10000.406,26.0
10000.406,26.012
10000.406,26.011
10000.406,25.997
10000.406,26.015
10000.406,26.018
10000.406,25.994
10000.406,26.003
10000.406,25.996
10000.406,25.993
10000.406,25.994
10000.406,26.001
10000.406,25.993
10000.407,25.994
10000.407,26.003
10000.407,26.001
10000.407,26.0
10000.407,26.0
10000.407,26.003
10000.407,26.011
10000.407,26.014
10000.407,26.019
10000.407,26.012
10000.407,26.003
10000.407,25.99
10000.407,26.009
10000.407,26.012
10000.406,25.99
10000.406,26.019
10000.406,25.996
10000.406,26.005
10000.406,26.012
10000.406,26.008
10000.406,25.993
10000.406,26.004
10000.406,25.987
10000.406,25.998
10000.406,26.007
10000.406,25.994
10000.406,25.992
10000.407,26.0
10000.407,25.998
10000.407,26.003
10000.407,26.001
10000.407,26.014
10000.407,26.003
10000.407,26.0
10000.407,26.015
10000.407,26.005
10000.407,26.003
10000.407,26.005
10000.407,25.993
10000.407,26.005
10000.407,25.993
10000.406,26.005
10000.406,26.0
10000.406,25.994
10000.406,26.014
10000.406,26.003
10000.406,26.004
10000.406,26.009
10000.406,25.997
10000.406,26.018
10000.406,25.992
10000.406,26.003
10000.406,25.996
10000.406,25.998
10000.407,26.001
10000.407,26.003
10000.407,26.0
10000.407,26.005
10000.407,25.99
10000.407,26.001
10000.407,25.993
10000.407,26.009
10000.407,25.99
10000.407,26.003
10000.407,26.007
10000.407,25.997
10000.407,26.0
10000.407,26.022
10000.407,26.0
10000.407,26.001
10000.407,26.003
10000.407,26.007
10000.407,26.008
10000.407,25.985
10000.407,25.998
10000.407,26.0
10000.407,25.99
10000.407,26.007
10000.407,25.989
10000.407,25.979
10000.407,25.992
10000.407,25.994
10000.407,25.994
10000.407,26.011
10000.407,26.0
10000.407,26.004
10000.407,26.009
10000.407,26.011
10000.407,26.005
10000.407,26.015
10000.407,26.012
10000.407,26.012
10000.407,25.998
10000.407,26.005
10000.407,26.004
10000.407,26.003
10000.407,25.989
10000.407,26.004
10000.407,25.993
10000.407,25.994
10000.407,25.987
10000.407,25.994
10000.407,26.007
10000.407,26.007
10000.407,25.998
10000.407,25.997
10000.407,26.001
10000.407,26.009
10000.408,26.007
10000.408,25.989
10000.408,26.0
10000.408,26.007
10000.408,26.005
10000.408,26.0
10000.408,26.0
10000.408,26.009
10000.408,26.009
10000.408,26.018
10000.408,26.015
10000.408,26.003
10000.408,25.996
10000.408,26.004
10000.408,25.998
10000.408,25.994
10000.408,25.986
10000.408,25.994
10000.408,25.994
10000.408,25.985
10000.408,25.998
10000.408,25.994
10000.408,26.007
10000.408,26.001
10000.408,26.003
10000.408,26.012
10000.405,26.012
10000.405,26.007
10000.405,26.005
10000.405,25.987
10000.405,25.997
10000.405,25.993
10000.405,26.003
10000.405,26.0
10000.405,26.0
10000.405,26.005
10000.405,26.011
10000.405,26.007
10000.405,26.012
10000.405,26.003
10000.406,26.016
10000.406,25.993
10000.406,25.996
10000.406,25.997
10000.406,25.989
10000.406,25.996
10000.406,26.007
10000.406,26.007
10000.406,26.001
10000.406,26.004
10000.406,26.0
10000.406,26.004
10000.406,25.989
10000.406,25.993
10000.406,25.998
10000.406,26.004
10000.406,25.997
10000.406,26.001
10000.406,26.005
10000.406,25.993
10000.406,25.997
10000.406,26.019
10000.406,25.994
10000.406,26.011
10000.406,26.003
10000.406,26.005
10000.406,25.998
10000.407,25.996
10000.407,26.007
10000.407,25.998
10000.407,26.007
10000.407,25.997
10000.407,26.009
10000.407,26.009
10000.407,26.011
10000.407,26.007
10000.407,26.003
10000.407,25.994
10000.407,26.007
10000.407,26.001
10000.405,26.001
10000.405,26.005
10000.405,25.997
10000.405,25.994
10000.405,26.001
10000.405,25.996
10000.405,26.003
10000.405,25.998
10000.405,26.007
10000.405,25.99
10000.405,25.994
10000.405,26.0
10000.405,25.987
10000.405,26.003
10000.408,25.987
10000.408,25.996
10000.408,25.989
10000.408,26.014
10000.408,26.016
10000.408,26.004
10000.408,25.998
10000.408,26.003
10000.408,25.989
10000.408,26.007
10000.408,25.996
10000.408,26.003
10000.408,25.997
10000.407,26.0
10000.407,25.997
10000.407,26.003
10000.407,25.994
10000.407,25.989
10000.407,26.003
10000.407,26.005
10000.407,26.004
10000.407,25.994
10000.407,25.998
10000.407,26.014
10000.407,26.007
10000.407,26.012
10000.409,26.001
10000.409,25.996
10000.409,26.008
10000.409,25.997
10000.409,25.985
10000.409,25.997
10000.409,25.99
10000.409,26.016
10000.409,26.014
10000.409,26.005
10000.409,26.003
10000.409,26.012
10000.409,26.0
10000.409,26.0
10000.406,25.986
10000.406,26.044
10000.406,26.077
10000.406,26.153
10000.406,26.237
10000.406,26.347
10000.406,26.438
10000.406,26.557
10000.406,26.652
10000.406,26.771
10000.406,26.858
10000.406,26.95
10000.406,27.025
10000.402,27.09
10000.402,27.155
10000.402,27.173
10000.402,27.215
10000.402,27.211
10000.402,27.222
10000.402,27.223
10000.402,27.202
10000.402,27.194
10000.402,27.172
10000.402,27.158
10000.402,27.137
10000.402,27.116
10000.402,27.1
10000.403,27.063
10000.403,27.041
10000.403,27.011
10000.403,26.994
10000.403,26.973
10000.403,26.962
10000.403,26.93
10000.403,26.916
10000.403,26.915
10000.403,26.916
10000.403,26.912
10000.403,26.908
10000.403,26.912
10000.412,26.915
10000.412,26.918
10000.412,26.923
10000.412,26.94
10000.412,26.952
10000.412,26.958
10000.412,26.965
10000.412,26.984
10000.412,26.99
10000.412,26.995
10000.412,26.998
10000.412,27.013
10000.412,27.015
10000.413,27.015
10000.413,27.012
10000.413,27.011
10000.413,27.008
10000.413,27.015
10000.413,27.018
10000.413,27.02
10000.413,26.997
10000.413,27.013
10000.413,27.0
10000.413,26.998
10000.413,26.998
10000.413,26.99
10000.413,27.002
10000.414,26.994
10000.414,26.995
10000.414,26.993
10000.414,26.993
10000.414,26.993
10000.414,26.991
10000.414,27.001
10000.414,26.995
10000.414,27.004
10000.414,27.0
10000.414,27.007
10000.414,27.015
10000.414,27.007
10000.416,27.013
10000.416,27.013
10000.416,27.002
10000.416,27.002
10000.416,26.995
10000.416,27.016
10000.416,26.997
10000.416,27.0
10000.416,27.007
10000.416,27.011
10000.416,27.015
10000.416,27.018
10000.416,27.012
10000.416,27.008
10000.417,27.018
10000.417,27.009
10000.417,27.0
10000.417,27.029
10000.417,27.008
10000.417,27.0
10000.417,27.007
10000.417,27.016
10000.417,27.016
10000.417,27.022
10000.417,27.009
10000.417,27.012
10000.417,27.009
10000.416,27.011
10000.416,27.009
10000.416,27.009
10000.416,27.011
10000.416,27.008
10000.416,27.009
10000.416,27.016
10000.416,27.005
10000.416,27.025
10000.416,27.008
10000.416,27.019
10000.416,27.012
10000.416,27.015
10000.416,27.009
10000.418,27.015
10000.418,27.02
10000.418,27.022
10000.418,27.027
10000.418,27.025
10000.418,27.018
10000.418,27.012
10000.418,27.019
10000.418,27.011
10000.418,27.015
10000.418,27.015
10000.418,27.025
10000.418,27.013
10000.418,27.018
10000.418,27.012
10000.418,27.012
10000.418,27.015
10000.418,27.025
10000.418,27.007
10000.418,27.022
10000.418,27.032
10000.418,27.026
10000.418,27.041
10000.418,27.016
10000.418,27.025
10000.418,27.013
10000.418,27.02
10000.418,27.015
10000.418,27.009
10000.418,27.02
10000.418,27.019
10000.418,27.034
10000.418,27.019
10000.418,27.023
10000.418,27.033
10000.418,27.011
10000.418,27.022
10000.418,27.008
10000.418,27.025
10000.418,27.02
10000.42,27.03
10000.42,27.019
10000.42,27.007
10000.42,27.019
10000.42,27.011
10000.42,27.009
10000.42,27.013
10000.42,27.0
10000.42,27.025
10000.42,27.02
10000.42,27.034
10000.42,27.023
10000.42,27.016
10000.418,27.008
10000.418,27.023
10000.418,27.02
10000.418,27.025
10000.418,27.029
10000.418,27.023
10000.418,27.029
10000.418,27.032
10000.418,27.018
10000.418,27.03
10000.418,27.015
10000.418,27.016
10000.418,27.013
10000.418,27.009
10000.418,27.013
10000.418,27.008
10000.418,27.015
10000.418,27.012
10000.418,27.02
10000.418,27.032
10000.418,27.015
10000.418,27.019
10000.418,27.012
10000.418,27.008
10000.418,27.022
10000.418,27.018
10000.418,27.011
10000.42,27.02
10000.42,27.03
10000.42,27.013
10000.42,27.012
10000.42,27.018
10000.42,27.005
10000.42,27.009
10000.42,27.02
10000.42,27.016
10000.42,27.015
10000.42,27.012
10000.42,27.018
10000.42,27.033
10000.419,27.027
10000.419,27.02
10000.419,27.032
10000.419,27.026
10000.419,27.023
10000.419,27.018
10000.419,27.022
10000.419,27.027
10000.419,27.03
10000.419,27.018
10000.419,27.025
10000.419,27.009
10000.419,27.018
10000.419,27.019
10000.421,27.023
10000.421,27.02
10000.421,27.023
10000.421,27.016
10000.421,27.032
10000.421,27.02
10000.421,27.007
10000.421,27.013
10000.421,27.025
10000.421,27.016
10000.421,27.009
10000.421,27.012
10000.421,27.007
10000.42,27.012
10000.42,27.009
10000.42,27.018
10000.42,27.002
10000.42,27.02
10000.42,27.013
10000.42,27.009
10000.42,27.022
10000.42,27.012
10000.42,27.012
10000.42,27.015
10000.42,27.041
10000.42,27.018
10000.42,27.019
10000.421,27.023
10000.421,27.007
10000.421,27.025
10000.421,27.012
10000.421,27.013
10000.421,27.005
10000.421,27.019
10000.421,27.015
10000.421,27.032
10000.421,27.022
10000.421,27.026
10000.421,27.013
10000.421,27.018
10000.42,27.005
10000.42,27.018
10000.42,27.012
10000.42,27.018
10000.42,27.008
10000.42,27.012
10000.42,27.011
10000.42,27.007
10000.42,27.002
10000.42,27.008
10000.42,27.002
10000.42,27.015
10000.42,27.023
10000.419,27.004
10000.419,27.005
10000.419,27.033
10000.419,27.029
10000.419,27.013
10000.419,27.023
10000.419,27.018
10000.419,27.016
10000.419,27.025
10000.419,27.015
10000.419,27.011
10000.419,27.019
10000.419,27.02
10000.419,27.011
10000.419,27.022
10000.419,27.005
10000.419,27.019
10000.419,27.009
10000.419,27.015
10000.419,27.009
10000.419,27.02
10000.419,27.012
10000.419,27.018
10000.419,27.011
10000.419,27.004
10000.419,27.015
10000.419,27.002
10000.42,27.011
10000.42,27.016
10000.42,27.012
10000.42,27.012
10000.42,27.016
10000.42,27.018
10000.42,27.019
10000.42,27.011
10000.42,27.023
10000.42,27.013
10000.42,27.011
10000.42,27.012
10000.42,27.009
10000.42,27.008
10000.42,27.005
10000.42,27.002
10000.42,27.009
10000.42,27.011
10000.42,27.004
10000.42,27.008
10000.42,27.02
10000.42,27.008
10000.42,27.002
10000.42,27.008
10000.42,27.027
10000.42,27.008
10000.42,27.015
10000.42,27.012
10000.42,27.027
10000.42,27.001
10000.42,27.009
10000.42,27.005
10000.42,27.002
10000.42,27.02
10000.42,27.019
10000.42,27.016
10000.42,27.015
10000.42,27.0
10000.42,27.018
10000.42,27.002
10000.42,27.009
10000.42,27.005
10000.42,27.016
10000.42,27.011
10000.42,27.009
10000.42,27.012
10000.42,27.018
10000.42,27.0
10000.42,27.016
10000.42,27.015
10000.42,27.013
10000.42,27.011
10000.42,27.018
10000.42,27.055
