temp_c,ppm,resistance
25.992,0.800,10000.41
26.001,0.800,10000.41
25.996,0.400,10000.406
26.003,0.400,10000.406
26.012,0.400,10000.406
26.007,0.400,10000.406
26.007,0.400,10000.406
26.009,0.400,10000.406
26.025,0.400,10000.406
26.014,0.400,10000.406
26.0,0.400,10000.406
26.009,0.400,10000.406
26.014,0.400,10000.406
26.0,0.400,10000.406
26.014,0.400,10000.406
26.014,0.400,10000.406
26.016,0.800,10000.41
25.996,0.800,10000.41
26.0,0.800,10000.41
26.004,0.800,10000.41
26.016,0.800,10000.41
26.019,0.800,10000.41
26.004,0.800,10000.41
26.001,0.800,10000.41
26.001,0.800,10000.41
26.022,0.800,10000.41
25.994,0.800,10000.41
26.005,0.800,10000.41
26.004,0.800,10000.41
26.008,0.700,10000.409
26.007,0.700,10000.409
26.001,0.700,10000.409
25.998,0.700,10000.409
26.008,0.700,10000.409
26.007,0.700,10000.409
26.004,0.700,10000.409
25.993,0.700,10000.409
26.005,0.700,10000.409
25.997,0.700,10000.409
26.012,0.700,10000.409
26.008,0.700,10000.409
26.022,0.700,10000.409
26.007,0.700,10000.409
26.011,0.600,10000.408
26.016,0.600,10000.408
26.012,0.600,10000.408
26.009,0.600,10000.408
26.004,0.600,10000.408
25.998,0.600,10000.408
25.996,0.600,10000.408
26.003,0.600,10000.408
25.997,0.600,10000.408
26.004,0.600,10000.408
25.994,0.600,10000.408
26.009,0.600,10000.408
26.005,0.600,10000.408
26.004,0.500,10000.407
26.004,0.500,10000.407
26.004,0.500,10000.407
26.008,0.500,10000.407
26.001,0.500,10000.407
26.005,0.500,10000.407
26.008,0.500,10000.407
26.014,0.500,10000.407
26.008,0.500,10000.407
26.012,0.500,10000.407
26.001,0.500,10000.407
26.004,0.500,10000.407
26.0,0.500,10000.407
26.008,0.600,10000.408
25.994,0.600,10000.408
26.018,0.600,10000.408
26.012,0.600,10000.408
26.007,0.600,10000.408
25.998,0.600,10000.408
26.007,0.600,10000.408
25.996,0.600,10000.408
26.0,0.600,10000.408
25.994,0.600,10000.408
25.998,0.600,10000.408
25.997,0.600,10000.408
26.005,0.600,10000.408
26.008,0.600,10000.408
26.0,0.600,10000.408
26.014,0.600,10000.408
26.004,0.600,10000.408
26.0,0.600,10000.408
26.011,0.600,10000.408
26.011,0.600,10000.408
26.011,0.600,10000.408
26.008,0.600,10000.408
26.007,0.600,10000.408
26.009,0.600,10000.408
26.004,0.600,10000.408
26.011,0.600,10000.408
26.019,0.600,10000.408
26.003,0.700,10000.409
26.009,0.700,10000.409
26.005,0.700,10000.409
26.009,0.700,10000.409
26.015,0.700,10000.409
26.012,0.700,10000.409
25.996,0.700,10000.409
25.998,0.700,10000.409
26.025,0.700,10000.409
25.992,0.700,10000.409
25.993,0.700,10000.409
25.986,0.700,10000.409
25.985,0.700,10000.409
26.003,0.700,10000.409
26.016,0.700,10000.409
26.007,0.700,10000.409
25.998,0.700,10000.409
26.003,0.700,10000.409
26.001,0.700,10000.409
26.018,0.700,10000.409
26.014,0.700,10000.409
26.003,0.700,10000.409
25.989,0.700,10000.409
26.015,0.700,10000.409
26.0,0.700,10000.409
26.011,0.700,10000.409
25.996,0.700,10000.409
26.003,0.800,10000.41
26.019,0.800,10000.41
26.009,0.800,10000.41
26.008,0.800,10000.41
26.011,0.800,10000.41
26.001,0.800,10000.41
26.007,0.800,10000.41
26.003,0.800,10000.41
26.012,0.800,10000.41
26.014,0.800,10000.41
26.008,0.800,10000.41
26.005,0.800,10000.41
26.011,0.800,10000.41
25.994,0.800,10000.41
25.998,0.700,10000.409
26.001,0.700,10000.409
25.997,0.700,10000.409
26.001,0.700,10000.409
25.989,0.700,10000.409
26.003,0.700,10000.409
26.0,0.700,10000.409
25.993,0.700,10000.409
25.994,0.700,10000.409
26.001,0.700,10000.409
26.0,0.700,10000.409
26.007,0.700,10000.409
26.008,0.700,10000.409
26.003,0.700,10000.409
26.016,0.700,10000.409
26.008,0.700,10000.409
26.009,0.700,10000.409
26.009,0.700,10000.409
26.005,0.700,10000.409
26.009,0.700,10000.409
26.019,0.700,10000.409
26.011,0.700,10000.409
26.004,0.700,10000.409
26.015,0.700,10000.409
26.012,0.700,10000.409
25.989,0.700,10000.409
26.008,0.600,10000.408
25.992,0.600,10000.408
26.003,0.600,10000.408
25.99,0.600,10000.408
26.008,0.600,10000.408
25.996,0.600,10000.408
25.998,0.600,10000.408
26.001,0.600,10000.408
26.0,0.600,10000.408
25.994,0.600,10000.408
26.004,0.600,10000.408
26.015,0.600,10000.408
25.992,0.600,10000.408
25.998,0.600,10000.408
26.012,0.600,10000.408
26.0,0.600,10000.408
26.012,0.600,10000.408
26.007,0.600,10000.408
26.001,0.600,10000.408
25.996,0.600,10000.408
26.004,0.600,10000.408
26.016,0.600,10000.408
26.02,0.600,10000.408
26.001,0.600,10000.408
25.998,0.600,10000.408
26.007,0.600,10000.408
26.011,0.600,10000.408
26.004,0.800,10000.41
26.015,0.800,10000.41
25.992,0.800,10000.41
26.009,0.800,10000.41
25.993,0.800,10000.41
26.001,0.800,10000.41
26.02,0.800,10000.41
25.987,0.800,10000.41
25.993,0.800,10000.41
25.994,0.800,10000.41
25.994,0.800,10000.41
26.008,0.800,10000.41
25.996,0.800,10000.41
26.003,0.800,10000.41
25.996,0.600,10000.408
26.012,0.600,10000.408
26.0,0.600,10000.408
25.998,0.600,10000.408
25.992,0.600,10000.408
25.994,0.600,10000.408
25.99,0.600,10000.408
26.015,0.600,10000.408
25.996,0.600,10000.408
25.996,0.600,10000.408
26.026,0.600,10000.408
26.001,0.600,10000.408
26.001,0.600,10000.408
26.004,0.600,10000.408
25.993,0.600,10000.408
26.004,0.600,10000.408
26.009,0.600,10000.408
26.009,0.600,10000.408
26.008,0.600,10000.408
26.004,0.600,10000.408
26.004,0.600,10000.408
26.014,0.600,10000.408
26.009,0.600,10000.408
26.004,0.600,10000.408
26.0,0.600,10000.408
26.007,0.600,10000.408
25.994,0.500,10000.407
26.011,0.500,10000.407
26.016,0.500,10000.407
26.007,0.500,10000.407
26.011,0.500,10000.407
26.004,0.500,10000.407
26.004,0.500,10000.407
26.007,0.500,10000.407
26.009,0.500,10000.407
26.001,0.500,10000.407
25.993,0.500,10000.407
26.026,0.500,10000.407
25.987,0.500,10000.407
26.003,0.500,10000.407
25.992,0.800,10000.41
25.998,0.800,10000.41
25.992,0.800,10000.41
26.004,0.800,10000.41
25.987,0.800,10000.41
26.011,0.800,10000.41
26.018,0.800,10000.41
26.015,0.800,10000.41
25.997,0.800,10000.41
26.001,0.800,10000.41
25.994,0.800,10000.41
26.007,0.800,10000.41
26.008,0.800,10000.41
26.0,0.700,10000.409
26.003,0.700,10000.409
25.978,0.700,10000.409
25.998,0.700,10000.409
26.003,0.700,10000.409
25.993,0.700,10000.409
25.998,0.700,10000.409
25.993,0.700,10000.409
26.007,0.700,10000.409
25.998,0.700,10000.409
25.992,0.700,10000.409
26.008,0.700,10000.409
26.005,0.700,10000.409
25.993,0.700,10000.409
25.996,0.800,10000.41
26.0,0.800,10000.41
26.004,0.800,10000.41
26.009,0.800,10000.41
26.003,0.800,10000.41
26.008,0.800,10000.41
26.007,0.800,10000.41
26.014,0.800,10000.41
26.0,0.800,10000.41
26.008,0.800,10000.41
26.004,0.800,10000.41
26.0,0.800,10000.41
26.004,0.800,10000.41
25.993,0.800,10000.41
26.003,0.800,10000.41
25.996,0.800,10000.41
26.003,0.800,10000.41
25.997,0.800,10000.41
25.994,0.800,10000.41
25.992,0.800,10000.41
26.008,0.800,10000.41
26.001,0.800,10000.41
26.004,0.800,10000.41
26.0,0.800,10000.41
26.005,0.800,10000.41
25.993,0.800,10000.41
26.008,0.700,10000.409
25.998,0.700,10000.409
25.996,0.700,10000.409
26.003,0.700,10000.409
26.015,0.700,10000.409
26.008,0.700,10000.409
26.0,0.700,10000.409
26.001,0.700,10000.409
26.012,0.700,10000.409
26.009,0.700,10000.409
26.014,0.700,10000.409
26.015,0.700,10000.409
26.009,0.700,10000.409
25.996,0.700,10000.409
26.005,0.700,10000.409
25.989,0.700,10000.409
26.003,0.700,10000.409
25.994,0.700,10000.409
26.014,0.700,10000.409
25.994,0.700,10000.409
26.007,0.700,10000.409
26.008,0.700,10000.409
25.99,0.700,10000.409
26.0,0.700,10000.409
25.997,0.700,10000.409
25.982,0.700,10000.409
25.981,0.700,10000.409
25.994,0.800,10000.41
26.004,0.800,10000.41
25.985,0.800,10000.41
26.005,0.800,10000.41
26.004,0.800,10000.41
26.003,0.800,10000.41
25.996,0.800,10000.41
26.018,0.800,10000.41
26.014,0.800,10000.41
26.02,0.800,10000.41
26.016,0.800,10000.41
26.004,0.800,10000.41
26.005,0.800,10000.41
26.005,0.800,10000.41
26.005,0.500,10000.407
26.007,0.500,10000.407
25.987,0.500,10000.407
26.008,0.500,10000.407
25.989,0.500,10000.407
25.979,0.500,10000.407
25.989,0.500,10000.407
26.001,0.500,10000.407
25.994,0.500,10000.407
26.0,0.500,10000.407
26.001,0.500,10000.407
26.004,0.500,10000.407
26.003,0.500,10000.407
26.005,0.600,10000.408
25.997,0.600,10000.408
25.992,0.600,10000.408
25.989,0.600,10000.408
25.998,0.600,10000.408
26.009,0.600,10000.408
26.001,0.600,10000.408
26.004,0.600,10000.408
25.996,0.600,10000.408
26.009,0.600,10000.408
25.998,0.600,10000.408
26.003,0.600,10000.408
26.042,0.600,10000.408
26.081,0.600,10000.408
26.144,0.300,10000.405
26.241,0.300,10000.405
26.333,0.300,10000.405
26.441,0.300,10000.405
26.564,0.300,10000.405
26.67,0.300,10000.405
26.766,0.300,10000.405
26.862,0.300,10000.405
26.951,0.300,10000.405
27.013,0.300,10000.405
27.094,0.300,10000.405
27.148,0.300,10000.405
27.176,0.300,10000.405
27.204,0.400,10000.406
27.215,0.400,10000.406
27.222,0.400,10000.406
27.222,0.400,10000.406
27.23,0.400,10000.406
27.202,0.400,10000.406
27.183,0.400,10000.406
27.179,0.400,10000.406
27.161,0.400,10000.406
27.122,0.400,10000.406
27.101,0.400,10000.406
27.062,0.400,10000.406
27.034,0.400,10000.406
27.022,0.700,10000.409
27.013,0.700,10000.409
26.982,0.700,10000.409
26.958,0.700,10000.409
26.955,0.700,10000.409
26.93,0.700,10000.409
26.93,0.700,10000.409
26.928,0.700,10000.409
26.928,0.700,10000.409
26.901,0.700,10000.409
26.915,0.700,10000.409
26.918,0.700,10000.409
26.94,0.700,10000.409
26.939,0.700,10000.409
26.94,1.300,10000.415
26.94,1.300,10000.415
26.962,1.300,10000.415
26.951,1.300,10000.415
26.969,1.300,10000.415
26.979,1.300,10000.415
26.98,1.300,10000.415
26.984,1.300,10000.415
26.998,1.300,10000.415
27.004,1.300,10000.415
27.013,1.300,10000.415
27.013,1.300,10000.415
27.016,1.300,10000.415
27.016,1.200,10000.414
27.016,1.200,10000.414
27.008,1.200,10000.414
27.02,1.200,10000.414
27.002,1.200,10000.414
27.015,1.200,10000.414
27.009,1.200,10000.414
27.02,1.200,10000.414
26.998,1.200,10000.414
27.0,1.200,10000.414
26.99,1.200,10000.414
27.007,1.200,10000.414
26.995,1.200,10000.414
26.989,1.200,10000.414
26.983,1.500,10000.417
27.002,1.500,10000.417
27.005,1.500,10000.417
26.989,1.500,10000.417
26.989,1.500,10000.417
26.991,1.500,10000.417
27.013,1.500,10000.417
27.002,1.500,10000.417
26.987,1.500,10000.417
26.993,1.500,10000.417
26.993,1.500,10000.417
27.001,1.500,10000.417
27.004,1.500,10000.417
27.011,1.600,10000.418
26.995,1.600,10000.418
27.0,1.600,10000.418
27.002,1.600,10000.418
27.019,1.600,10000.418
27.005,1.600,10000.418
27.005,1.600,10000.418
27.019,1.600,10000.418
27.007,1.600,10000.418
27.016,1.600,10000.418
27.023,1.600,10000.418
27.022,1.600,10000.418
27.018,1.600,10000.418
27.013,1.600,10000.418
27.001,1.500,10000.417
27.007,1.500,10000.417
27.011,1.500,10000.417
27.02,1.500,10000.417
27.015,1.500,10000.417
27.015,1.500,10000.417
27.005,1.500,10000.417
27.019,1.500,10000.417
27.008,1.500,10000.417
27.007,1.500,10000.417
27.0,1.500,10000.417
27.032,1.500,10000.417
27.011,1.500,10000.417
27.018,1.600,10000.418
27.012,1.600,10000.418
27.023,1.600,10000.418
27.007,1.600,10000.418
27.012,1.600,10000.418
27.008,1.600,10000.418
27.018,1.600,10000.418
27.018,1.600,10000.418
27.009,1.600,10000.418
27.004,1.600,10000.418
27.009,1.600,10000.418
27.02,1.600,10000.418
27.005,1.600,10000.418
27.015,1.900,10000.421
27.016,1.900,10000.421
27.005,1.900,10000.421
27.007,1.900,10000.421
27.013,1.900,10000.421
27.012,1.900,10000.421
27.008,1.900,10000.421
27.012,1.900,10000.421
27.009,1.900,10000.421
27.02,1.900,10000.421
27.022,1.900,10000.421
27.025,1.900,10000.421
27.026,1.900,10000.421
27.025,1.900,10000.421
27.025,1.900,10000.421
27.034,1.900,10000.421
27.018,1.900,10000.421
27.018,1.900,10000.421
27.025,1.900,10000.421
27.008,1.900,10000.421
27.025,1.900,10000.421
27.009,1.900,10000.421
27.018,1.900,10000.421
27.012,1.900,10000.421
27.023,1.900,10000.421
27.004,1.900,10000.421
27.018,1.900,10000.421
27.005,1.700,10000.419
27.007,1.700,10000.419
27.018,1.700,10000.419
27.015,1.700,10000.419
27.02,1.700,10000.419
27.027,1.700,10000.419
27.012,1.700,10000.419
27.025,1.700,10000.419
27.038,1.700,10000.419
27.022,1.700,10000.419
27.022,1.700,10000.419
27.036,1.700,10000.419
27.023,1.700,10000.419
27.009,1.700,10000.419
27.018,2.000,10000.422
27.009,2.000,10000.422
27.016,2.000,10000.422
27.025,2.000,10000.422
27.016,2.000,10000.422
27.004,2.000,10000.422
27.011,2.000,10000.422
27.011,2.000,10000.422
27.015,2.000,10000.422
27.022,2.000,10000.422
27.02,2.000,10000.422
27.016,2.000,10000.422
27.015,2.000,10000.422
27.036,2.100,10000.423
27.016,2.100,10000.423
27.012,2.100,10000.423
27.016,2.100,10000.423
27.011,2.100,10000.423
27.018,2.100,10000.423
