temp_c,ppm,resistance
26.015,-135.31,9774.1976
26.033,-135.31,9774.1976
26.02,-135.31,9774.1976
26.022,-135.31,9774.1976
26.02,-135.31,9774.1976
26.029,-135.31,9774.1976
26.027,-132.53,9774.2248
26.023,-132.53,9774.2248
26.031,-132.53,9774.2248
26.031,-132.53,9774.2248
26.02,-132.53,9774.2248
26.025,-132.53,9774.2248
26.02,-132.53,9774.2248
26.034,-132.53,9774.2248
26.023,-132.53,9774.2248
26.025,-132.53,9774.2248
26.027,-132.53,9774.2248
26.022,-132.53,9774.2248
26.019,-132.53,9774.2248
26.034,-132.53,9774.2248
26.015,-129.37,9774.2557
26.022,-129.37,9774.2557
26.023,-129.37,9774.2557
26.023,-129.37,9774.2557
26.026,-129.37,9774.2557
26.034,-129.37,9774.2557
26.025,-129.37,9774.2557
26.018,-129.37,9774.2557
26.02,-129.37,9774.2557
26.014,-129.37,9774.2557
26.012,-129.37,9774.2557
26.03,-129.37,9774.2557
26.033,-129.37,9774.2557
26.025,-126.50,9774.2838
26.018,-126.50,9774.2838
26.036,-126.50,9774.2838
26.019,-126.50,9774.2838
26.025,-126.50,9774.2838
26.018,-126.50,9774.2838
26.033,-126.50,9774.2838
26.016,-126.50,9774.2838
26.023,-126.50,9774.2838
26.023,-126.50,9774.2838
26.016,-126.50,9774.2838
26.005,-126.50,9774.2838
26.018,-126.50,9774.2838
26.02,-123.64,9774.3117
26.015,-123.64,9774.3117
26.016,-123.64,9774.3117
25.997,-123.64,9774.3117
26.022,-123.64,9774.3117
26.012,-123.64,9774.3117
26.015,-123.64,9774.3117
26.025,-123.64,9774.3117
26.012,-123.64,9774.3117
26.027,-123.64,9774.3117
26.02,-123.64,9774.3117
26.012,-123.64,9774.3117
26.025,-123.64,9774.3117
26.03,-123.64,9774.3117
26.025,-120.94,9774.3381
26.027,-120.94,9774.3381
26.044,-120.94,9774.3381
26.018,-120.94,9774.3381
26.034,-120.94,9774.3381
26.011,-120.94,9774.3381
26.029,-120.94,9774.3381
26.022,-120.94,9774.3381
26.03,-120.94,9774.3381
26.03,-120.94,9774.3381
26.008,-120.94,9774.3381
26.015,-120.94,9774.3381
26.009,-120.94,9774.3381
26.016,-119.21,9774.355
26.005,-119.21,9774.355
26.007,-119.21,9774.355
26.001,-119.21,9774.355
26.022,-119.21,9774.355
26.008,-119.21,9774.355
26.015,-119.21,9774.355
