resistance,ppm,temp_c
9984.8562,0.01,24.992
9984.8562,0.01,24.995
9984.8562,0.01,24.995
9984.8569,0.08,24.999
9984.8569,0.08,25.016
9984.8569,0.08,25.011
9984.8569,0.08,25.004
9984.8569,0.08,24.997
9984.8569,0.08,25.008
9984.8569,0.08,25.0
9984.8569,0.08,24.99
9984.8569,0.08,24.999
9984.8569,0.08,24.99
9984.8569,0.08,25.003
9984.8569,0.08,24.999
9984.8569,0.08,24.999
9984.8569,0.08,24.996
9984.8557,-0.04,24.999
9984.8557,-0.04,24.986
9984.8557,-0.04,25.025
9984.8557,-0.04,24.995
9984.8557,-0.04,25.003
9984.8557,-0.04,24.986
9984.8557,-0.04,25.026
9984.8557,-0.04,25.001
9984.8557,-0.04,25.012
9984.8557,-0.04,24.997
9984.8557,-0.04,24.995
9984.8557,-0.04,24.986
9984.8557,-0.04,25.036
9984.8584,0.23,24.992
9984.8584,0.23,24.996
9984.8584,0.23,25.0
9984.8584,0.23,24.999
9984.8584,0.23,24.99
9984.8584,0.23,25.0
9984.8584,0.23,24.997
9984.8584,0.23,24.995
9984.8584,0.23,24.99
9984.8584,0.23,25.008
9984.8584,0.23,24.996
9984.8584,0.23,24.995
9984.8584,0.23,24.995
9984.8584,0.23,24.999
9984.8567,0.06,25.005
9984.8567,0.06,25.007
9984.8567,0.06,25.0
9984.8567,0.06,25.005
9984.8567,0.06,25.001
9984.8567,0.06,25.0
9984.8567,0.06,24.992
9984.8567,0.06,25.003
9984.8567,0.06,24.989
9984.8567,0.06,25.011
9984.8567,0.06,24.999
9984.8567,0.06,24.997
9984.8567,0.06,25.003
9984.8577,0.16,24.997
9984.8577,0.16,25.0
9984.8577,0.16,25.0
9984.8577,0.16,24.988
9984.8577,0.16,24.975
9984.8577,0.16,24.99
9984.8577,0.16,25.01
9984.8577,0.16,25.001
9984.8577,0.16,24.992
9984.8577,0.16,24.999
9984.8577,0.16,25.01
9984.8577,0.16,25.003
9984.8577,0.16,25.012
9984.8557,-0.04,25.0
9984.8557,-0.04,25.003
9984.8557,-0.04,24.992
9984.8557,-0.04,25.003
9984.8557,-0.04,25.01
9984.8557,-0.04,25.011
9984.8557,-0.04,24.985
9984.8557,-0.04,24.995
9984.8557,-0.04,24.993
9984.8557,-0.04,24.999
9984.8557,-0.04,24.988
9984.8557,-0.04,24.97
9984.8557,-0.04,24.992
9984.8557,-0.04,25.001
9984.8577,0.16,25.0
9984.8577,0.16,24.999
9984.8577,0.16,24.988
9984.8577,0.16,25.033
9984.8577,0.16,25.008
9984.8577,0.16,25.007
9984.8577,0.16,25.005
9984.8577,0.16,25.0
9984.8577,0.16,25.005
9984.8577,0.16,25.022
9984.8577,0.16,25.014
9984.8577,0.16,25.011
9984.8577,0.16,25.001
9984.8557,-0.04,25.003
9984.8557,-0.04,24.986
9984.8557,-0.04,24.959
9984.8557,-0.04,24.997
9984.8557,-0.04,24.995
9984.8557,-0.04,25.008
9984.8557,-0.04,24.993
9984.8557,-0.04,24.977
