temp_c,ppm,resistance
25.001,0.04,9984.5713
25.011,0.04,9984.5713
25.008,0.04,9984.5713
25.008,0.04,9984.5713
24.984,0.04,9984.5713
24.999,0.04,9984.5713
24.997,0.04,9984.5713
24.999,0.04,9984.5713
24.997,0.04,9984.5713
25.007,0.04,9984.5713
25.005,0.01,9984.571
24.997,0.01,9984.571
24.99,0.01,9984.571
25.004,0.01,9984.571
24.999,0.01,9984.571
25.015,0.01,9984.571
24.999,0.01,9984.571
24.995,0.01,9984.571
25.001,0.01,9984.571
25.0,0.01,9984.571
24.996,0.01,9984.571
24.993,0.01,9984.571
25.0,0.01,9984.571
24.993,0.01,9984.571
25.003,0.04,9984.5713
25.003,0.04,9984.5713
24.995,0.04,9984.5713
25.01,0.04,9984.5713
25.016,0.04,9984.5713
24.997,0.04,9984.5713
25.011,0.04,9984.5713
25.011,0.04,9984.5713
24.999,0.04,9984.5713
24.993,0.04,9984.5713
25.004,0.04,9984.5713
24.999,0.04,9984.5713
25.005,0.04,9984.5713
24.993,-0.01,9984.5708
24.997,-0.01,9984.5708
24.981,-0.01,9984.5708
25.0,-0.01,9984.5708
24.999,-0.01,9984.5708
24.996,-0.01,9984.5708
25.001,-0.01,9984.5708
24.995,-0.01,9984.5708
24.999,-0.01,9984.5708
24.995,-0.01,9984.5708
24.99,-0.01,9984.5708
24.989,-0.01,9984.5708
25.008,-0.01,9984.5708
24.995,-0.01,9984.5708
24.999,-0.07,9984.5702
24.984,-0.07,9984.5702
25.003,-0.07,9984.5702
25.001,-0.07,9984.5702
25.001,-0.07,9984.5702
25.007,-0.07,9984.5702
24.999,-0.07,9984.5702
25.007,-0.07,9984.5702
25.0,-0.07,9984.5702
25.003,-0.07,9984.5702
25.015,-0.07,9984.5702
24.992,-0.07,9984.5702
24.997,-0.07,9984.5702
24.996,-0.01,9984.5708
24.996,-0.01,9984.5708
24.996,-0.01,9984.5708
25.001,-0.01,9984.5708
24.99,-0.01,9984.5708
24.988,-0.01,9984.5708
25.007,-0.01,9984.5708
24.988,-0.01,9984.5708
24.993,-0.01,9984.5708
24.997,-0.01,9984.5708
25.015,-0.01,9984.5708
25.018,-0.01,9984.5708
25.001,-0.01,9984.5708
25.01,-0.14,9984.5695
25.003,-0.14,9984.5695
24.999,-0.14,9984.5695
24.997,-0.14,9984.5695
25.0,-0.14,9984.5695
25.016,-0.14,9984.5695
25.005,-0.14,9984.5695
25.001,-0.14,9984.5695
24.995,-0.14,9984.5695
24.996,-0.14,9984.5695
25.01,-0.14,9984.5695
25.01,-0.14,9984.5695
24.992,-0.14,9984.5695
25.007,-0.14,9984.5695
25.008,-0.12,9984.5697
24.986,-0.12,9984.5697
25.015,-0.12,9984.5697
25.003,-0.12,9984.5697
24.995,-0.12,9984.5697
24.995,-0.12,9984.5697
25.004,-0.12,9984.5697
25.005,-0.12,9984.5697
25.003,-0.12,9984.5697
25.003,-0.12,9984.5697
24.999,-0.12,9984.5697
25.001,-0.12,9984.5697
24.997,-0.12,9984.5697
24.997,-0.01,9984.5708
25.0,-0.01,9984.5708
25.011,-0.01,9984.5708
25.004,-0.01,9984.5708
25.005,-0.01,9984.5708
