resistance,ppm,temp_c
19970.146,0.94,25.001
19970.146,0.94,24.995
19970.146,0.94,25.004
19970.146,0.94,25.014
19970.146,0.94,25.018
19970.146,0.94,25.018
19970.146,0.94,25.003
19970.146,0.94,25.004
19970.146,0.94,25.005
19970.146,0.94,24.986
19970.146,0.94,24.993
19970.146,0.94,24.997
19970.146,0.94,25.005
19970.174,2.34,25.004
19970.174,2.34,24.978
19970.174,2.34,25.001
19970.174,2.34,24.989
19970.174,2.34,25.018
19970.174,2.34,24.995
19970.174,2.34,25.004
19970.174,2.34,24.997
19970.174,2.34,24.993
19970.174,2.34,24.988
19970.174,2.34,24.997
19970.174,2.34,25.004
19970.174,2.34,24.996
19970.169,2.09,25.003
19970.169,2.09,24.993
19970.169,2.09,24.986
19970.169,2.09,24.973
19970.169,2.09,25.007
19970.169,2.09,24.995
19970.169,2.09,25.001
19970.169,2.09,25.005
19970.169,2.09,25.015
19970.169,2.09,24.997
19970.169,2.09,25.026
19970.169,2.09,25.004
19970.169,2.09,24.993
19970.169,2.09,24.996
19970.122,-0.26,24.992
19970.122,-0.26,24.992
19970.122,-0.26,25.004
19970.122,-0.26,25.011
19970.122,-0.26,24.995
19970.122,-0.26,25.031
19970.122,-0.26,24.996
19970.122,-0.26,25.0
19970.122,-0.26,25.016
19970.122,-0.26,24.999
19970.122,-0.26,24.995
19970.122,-0.26,24.992
19970.122,-0.26,24.992
19970.137,0.49,24.986
19970.137,0.49,24.984
19970.137,0.49,24.984
19970.137,0.49,24.995
19970.137,0.49,24.995
19970.137,0.49,25.012
19970.137,0.49,25.011
19970.137,0.49,24.997
19970.137,0.49,25.004
19970.137,0.49,25.001
19970.137,0.49,24.988
19970.137,0.49,24.965
19970.137,0.49,24.996
19970.136,0.44,24.981
19970.136,0.44,24.984
19970.136,0.44,25.022
19970.136,0.44,25.004
19970.136,0.44,25.008
19970.136,0.44,25.015
19970.136,0.44,25.007
19970.136,0.44,25.011
19970.136,0.44,24.997
19970.136,0.44,25.008
19970.136,0.44,24.996
19970.136,0.44,25.014
19970.136,0.44,25.005
19970.136,0.44,25.014
19970.131,0.19,25.003
19970.131,0.19,25.003
19970.131,0.19,25.014
19970.131,0.19,24.993
19970.131,0.19,25.033
19970.131,0.19,24.996
19970.131,0.19,25.0
19970.131,0.19,24.997
19970.131,0.19,24.975
19970.131,0.19,24.982
19970.131,0.19,24.992
19970.131,0.19,24.992
19970.131,0.19,24.992
19970.169,2.09,24.993
19970.169,2.09,24.971
19970.169,2.09,24.992
19970.169,2.09,24.997
19970.169,2.09,24.997
19970.169,2.09,25.014
19970.169,2.09,24.995
19970.169,2.09,24.995
19970.169,2.09,24.98
19970.169,2.09,25.001
19970.169,2.09,25.021
19970.169,2.09,24.999
19970.169,2.09,25.044
19970.169,2.09,25.012
19970.18,2.64,25.046
19970.18,2.64,25.014
19970.18,2.64,25.045
19970.18,2.64,24.993
19970.18,2.64,24.992
19970.18,2.64,24.993
19970.18,2.64,24.988
19970.18,2.64,24.99
19970.18,2.64,24.977
19970.18,2.64,24.985
19970.18,2.64,25.001
19970.18,2.64,24.988
19970.18,2.64,24.967
19970.188,3.04,24.999
19970.188,3.04,25.001
19970.188,3.04,25.019
19970.188,3.04,25.021
19970.188,3.04,24.997
19970.188,3.04,24.97
19970.188,3.04,25.012
19970.188,3.04,25.003
19970.188,3.04,25.003
19970.188,3.04,25.001
19970.188,3.04,25.012
19970.188,3.04,24.997
19970.188,3.04,25.011
19970.151,1.19,25.016
19970.151,1.19,24.997
19970.151,1.19,24.99
19970.151,1.19,24.99
19970.151,1.19,25.018
19970.151,1.19,24.993
19970.151,1.19,24.996
19970.151,1.19,24.985
19970.151,1.19,24.97
19970.151,1.19,24.993
19970.151,1.19,24.99
19970.151,1.19,24.99
19970.151,1.19,25.007
19970.151,1.19,25.004
19970.137,0.49,25.011
19970.137,0.49,24.993
19970.137,0.49,24.99
19970.137,0.49,25.001
19970.137,0.49,25.008
19970.137,0.49,25.004
19970.137,0.49,25.019
19970.137,0.49,24.985
19970.137,0.49,25.01
19970.137,0.49,25.021
19970.137,0.49,25.001
19970.137,0.49,25.012
19970.137,0.49,25.007
19970.133,0.29,25.021
19970.133,0.29,25.007
19970.133,0.29,24.988
19970.133,0.29,24.971
19970.133,0.29,25.01
19970.133,0.29,24.984
19970.133,0.29,24.989
19970.133,0.29,25.015
19970.133,0.29,24.981
19970.133,0.29,24.985
19970.133,0.29,24.992
19970.133,0.29,24.993
19970.133,0.29,24.977
19970.113,-0.71,25.0
19970.113,-0.71,24.996
19970.113,-0.71,24.992
19970.113,-0.71,24.984
19970.113,-0.71,24.984
19970.113,-0.71,25.001
19970.113,-0.71,24.997
19970.113,-0.71,25.01
19970.113,-0.71,24.996
19970.113,-0.71,25.001
19970.113,-0.71,25.008
19970.113,-0.71,24.997
19970.113,-0.71,25.012
19970.113,-0.71,25.005
19970.141,0.69,25.031
19970.141,0.69,25.012
19970.141,0.69,24.99
19970.141,0.69,24.999
19970.141,0.69,24.999
19970.141,0.69,24.978
19970.141,0.69,25.007
19970.141,0.69,24.997
19970.141,0.69,25.0
19970.141,0.69,25.015
19970.141,0.69,25.011
19970.141,0.69,25.004
19970.141,0.69,24.997
19970.18,2.64,25.0
19970.18,2.64,24.995
19970.18,2.64,25.005
19970.18,2.64,24.98
19970.18,2.64,24.984
19970.18,2.64,25.001
19970.18,2.64,24.993
19970.18,2.64,25.005
19970.18,2.64,24.989
19970.18,2.64,25.012
19970.18,2.64,24.995
19970.18,2.64,25.044
19970.18,2.64,25.005
19970.18,2.64,24.996
19970.159,1.59,25.004
19970.159,1.59,25.005
19970.159,1.59,24.997
19970.159,1.59,25.003
19970.159,1.59,24.99
19970.159,1.59,24.96
19970.159,1.59,24.995
19970.159,1.59,25.007
19970.159,1.59,25.015
19970.159,1.59,25.01
19970.159,1.59,24.984
19970.159,1.59,25.004
19970.159,1.59,25.0
19970.159,1.59,25.001
19970.159,1.59,24.989
19970.159,1.59,25.007
19970.159,1.59,24.988
19970.159,1.59,24.989
19970.159,1.59,24.999
19970.159,1.59,25.0
19970.159,1.59,24.995
19970.159,1.59,25.001
19970.159,1.59,25.003
19970.159,1.59,24.999
19970.159,1.59,25.008
19970.159,1.59,24.996
19970.141,0.69,25.003
19970.141,0.69,25.016
19970.141,0.69,25.012
19970.141,0.69,25.0
19970.141,0.69,25.004
19970.141,0.69,25.004
19970.141,0.69,25.016
19970.141,0.69,24.996
19970.141,0.69,24.951
19970.141,0.69,24.996
19970.141,0.69,24.989
19970.141,0.69,24.993
19970.141,0.69,24.996
19970.141,0.69,25.001
19970.121,-0.31,24.989
19970.121,-0.31,25.031
19970.121,-0.31,24.995
19970.121,-0.31,25.005
19970.121,-0.31,25.0
19970.121,-0.31,24.992
19970.121,-0.31,24.99
19970.121,-0.31,25.007
19970.121,-0.31,24.997
19970.121,-0.31,25.001
19970.121,-0.31,25.01
19970.121,-0.31,25.018
19970.121,-0.31,25.001
19970.131,0.19,25.015
19970.131,0.19,24.997
19970.131,0.19,24.978
19970.131,0.19,24.996
19970.131,0.19,25.014
19970.131,0.19,24.992
19970.131,0.19,25.038
19970.131,0.19,25.004
19970.131,0.19,25.007
19970.131,0.19,24.999
19970.131,0.19,24.995
19970.131,0.19,24.993
19970.131,0.19,24.999
19970.131,0.19,25.003
19970.182,2.74,25.007
19970.182,2.74,25.007
19970.182,2.74,25.001
19970.182,2.74,25.007
19970.182,2.74,25.001
19970.182,2.74,25.004
19970.182,2.74,25.01
19970.182,2.74,24.982
19970.182,2.74,24.993
19970.182,2.74,25.004
19970.182,2.74,24.997
19970.182,2.74,24.993
19970.182,2.74,24.988
19970.171,2.19,24.985
19970.171,2.19,25.001
19970.171,2.19,24.988
19970.171,2.19,24.952
19970.171,2.19,25.008
19970.171,2.19,25.008
19970.171,2.19,25.011
19970.171,2.19,25.008
19970.171,2.19,24.973
19970.171,2.19,24.997
19970.171,2.19,25.003
19970.171,2.19,25.004
19970.171,2.19,25.022
19970.207,4.00,25.008
19970.207,4.00,25.021
19970.207,4.00,25.016
19970.207,4.00,24.995
19970.207,4.00,25.015
19970.207,4.00,25.004
19970.207,4.00,24.997
19970.207,4.00,24.993
19970.207,4.00,24.99
19970.207,4.00,24.999
19970.207,4.00,24.993
19970.207,4.00,25.007
19970.207,4.00,24.995
19970.207,4.00,25.001
19970.165,1.89,24.992
19970.165,1.89,25.001
19970.165,1.89,25.001
19970.165,1.89,24.989
19970.165,1.89,24.96
19970.165,1.89,25.001
19970.165,1.89,25.003
19970.165,1.89,24.992
19970.165,1.89,24.98
19970.165,1.89,24.997
19970.165,1.89,25.003
19970.165,1.89,25.005
19970.165,1.89,25.012
19970.16,1.64,25.001
19970.16,1.64,25.011
19970.16,1.64,25.005
19970.16,1.64,25.016
19970.16,1.64,25.021
19970.16,1.64,25.003
19970.16,1.64,25.025
19970.16,1.64,25.007
19970.16,1.64,25.01
19970.16,1.64,25.004
19970.16,1.64,24.992
19970.16,1.64,24.997
19970.16,1.64,24.989
19970.16,1.64,25.003
19970.17,2.14,24.992
19970.17,2.14,24.988
19970.17,2.14,24.995
19970.17,2.14,24.995
19970.17,2.14,25.008
19970.17,2.14,24.996
19970.17,2.14,24.995
19970.17,2.14,25.001
19970.17,2.14,25.001
