timestamp,lm399,temp_c,humidity
1516251447.92,6.885901,21.275,54.699
1516251448.92,6.885899,21.275,54.707
1516251449.92,6.885894,21.254,54.707
1516251450.92,6.885900,21.265,54.699
1516251451.92,6.885898,21.243,54.699
1516251452.92,6.885902,21.254,54.715
1516251453.91,6.885905,21.243,54.699
1516251454.91,6.885902,21.243,54.699
1516251457.92,6.885897,21.222,54.638
1516251460.92,6.885895,21.201,54.623
1516251463.91,6.885897,21.222,54.570
1516251467.91,6.885893,21.179,54.509
1516251470.91,6.885893,21.179,54.448
1516251473.91,6.885892,21.179,54.341
1516251477.91,6.885888,21.179,54.135
1516251480.91,6.885888,21.179,53.975
1516251483.91,6.885888,21.168,53.776
1516251487.91,6.885889,21.147,53.631
1516251490.91,6.885888,21.126,53.555
1516251494.91,6.885887,21.115,53.441
1516251497.91,6.885886,21.104,53.372
1516251500.91,6.885891,21.115,53.303
1516251504.91,6.885892,21.115,53.212
1516251507.91,6.885888,21.094,53.158
1516251510.91,6.885887,21.094,53.113
1516251514.91,6.885888,21.062,53.074
1516251517.91,6.885895,21.083,53.097
1516251520.91,6.885894,21.072,53.097
1516251524.9,6.885894,21.051,53.090
1516251527.91,6.885894,21.051,53.097
1516251530.91,6.885891,21.040,53.074
1516251534.9,6.885889,21.040,53.082
1516251537.9,6.885887,21.029,53.059
1516251540.9,6.885887,21.008,53.052
1516251544.9,6.885888,20.997,53.059
1516251547.9,6.885889,21.008,53.074
1516251551.9,6.885892,20.987,53.074
1516251554.9,6.885888,20.976,53.105
1516251557.9,6.885887,20.976,53.105
1516251561.9,6.885887,20.965,53.151
1516251564.9,6.885890,20.965,53.158
1516251567.9,6.885886,20.955,53.196
1516251571.9,6.885886,20.933,53.219
1516251574.9,6.885887,20.890,53.296
1516251577.9,6.885886,20.901,53.395
1516251581.9,6.885886,20.858,53.532
1516251584.9,6.885887,20.837,53.639
1516251587.9,6.885887,20.826,53.700
1516251591.9,6.885886,20.826,53.738
1516251594.89,6.885888,20.848,53.738
1516251597.89,6.885892,20.837,53.753
1516251601.89,6.885885,20.837,53.776
1516251604.89,6.885886,20.837,53.784
1516251608.89,6.885885,20.837,53.761
1516251611.89,6.885888,20.805,53.799
1516251614.89,6.885885,20.794,53.853
1516251618.89,6.885882,20.773,53.921
1516251621.89,6.885887,20.762,54.005
1516251624.89,6.885890,20.773,54.059
1516251628.89,6.885887,20.773,54.089
1516251631.89,6.885887,20.773,54.089
1516251634.89,6.885889,20.773,54.089
1516251638.89,6.885887,20.773,54.127
1516251641.89,6.885882,20.762,54.112
1516251644.89,6.885883,20.751,54.135
1516251648.89,6.885892,20.741,54.173
1516251651.89,6.885891,20.741,54.211
1516251654.88,6.885891,20.698,54.242
1516251658.89,6.885896,20.687,54.410
1516251661.89,6.885889,20.655,54.493
1516251665.88,6.885886,20.634,54.638
1516251668.88,6.885887,20.623,54.791
1516251671.88,6.885893,20.623,54.860
1516251675.88,6.885890,20.623,54.959
1516251678.88,6.885886,20.634,54.936
1516251681.88,6.885886,20.634,54.905
1516251685.88,6.885884,20.644,54.791
1516251688.88,6.885886,20.655,54.745
1516251691.88,6.885885,20.634,54.730
1516251695.88,6.885885,20.612,54.738
1516251698.88,6.885886,20.612,54.745
1516251701.88,6.885885,20.623,54.745
1516251705.88,6.885884,20.591,54.791
1516251708.88,6.885884,20.559,54.852
1516251711.88,6.885884,20.548,54.936
1516251715.88,6.885883,20.548,55.012
1516251718.87,6.885885,20.559,55.043
1516251722.88,6.885885,20.516,55.096
1516251725.87,6.885887,20.527,55.104
1516251728.87,6.885886,20.516,55.104
1516251732.87,6.885887,20.527,55.073
1516251735.87,6.885888,20.559,55.012
1516251738.87,6.885888,20.537,54.905
1516251742.87,6.885887,20.559,54.814
1516251745.87,6.885888,20.548,54.745
1516251748.87,6.885887,20.559,54.677
1516251752.87,6.885888,20.580,54.555
1516251755.87,6.885889,20.559,54.486
1516251758.87,6.885890,20.580,54.417
1516251762.87,6.885891,20.569,54.318
1516251765.87,6.885893,20.559,54.303
1516251768.87,6.885902,20.559,54.318
1516251772.87,6.885906,20.537,54.349
1516251775.87,6.885905,20.537,54.371
1516251779.87,6.885904,20.559,54.402
1516251782.87,6.885901,20.559,54.440
1516251785.87,6.885892,20.516,54.486
1516251789.86,6.885888,20.548,54.547
1516251792.87,6.885892,20.559,54.570
1516251795.86,6.885886,20.527,54.585
1516251799.86,6.885886,20.516,54.555
1516251802.86,6.885886,20.548,54.532
1516251805.86,6.885887,20.527,54.509
1516251809.86,6.885886,20.537,54.509
1516251812.86,6.885886,20.537,54.463
1516251815.86,6.885887,20.537,54.432
1516251819.86,6.885886,20.537,54.371
1516251822.86,6.885886,20.548,54.333
1516251825.86,6.885888,20.559,54.287
1516251829.86,6.885886,20.548,54.188
1516251832.86,6.885887,20.548,54.135
1516251836.86,6.885885,20.559,54.066
1516251839.86,6.885884,20.559,54.028
1516251842.86,6.885884,20.569,54.020
1516251846.86,6.885885,20.537,53.959
1516251849.86,6.885884,20.559,53.944
1516251852.86,6.885884,20.527,53.906
1516251856.85,6.885884,20.537,53.853
1516251859.85,6.885887,20.559,53.830
1516251862.86,6.885884,20.527,53.769
1516251866.85,6.885885,20.569,53.738
1516251869.85,6.885885,20.548,53.692
1516251872.85,6.885884,20.548,53.669
1516251876.85,6.885885,20.548,53.647
1516251879.85,6.885885,20.569,53.654
1516251882.85,6.885884,20.559,53.654
1516251886.85,6.885884,20.559,53.647
1516251889.85,6.885884,20.537,53.616
1516251893.85,6.885885,20.527,53.639
1516251896.85,6.885885,20.537,53.631
1516251899.85,6.885885,20.537,53.639
1516251903.85,6.885884,20.537,53.608
1516251906.85,6.885885,20.559,53.570
1516251909.85,6.885885,20.548,53.563
1516251913.85,6.885884,20.548,53.517
1516251916.85,6.885883,20.516,53.509
1516251919.85,6.885883,20.516,53.502
1516251923.85,6.885885,20.537,53.448
1516251926.84,6.885885,20.516,53.425
1516251929.84,6.885884,20.516,53.425
1516251933.84,6.885884,20.505,53.456
1516251936.84,6.885885,20.516,53.464
1516251939.84,6.885887,20.495,53.464
1516251943.84,6.885887,20.516,53.456
1516251946.84,6.885888,20.516,53.425
1516251950.84,6.885886,20.495,53.425
1516251953.84,6.885885,20.527,53.425
1516251956.84,6.885883,20.527,53.425
