timestamp,r,humidity,temp_c
1516426222.68,80002.954,50.946,20.634
1516426225.69,80002.956,50.938,20.655
1516426229.69,80002.954,50.953,20.623
1516426232.68,80002.974,50.976,20.634
1516426235.68,80002.971,50.961,20.623
1516426239.68,80002.971,50.976,20.602
1516426242.68,80003.007,50.969,20.602
1516426245.68,80003.035,50.992,20.623
1516426249.68,80003.040,50.969,20.623
1516426252.68,80003.045,51.007,20.634
1516426255.68,80003.101,50.992,20.612
1516426259.68,80003.098,50.969,20.612
1516426262.68,80003.096,50.992,20.602
1516426266.68,80003.101,50.992,20.591
1516426269.68,80003.136,50.976,20.602
1516426272.68,80003.131,50.984,20.612
1516426276.68,80003.131,50.984,20.559
1516426279.68,80003.124,50.999,20.559
1516426282.68,80003.147,51.014,20.559
1516426286.68,80003.154,51.014,20.548
1516426289.68,80003.131,51.030,20.527
1516426292.67,80003.152,51.037,20.537
1516426296.67,80003.177,51.060,20.548
1516426299.68,80003.139,51.076,20.537
1516426302.67,80003.175,51.091,20.559
1516426306.67,80003.149,51.106,20.569
1516426309.67,80003.164,51.098,20.559
1516426312.67,80003.162,51.106,20.548
1516426316.67,80003.172,51.098,20.537
1516426319.67,80003.175,51.106,20.516
1516426323.67,80003.187,51.121,20.505
1516426326.67,80003.190,51.137,20.484
1516426329.67,80003.213,51.152,20.505
1516426333.67,80003.195,51.182,20.484
1516426336.67,80003.172,51.167,20.516
1516426339.67,80003.200,51.198,20.495
1516426343.67,80003.195,51.190,20.484
1516426346.66,80003.215,51.213,20.484
1516426349.67,80003.218,51.213,20.484
1516426353.67,80003.225,51.220,20.495
1516426356.66,80003.233,51.228,20.495
1516426359.66,80003.230,51.228,20.484
1516426363.66,80003.215,51.251,20.452
1516426366.66,80003.253,51.259,20.452
1516426369.66,80003.243,51.259,20.452
1516426373.66,80003.210,51.281,20.441
1516426376.66,80003.230,51.304,20.441
1516426380.66,80003.225,51.312,20.473
1516426383.66,80003.218,51.297,20.484
1516426386.66,80003.228,51.304,20.473
1516426390.66,80003.215,51.304,20.484
1516426393.66,80003.202,51.327,20.484
1516426396.66,80003.190,51.327,20.484
1516426400.66,80003.192,51.312,20.484
1516426403.66,80003.200,51.312,20.463
1516426406.66,80003.223,51.304,20.473
1516426410.66,80003.205,51.312,20.463
1516426413.66,80003.218,51.289,20.473
1516426416.65,80003.197,51.297,20.484
1516426420.65,80003.213,51.312,20.463
1516426423.66,80003.246,51.320,20.452
1516426426.65,80003.210,51.304,20.473
1516426430.65,80003.177,51.320,20.463
1516426433.65,80003.167,51.327,20.452
1516426437.65,80003.177,51.312,20.463
1516426440.65,80003.172,51.320,20.473
1516426443.65,80003.215,51.312,20.473
1516426447.65,80003.190,51.312,20.452
1516426450.65,80003.225,51.327,20.463
1516426453.65,80003.190,51.304,20.452
1516426457.65,80003.213,51.304,20.463
1516426460.65,80003.223,51.297,20.463
