timestamp,r,humidity,temp_c
1516434856.59,80002.761,53.875,20.944
1516434860.59,80002.763,53.868,20.922
1516434863.59,80002.771,53.853,20.922
1516434866.59,80002.786,53.868,20.901
1516434870.58,80002.796,53.875,20.890
1516434873.59,80002.786,53.883,20.890
1516434877.58,80002.796,53.891,20.869
1516434880.58,80002.804,53.921,20.848
1516434883.58,80002.781,53.944,20.869
1516434887.58,80002.829,53.937,20.858
1516434890.58,80002.834,53.967,20.848
1516434893.58,80002.839,53.967,20.848
1516434897.58,80002.842,53.959,20.858
1516434900.58,80002.832,53.959,20.869
1516434903.58,80002.878,53.967,20.869
1516434907.58,80002.865,53.975,20.858
1516434910.58,80002.883,53.959,20.880
1516434913.58,80002.870,53.959,20.869
1516434917.58,80002.888,53.952,20.912
1516434920.58,80002.885,53.944,20.890
1516434923.58,80002.888,53.929,20.901
1516434927.58,80002.880,53.906,20.912
1516434930.58,80002.905,53.875,20.933
1516434933.57,80002.903,53.853,20.912
1516434937.58,80002.895,53.845,20.933
1516434940.57,80002.839,53.830,20.912
1516434944.58,80002.847,53.792,20.944
1516434947.58,80002.852,53.776,20.944
1516434950.57,80002.829,53.761,20.955
1516434954.57,80002.827,53.746,20.933
1516434957.57,80002.799,53.723,20.944
1516434960.57,80002.817,53.746,20.976
1516434964.57,80002.827,53.692,20.955
1516434967.57,80002.809,53.708,20.955
1516434970.57,80002.829,53.685,20.997
1516434974.57,80002.837,53.647,21.008
1516434977.57,80002.827,53.616,21.008
1516434980.57,80002.819,53.616,21.008
1516434984.57,80002.862,53.601,21.029
1516434987.57,80002.865,53.570,21.008
1516434990.57,80002.870,53.570,21.019
1516434994.57,80002.855,53.540,21.029
1516434997.57,80002.878,53.517,21.040
1516435001.56,80002.880,53.509,21.051
1516435004.56,80002.865,53.456,21.051
1516435007.57,80002.855,53.456,21.072
1516435011.57,80002.839,53.441,21.062
1516435014.56,80002.832,53.441,21.051
1516435017.57,80002.819,53.425,21.051
1516435021.56,80002.827,53.410,21.029
1516435024.56,80002.845,53.387,21.040
1516435027.56,80002.857,53.410,21.019
1516435031.56,80002.862,53.418,21.029
1516435034.56,80002.862,53.410,21.019
1516435037.56,80002.847,53.425,21.051
1516435041.56,80002.857,53.418,21.051
1516435044.56,80002.880,53.441,21.040
1516435047.56,80002.890,53.418,21.029
1516435051.56,80002.893,53.418,21.040
1516435054.56,80002.900,53.410,21.029
1516435058.56,80002.911,53.418,21.051
1516435061.56,80002.931,53.402,21.029
1516435064.55,80002.885,53.410,21.029
1516435068.56,80002.885,53.410,21.051
1516435071.55,80002.888,53.418,21.029
1516435074.55,80002.875,53.387,21.051
1516435078.56,80002.867,53.410,21.040
1516435081.55,80002.852,53.395,21.019
1516435084.55,80002.852,53.402,21.008
1516435088.55,80002.834,53.395,20.987
1516435091.55,80002.827,53.402,20.997
1516435094.55,80002.839,53.410,20.997
1516435098.55,80002.824,53.425,20.976
1516435101.55,80002.819,53.418,21.008
1516435104.55,80002.837,53.418,21.008
1516435108.55,80002.898,53.433,21.008
1516435111.55,80002.905,53.448,21.019
1516435115.55,80002.911,53.410,21.029
1516435118.55,80002.888,53.402,21.051
1516435121.55,80002.890,53.418,20.997
1516435125.54,80002.900,53.402,20.997
1516435128.55,80002.885,53.387,21.029
1516435131.55,80002.905,53.357,21.019
1516435135.54,80002.923,53.372,21.019
1516435138.55,80002.895,53.380,21.008
1516435141.54,80002.895,53.364,21.019
1516435145.54,80002.895,53.372,21.029
1516435148.54,80002.893,53.364,21.019
1516435151.54,80002.941,53.341,21.029
1516435155.54,80002.938,53.357,21.008
1516435158.54,80002.966,53.364,21.008
