timestamp,r,humidity,temp_c
1516428718.57,100010.090,55.249,20.516
1516428721.57,100010.160,55.256,20.516
1516428724.57,100010.140,55.241,20.505
1516428727.57,100010.110,55.256,20.527
1516428731.57,100010.120,55.279,20.516
1516428734.57,100010.090,55.272,20.548
1516428738.57,100010.100,55.279,20.527
1516428741.57,100010.110,55.287,20.527
1516428744.57,100010.100,55.295,20.516
1516428748.57,100010.080,55.348,20.505
1516428751.57,100010.060,55.371,20.505
1516428754.57,100010.060,55.394,20.484
1516428758.57,100010.070,55.409,20.505
1516428761.56,100010.080,55.432,20.495
1516428764.57,100010.080,55.424,20.484
1516428768.56,100010.090,55.440,20.505
1516428771.56,100010.100,55.455,20.505
1516428774.57,100010.080,55.478,20.495
1516428778.56,100010.070,55.493,20.505
1516428781.56,100010.100,55.501,20.484
1516428784.56,100010.110,55.508,20.484
1516428788.56,100010.110,55.516,20.495
1516428791.56,100010.110,55.531,20.484
1516428795.56,100010.110,55.539,20.484
1516428798.56,100010.090,55.562,20.484
1516428801.56,100010.100,55.600,20.495
1516428805.56,100010.110,55.661,20.484
1516428808.56,100010.120,55.691,20.495
1516428811.56,100010.120,55.737,20.463
1516428815.56,100010.130,55.775,20.484
1516428818.56,100010.100,55.806,20.484
1516428821.56,100010.100,55.821,20.441
1516428825.56,100010.100,55.874,20.452
1516428828.56,100010.120,55.928,20.473
1516428831.55,100010.130,55.966,20.452
1516428835.56,100010.120,55.996,20.463
1516428838.55,100010.100,56.012,20.473
1516428841.55,100010.100,56.035,20.463
1516428845.55,100010.090,56.065,20.484
1516428848.55,100010.130,56.073,20.484
1516428852.55,100010.130,56.042,20.484
1516428855.55,100010.120,56.065,20.484
1516428858.55,100010.120,56.057,20.484
1516428862.55,100010.120,56.096,20.463
1516428865.55,100010.150,56.126,20.484
1516428868.55,100010.150,56.149,20.495
1516428872.55,100010.140,56.149,20.505
1516428875.55,100010.110,56.164,20.516
1516428878.55,100010.110,56.195,20.505
1516428882.55,100010.130,56.218,20.527
1516428885.55,100010.130,56.225,20.505
1516428888.55,100010.110,56.218,20.527
1516428892.54,100010.120,56.218,20.537
1516428895.55,100010.110,56.225,20.548
1516428898.55,100010.130,56.233,20.527
1516428902.54,100010.100,56.256,20.516
1516428905.54,100010.110,56.218,20.537
1516428909.54,100010.100,56.241,20.559
1516428912.54,100010.130,56.241,20.527
1516428915.54,100010.130,56.271,20.537
1516428919.54,100010.120,56.271,20.548
1516428922.54,100010.120,56.286,20.559
1516428925.54,100010.100,56.294,20.537
1516428929.54,100010.120,56.317,20.548
