timestamp,lm399,temp_c,humidity
1516421217.85,24999.927,21.393,49.573
1516421218.85,24999.922,21.361,49.573
1516421219.84,24999.955,21.382,49.542
1516421220.85,399160.000,21.372,49.527
1516421221.85,0.148,21.350,49.511
1516421222.85,0.001,21.350,49.489
1516421223.85,0.001,21.350,49.489
1516421224.85,0.001,21.340,49.466
1516421225.85,0.001,21.340,49.466
1516421226.85,0.001,21.361,49.458
1516421227.84,0.001,21.297,49.443
1516421228.84,0.001,21.318,49.443
1516421229.84,0.001,21.297,49.435
1516421230.84,0.001,21.308,49.412
1516421231.85,0.001,21.297,49.397
1516421232.84,0.001,21.286,49.397
1516421233.85,30001.047,21.308,49.389
1516421234.85,30001.054,21.265,49.367
1516421235.84,30001.039,21.254,49.382
1516421236.84,30001.044,21.286,49.367
1516421237.84,30001.044,21.265,49.351
1516421238.84,30001.019,21.243,49.336
1516421239.84,30001.027,21.243,49.351
1516421242.84,30001.049,21.222,49.328
1516421245.84,30001.029,21.190,49.321
1516421249.84,30001.034,21.222,49.321
1516421252.84,30001.042,21.201,49.313
1516421256.84,30001.032,21.211,49.336
1516421259.84,30001.024,21.168,49.328
1516421262.84,30001.032,21.190,49.344
1516421266.84,30001.019,21.168,49.344
1516421269.84,30001.019,21.158,49.351
1516421272.84,30001.034,21.136,49.367
1516421276.84,30001.047,21.136,49.374
1516421279.84,30001.029,21.115,49.389
1516421282.84,30001.032,21.104,49.405
1516421286.84,30001.009,21.094,49.420
1516421289.83,30001.021,21.094,49.420
1516421292.83,30001.019,21.115,49.443
1516421296.84,30001.016,21.104,49.458
1516421299.83,30001.034,21.072,49.458
1516421302.83,30001.027,21.051,49.489
1516421306.83,30001.034,21.051,49.496
1516421309.83,30001.021,21.051,49.504
1516421312.83,30001.009,21.040,49.534
1516421316.83,30001.021,21.051,49.550
1516421319.83,30001.034,21.040,49.573
1516421323.83,30001.021,21.008,49.595
1516421326.83,30001.019,20.997,49.611
1516421329.83,30001.016,21.019,49.611
1516421333.83,30001.014,21.008,49.641
1516421336.83,30001.027,21.008,49.634
1516421339.83,30001.019,20.987,49.672
