si7021_c,si7021_h,set,input,output
22.756,49.641,512,170.3574,157.20
22.767,49.626,512,170.3047,177.69
22.756,49.634,512,170.3418,181.08
22.756,49.618,512,170.3594,184.48
22.745,49.618,512,170.3926,187.88
22.756,49.618,512,170.3652,191.32
22.767,49.634,512,170.3887,194.72
22.756,49.618,512,170.3789,198.14
22.767,49.618,512,170.3887,201.55
22.756,49.611,512,170.4394,204.94
22.756,49.626,512,170.4023,208.38
22.767,49.618,512,170.4414,211.77
22.745,49.611,512,170.4258,215.20
22.767,49.618,512,170.4160,218.62
22.745,49.626,512,170.3848,222.05
22.767,49.641,512,170.4277,225.44
22.756,49.626,512,170.4609,228.84
22.756,49.626,512,170.4414,232.27
22.767,49.611,512,170.5098,235.64
22.756,49.626,512,170.5039,239.07
22.767,49.626,512,170.5332,242.46
22.745,49.626,512,170.5039,245.90
22.756,49.626,512,170.5430,249.29
22.756,49.626,512,170.6230,252.66
22.756,49.603,512,170.5684,255.00
22.734,49.626,512,170.5254,255.00
22.756,49.618,512,170.5371,255.00
22.756,49.611,512,170.5410,255.00
22.734,49.641,512,170.6113,255.00
22.767,49.634,512,170.5918,255.00
22.745,49.611,512,170.5859,255.00
22.745,49.641,512,170.5586,255.00
22.767,49.626,512,170.5605,255.00
22.745,49.626,512,170.5762,255.00
22.756,49.618,512,170.5937,255.00
22.745,49.611,512,170.6016,255.00
22.745,49.626,512,170.5742,255.00
22.767,49.618,512,170.6250,255.00
22.745,49.618,512,170.6074,255.00
22.756,49.611,512,170.6777,255.00
22.756,49.603,512,170.6582,255.00
22.734,49.611,512,170.6660,255.00
22.734,49.618,512,170.6387,255.00
22.745,49.588,512,170.6289,255.00
22.745,49.595,512,170.6172,255.00
22.734,49.618,512,170.6445,255.00
22.745,49.611,512,170.6855,255.00
22.745,49.611,512,170.6289,255.00
22.767,49.626,512,170.6504,255.00
22.734,49.603,512,170.6680,255.00
22.756,49.626,512,170.6816,255.00
22.745,49.611,512,170.6894,255.00
22.756,49.611,512,170.7187,255.00
22.745,49.618,512,170.7051,255.00
22.745,49.618,512,170.7285,255.00
22.734,49.634,512,170.7500,255.00
22.734,49.618,512,170.7324,255.00
22.745,49.603,512,170.7246,255.00
22.734,49.603,512,170.7441,255.00
22.745,49.618,512,170.7793,255.00
22.745,49.603,512,170.7578,255.00
22.745,49.618,512,170.7598,255.00
22.734,49.611,512,170.7891,255.00
22.734,49.611,512,170.7637,255.00
22.734,49.588,512,170.7422,255.00
22.734,49.626,512,170.7695,255.00
22.745,49.618,512,170.7930,255.00
22.724,49.611,512,170.8125,255.00
22.745,49.618,512,170.7812,255.00
22.756,49.618,512,170.7871,255.00
22.745,49.618,512,170.7969,255.00
22.734,49.618,512,170.7617,255.00
22.734,49.603,512,170.7578,255.00
22.734,49.611,512,170.7910,255.00
22.745,49.603,512,170.7637,255.00
22.745,49.618,512,170.7949,255.00
22.756,49.626,512,170.7773,255.00
22.724,49.626,512,170.7754,255.00
22.745,49.588,512,170.8066,255.00
22.745,49.626,512,170.8105,255.00
22.734,49.611,512,170.8457,255.00
22.713,49.626,512,170.8008,255.00
22.745,49.618,512,170.8105,255.00
22.745,49.603,512,170.8340,255.00
22.745,49.618,512,170.8262,255.00
22.724,49.618,512,170.8125,255.00
