setpoint,input,ouput
400.00,180.66,127.00
400.00,180.51,127.00
400.00,181.15,127.00
400.00,181.95,127.00
400.00,181.68,127.00
400.00,181.71,254.00
400.00,181.92,254.00
400.00,182.39,254.00
400.00,182.41,254.00
400.00,182.71,254.00
400.00,182.72,254.00
400.00,182.54,254.00
400.00,183.04,254.00
400.00,183.15,254.00
400.00,183.67,254.00
400.00,183.41,254.00
400.00,183.32,254.00
400.00,184.04,254.00
400.00,183.84,254.00
400.00,184.59,254.00
400.00,184.52,254.00
400.00,185.07,254.00
400.00,184.83,254.00
400.00,184.90,254.00
400.00,185.56,254.00
400.00,185.95,254.00
400.00,186.29,254.00
400.00,186.53,254.00
400.00,186.11,254.00
400.00,186.89,254.00
400.00,186.55,254.00
400.00,187.48,254.00
400.00,186.75,254.00
400.00,186.50,254.00
400.00,187.12,254.00
400.00,187.28,254.00
400.00,187.65,0.00
400.00,187.88,0.00
400.00,188.47,0.00
400.00,188.41,0.00
400.00,188.62,0.00
400.00,189.04,0.00
400.00,188.86,0.00
400.00,189.05,0.00
400.00,189.57,0.00
400.00,190.05,0.00
400.00,189.81,0.00
400.00,189.14,0.00
400.00,189.34,0.00
400.00,189.48,0.00
400.00,189.57,0.00
400.00,188.84,0.00
400.00,189.23,0.00
400.00,189.57,0.00
400.00,190.16,0.00
400.00,189.76,0.00
400.00,189.28,0.00
400.00,189.57,0.00
400.00,189.61,0.00
400.00,189.80,0.00
400.00,189.87,0.00
400.00,190.32,0.00
400.00,189.43,0.00
400.00,189.97,0.00
400.00,189.62,0.00
400.00,189.28,0.00
400.00,189.93,0.00
400.00,189.80,0.00
400.00,189.91,0.00
400.00,190.16,0.00
400.00,190.11,0.00
400.00,189.73,0.00
400.00,190.46,0.00
400.00,189.66,0.00
400.00,189.38,0.00
400.00,189.76,0.00
400.00,189.79,0.00
400.00,189.63,0.00
400.00,189.99,0.00
400.00,189.55,0.00
400.00,189.73,0.00
400.00,189.66,0.00
400.00,189.49,0.00
400.00,189.94,0.00
400.00,189.46,0.00
400.00,189.85,0.00
400.00,189.87,0.00
400.00,189.94,0.00
400.00,189.21,0.00
400.00,189.15,0.00
400.00,189.95,0.00
400.00,189.57,0.00
400.00,189.66,0.00
400.00,190.38,0.00
400.00,189.96,0.00
400.00,189.64,0.00
400.00,189.52,0.00
400.00,189.79,0.00
400.00,189.68,0.00
400.00,189.42,0.00
400.00,190.06,0.00
400.00,189.47,0.00
400.00,189.60,0.00
400.00,189.33,0.00
