si7021_c,si7021_h,set,input,output
22.649,58.835,405,199.283,255.00
22.649,58.789,405,199.654,255.00
22.659,58.812,405,199.289,255.00
22.638,58.819,405,199.646,255.00
22.638,58.812,405,200.166,255.00
22.670,58.789,405,199.678,255.00
22.638,58.789,405,200.111,255.00
22.659,58.789,405,199.684,255.00
22.659,58.819,405,199.936,255.00
22.649,58.812,405,199.537,255.00
22.670,58.796,405,199.865,255.00
22.659,58.796,405,200.500,255.00
22.670,58.819,405,200.688,255.00
22.670,58.804,405,200.143,255.00
22.659,58.819,405,200.588,255.00
22.649,58.827,405,200.842,255.00
22.670,58.819,405,200.439,255.00
22.681,58.819,405,200.787,255.00
22.681,58.819,405,200.807,255.00
22.692,58.819,405,201.082,255.00
22.681,58.812,405,201.068,255.00
22.670,58.819,405,201.051,255.00
22.659,58.819,405,201.139,255.00
22.681,58.812,405,201.070,255.00
22.681,58.835,405,201.137,255.00
22.681,58.796,405,201.488,255.00
22.681,58.819,405,202.299,255.00
22.670,58.812,405,202.324,255.00
22.681,58.835,405,202.574,255.00
22.649,58.835,405,202.496,255.00
22.681,58.812,405,202.113,255.00
22.659,58.835,405,202.711,255.00
22.681,58.827,405,202.518,255.00
22.681,58.827,405,202.707,255.00
22.702,58.835,405,202.697,255.00
22.713,58.835,405,202.957,255.00
22.692,58.819,405,203.139,255.00
22.681,58.827,405,203.238,255.00
22.702,58.835,405,203.779,255.00
22.692,58.819,405,203.957,255.00
22.702,58.835,405,203.982,255.00
22.702,58.819,405,204.041,255.00
22.692,58.842,405,203.957,255.00
22.681,58.835,405,204.664,255.00
22.702,58.842,405,204.902,255.00
22.702,58.835,405,205.014,255.00
22.702,58.835,405,204.873,255.00
22.702,58.850,405,205.035,255.00
22.692,58.827,405,205.326,255.00
22.713,58.842,405,205.504,255.00
22.713,58.835,405,205.666,255.00
22.702,58.819,405,205.633,255.00
22.713,58.819,405,205.719,255.00
22.713,58.857,405,205.824,255.00
22.713,58.819,405,206.078,255.00
22.713,58.835,405,206.215,255.00
22.713,58.850,405,205.914,255.00
22.724,58.842,405,206.324,255.00
22.724,58.835,405,206.414,255.00
22.724,58.835,405,206.740,255.00
22.702,58.827,405,206.555,255.00
22.713,58.842,405,206.666,255.00
22.724,58.835,405,206.689,255.00
22.745,58.850,405,207.055,255.00
22.734,58.873,405,207.283,255.00
22.745,58.842,405,207.426,255.00
22.724,58.842,405,207.750,255.00
22.745,58.842,405,207.410,255.00
22.734,58.842,405,207.637,255.00
22.745,58.842,405,207.896,255.00
22.745,58.835,405,207.682,255.00
22.745,58.842,405,207.896,255.00
22.745,58.865,405,208.121,255.00
22.745,58.842,405,208.896,255.00
22.745,58.842,405,208.896,255.00
22.745,58.850,405,209.023,255.00
22.745,58.857,405,209.203,255.00
22.767,58.835,405,208.898,255.00
22.756,58.857,405,209.158,255.00
22.745,58.857,405,209.484,255.00
22.756,58.857,405,209.730,255.00
22.767,58.873,405,209.656,255.00
22.777,58.865,405,209.572,255.00
22.756,58.842,405,209.576,255.00
22.745,58.865,405,210.422,255.00
22.756,58.873,405,210.434,255.00
22.756,58.865,405,210.445,255.00
22.767,58.850,405,210.740,255.00
22.777,58.873,405,210.600,255.00
22.756,58.873,405,210.813,255.00
22.767,58.857,405,211.305,255.00
22.777,58.857,405,211.352,255.00
22.777,58.873,405,211.074,255.00
22.788,58.842,405,211.146,255.00
22.799,58.842,405,212.402,255.00
22.777,58.857,405,211.990,255.00
22.767,58.865,405,211.514,255.00
22.788,58.850,405,211.744,255.00
22.788,58.865,405,212.164,255.00
22.777,58.850,405,212.146,255.00
22.799,58.850,405,211.945,255.00
22.799,58.842,405,212.084,255.00
22.767,58.857,405,212.330,255.00
22.810,58.873,405,212.902,255.00
22.799,58.857,405,212.742,255.00
22.810,58.850,405,212.838,255.00
22.799,58.850,405,213.193,255.00
22.810,58.842,405,213.832,255.00
22.820,58.857,405,213.486,255.00
22.810,58.842,405,213.502,255.00
22.842,58.865,405,213.859,255.00
22.799,58.842,405,214.215,255.00
22.799,58.857,405,213.916,255.00
22.810,58.842,405,214.225,255.00
22.820,58.842,405,214.299,255.00
22.810,58.835,405,214.639,255.00
22.831,58.850,405,214.658,255.00
22.810,58.842,405,214.707,255.00
22.831,58.842,405,215.016,255.00
22.831,58.850,405,214.773,255.00
22.831,58.857,405,214.842,255.00
22.842,58.857,405,214.820,255.00
22.842,58.842,405,215.764,255.00
22.842,58.850,405,215.568,255.00
22.842,58.857,405,215.473,255.00
22.842,58.842,405,215.703,255.00
22.831,58.835,405,216.629,255.00
22.852,58.850,405,216.264,255.00
22.831,58.827,405,216.348,255.00
22.852,58.850,405,216.662,255.00
22.863,58.842,405,216.529,255.00
22.863,58.842,405,217.098,255.00
22.852,58.842,405,217.172,255.00
22.852,58.842,405,217.416,255.00
22.842,58.827,405,217.334,255.00
22.842,58.819,405,217.277,255.00
22.852,58.827,405,217.521,255.00
22.863,58.827,405,217.313,255.00
22.863,58.827,405,218.199,255.00
22.874,58.835,405,218.178,255.00
22.852,58.812,405,217.953,255.00
22.863,58.812,405,217.998,255.00
22.874,58.835,405,218.045,255.00
22.874,58.827,405,218.346,255.00
22.852,58.812,405,218.623,255.00
22.874,58.804,405,219.229,255.00
22.852,58.812,405,219.176,255.00
22.874,58.804,405,218.645,255.00
22.885,58.835,405,218.854,255.00
22.874,58.827,405,219.283,255.00
22.874,58.789,405,219.223,255.00
22.917,58.812,405,219.723,255.00
22.874,58.804,405,219.143,255.00
22.885,58.804,405,219.777,255.00
22.906,58.789,405,220.240,255.00
22.895,58.804,405,220.707,255.00
22.906,58.804,405,220.271,255.00
22.895,58.781,405,220.943,255.00
22.917,58.789,405,220.285,255.00
22.906,58.796,405,221.174,255.00
22.885,58.812,405,220.768,255.00
22.895,58.812,405,221.291,255.00
22.885,58.796,405,221.049,255.00
22.906,58.804,405,221.348,255.00
22.917,58.789,405,221.777,255.00
22.917,58.789,405,221.426,255.00
22.949,58.766,405,221.955,255.00
22.917,58.781,405,221.859,255.00
22.917,58.774,405,222.115,255.00
22.917,58.789,405,222.426,255.00
22.949,58.781,405,222.922,255.00
22.895,58.781,405,222.682,255.00
22.938,58.774,405,222.781,255.00
22.949,58.774,405,222.811,255.00
22.938,58.766,405,223.189,255.00
22.917,58.766,405,223.129,255.00
22.938,58.766,405,223.059,255.00
22.938,58.766,405,223.732,255.00
22.938,58.758,405,223.879,255.00
22.927,58.758,405,223.734,255.00
22.927,58.758,405,223.678,255.00
22.938,58.743,405,223.857,255.00
22.949,58.743,405,223.951,255.00
22.949,58.743,405,224.344,255.00
22.960,58.743,405,224.402,255.00
22.949,58.743,405,225.113,255.00
22.949,58.728,405,224.627,255.00
22.960,58.728,405,224.367,255.00
22.960,58.728,405,224.654,255.00
22.949,58.743,405,225.555,255.00
22.970,58.720,405,225.705,255.00
22.960,58.728,405,225.420,255.00
22.981,58.728,405,225.072,255.00
22.949,58.728,405,225.350,255.00
22.970,58.728,405,225.545,255.00
22.970,58.697,405,225.947,255.00
22.949,58.728,405,226.199,255.00
22.970,58.713,405,226.018,255.00
22.970,58.728,405,226.273,255.00
22.970,58.713,405,226.689,255.00
22.981,58.705,405,227.125,255.00
22.992,58.690,405,226.820,255.00
22.981,58.690,405,227.025,255.00
22.981,58.705,405,226.797,255.00
23.003,58.682,405,227.395,255.00
22.981,58.674,405,227.574,255.00
22.970,58.690,405,227.633,255.00
22.970,58.674,405,227.721,255.00
22.970,58.705,405,227.676,255.00
22.970,58.690,405,228.164,255.00
22.981,58.674,405,228.033,255.00
22.992,58.682,405,228.504,255.00
22.992,58.682,405,228.359,255.00
23.003,58.674,405,228.777,255.00
22.981,58.682,405,228.463,255.00
22.992,58.674,405,229.195,255.00
22.992,58.682,405,229.400,255.00
23.003,58.674,405,229.170,255.00
23.003,58.674,405,229.426,255.00
23.013,58.667,405,229.977,255.00
23.003,58.659,405,230.395,255.00
23.024,58.682,405,229.783,255.00
23.003,58.644,405,230.273,255.00
23.035,58.659,405,230.061,255.00
23.013,58.651,405,229.898,255.00
23.024,58.636,405,230.586,255.00
23.024,58.644,405,230.850,255.00
23.035,58.644,405,230.451,255.00
23.035,58.651,405,230.770,255.00
23.035,58.644,405,231.641,255.00
23.013,58.644,405,231.229,255.00
23.024,58.636,405,231.588,255.00
23.013,58.644,405,231.359,255.00
23.035,58.636,405,231.557,255.00
23.035,58.629,405,231.641,255.00
23.056,58.629,405,231.834,255.00
23.035,58.629,405,231.852,255.00
23.035,58.629,405,231.992,255.00
23.035,58.621,405,232.193,255.00
23.035,58.613,405,231.926,255.00
23.045,58.606,405,232.758,255.00
23.035,58.606,405,233.375,255.00
23.045,58.598,405,233.471,255.00
23.045,58.606,405,233.230,255.00
23.056,58.598,405,233.027,255.00
23.067,58.598,405,233.516,255.00
23.056,58.590,405,233.619,255.00
23.056,58.590,405,233.746,255.00
23.067,58.590,405,233.480,255.00
23.056,58.598,405,233.563,255.00
23.067,58.583,405,234.119,255.00
23.067,58.583,405,234.230,255.00
23.056,58.590,405,234.268,255.00
23.067,58.575,405,234.133,255.00
23.078,58.575,405,234.428,255.00
23.067,58.552,405,234.582,255.00
23.056,58.568,405,234.914,255.00
23.099,58.575,405,235.225,255.00
23.088,58.560,405,235.473,255.00
23.078,58.552,405,235.240,255.00
23.078,58.568,405,235.174,255.00
23.088,58.552,405,235.502,255.00
23.099,58.560,405,236.172,255.00
23.088,58.552,405,235.578,255.00
23.099,58.545,405,235.916,255.00
23.088,58.545,405,236.527,255.00
23.088,58.537,405,236.373,255.00
23.088,58.545,405,236.457,255.00
23.110,58.545,405,236.369,255.00
23.099,58.529,405,236.672,255.00
23.099,58.529,405,236.658,255.00
23.078,58.529,405,236.803,255.00
23.110,58.522,405,237.004,255.00
23.099,58.529,405,237.064,255.00
23.110,58.529,405,236.977,255.00
23.099,58.507,405,237.088,255.00
23.110,58.499,405,237.336,255.00
