si7021_c,setpoint,input,output
23.721,407,293.236,255.00
23.732,407,293.739,255.00
23.721,407,295.017,255.00
23.732,407,297.300,255.00
23.753,407,299.794,255.00
23.775,407,302.372,255.00
23.828,407,304.899,255.00
23.850,407,307.246,255.00
23.861,407,309.554,255.00
23.893,407,312.073,255.00
23.925,407,314.315,255.00
23.946,407,316.570,255.00
23.979,407,318.916,255.00
24.000,407,321.311,255.00
24.054,407,323.662,255.00
24.086,407,326.222,255.00
24.107,407,328.460,255.00
24.129,407,330.967,255.00
24.150,407,333.223,255.00
24.172,407,335.348,255.00
24.204,407,337.589,255.00
24.236,407,339.786,255.00
24.279,407,342.311,255.00
24.268,407,344.462,255.00
24.311,407,346.677,255.00
24.343,407,348.873,255.00
24.343,407,351.121,255.00
24.386,407,353.273,255.00
24.386,407,355.444,255.00
24.440,407,357.938,255.00
24.472,407,360.296,255.00
24.461,407,362.178,255.00
24.504,407,364.599,255.00
24.526,407,366.993,255.00
24.568,407,368.899,255.00
24.590,407,371.034,255.00
24.622,407,373.311,255.00
24.633,407,375.339,255.00
