si7021_c,setpoint,adc,pwm
24.697,900,380.908,255.00
24.697,900,381.024,255.00
24.686,900,381.616,255.00
24.697,900,382.471,255.00
24.708,900,383.519,255.00
24.708,900,384.765,255.00
24.729,900,385.997,255.00
24.740,900,387.399,255.00
24.751,900,388.568,255.00
24.761,900,389.542,255.00
24.772,900,390.746,255.00
24.794,900,392.056,255.00
24.815,900,393.200,255.00
24.815,900,394.164,255.00
24.826,900,395.665,255.00
24.837,900,397.091,255.00
24.869,900,398.022,255.00
24.879,900,398.841,255.00
24.869,900,400.327,255.00
24.901,900,401.452,255.00
24.933,900,402.616,255.00
24.955,900,404.117,255.00
24.955,900,404.837,255.00
24.955,900,405.979,255.00
24.965,900,407.227,255.00
24.987,900,408.089,255.00
25.008,900,409.286,255.00
25.030,900,410.519,255.00
25.019,900,411.711,255.00
25.051,900,412.749,255.00
25.062,900,413.768,255.00
25.083,900,414.990,255.00
25.094,900,416.212,255.00
25.115,900,417.228,255.00
25.115,900,418.315,255.00
25.126,900,419.325,255.00
25.169,900,420.655,255.00
25.169,900,421.871,255.00
25.169,900,422.896,255.00
25.201,900,423.984,255.00
25.212,900,424.927,255.00
25.212,900,426.129,255.00
25.223,900,427.239,255.00
25.244,900,428.260,255.00
25.266,900,429.458,255.00
25.266,900,430.706,255.00
25.255,900,431.936,255.00
25.287,900,432.653,255.00
25.298,900,433.542,255.00
25.330,900,434.835,255.00
25.330,900,435.944,255.00
25.330,900,437.145,255.00
25.341,900,438.193,255.00
25.373,900,439.250,255.00
25.362,900,440.356,255.00
25.394,900,441.710,255.00
25.384,900,442.552,255.00
25.416,900,443.527,255.00
25.426,900,444.506,255.00
25.426,900,445.561,255.00
25.437,900,446.297,255.00
25.459,900,447.398,255.00
25.448,900,448.305,255.00
25.469,900,449.619,255.00
25.491,900,450.544,255.00
25.491,900,451.440,255.00
25.502,900,452.445,255.00
25.512,900,453.446,255.00
25.534,900,454.270,255.00
25.544,900,455.437,255.00
25.555,900,456.220,255.00
25.544,900,457.113,255.00
25.577,900,458.141,255.00
25.587,900,459.182,255.00
25.598,900,460.288,255.00
25.609,900,461.179,255.00
25.609,900,462.142,255.00
25.641,900,463.132,255.00
25.641,900,464.070,255.00
25.630,900,464.836,255.00
25.652,900,466.038,255.00
25.662,900,466.752,255.00
25.684,900,467.396,255.00
25.695,900,468.152,255.00
25.705,900,469.139,255.00
25.705,900,469.711,255.00
25.705,900,470.627,255.00
25.716,900,471.765,255.00
25.705,900,472.412,255.00
25.737,900,473.570,255.00
25.759,900,474.426,255.00
25.759,900,475.367,255.00
25.770,900,476.206,255.00
25.791,900,476.947,255.00
25.791,900,477.587,255.00
25.813,900,478.814,255.00
25.813,900,479.663,255.00
25.823,900,480.273,255.00
25.834,900,481.297,255.00
25.834,900,482.199,255.00
25.866,900,483.041,255.00
25.855,900,483.913,255.00
25.866,900,484.962,255.00
25.855,900,485.345,255.00
25.898,900,486.342,255.00
25.888,900,487.144,255.00
25.909,900,487.801,255.00
25.920,900,488.450,255.00
25.931,900,489.221,255.00
25.931,900,490.047,255.00
25.941,900,491.047,255.00
25.952,900,491.762,255.00
25.963,900,492.467,255.00
25.952,900,493.419,255.00
25.973,900,494.230,255.00
25.973,900,494.674,255.00
25.984,900,495.427,255.00
25.995,900,496.298,255.00
26.006,900,497.131,255.00
26.016,900,497.641,255.00
26.016,900,498.255,255.00
26.016,900,498.976,255.00
26.059,900,499.705,255.00
26.059,900,500.621,255.00
26.048,900,501.206,255.00
26.059,900,502.254,255.00
26.070,900,503.155,255.00
26.081,900,503.623,255.00
26.059,900,504.691,255.00
26.081,900,505.464,255.00
26.091,900,506.008,255.00
26.113,900,506.840,255.00
26.113,900,507.571,255.00
26.134,900,508.234,255.00
26.156,900,508.879,255.00
26.145,900,509.433,255.00
26.145,900,510.080,255.00
26.156,900,511.235,255.00
26.166,900,511.780,255.00
26.166,900,512.497,255.00
26.166,900,512.976,255.00
26.199,900,513.731,255.00
26.209,900,514.382,255.00
26.231,900,515.220,255.00
26.199,900,516.026,255.00
26.209,900,516.834,255.00
26.231,900,517.650,255.00
26.231,900,518.135,255.00
26.231,900,518.650,255.00
26.252,900,519.619,255.00
26.263,900,520.287,255.00
26.263,900,521.140,255.00
26.284,900,521.575,255.00
26.274,900,522.439,255.00
26.284,900,523.180,255.00
26.295,900,523.869,255.00
26.306,900,524.446,255.00
26.327,900,525.002,255.00
26.317,900,525.745,255.00
26.349,900,526.291,255.00
26.327,900,527.225,255.00
26.327,900,527.667,255.00
26.349,900,528.365,255.00
26.360,900,529.110,255.00
26.370,900,529.604,255.00
26.370,900,530.309,255.00
26.381,900,530.869,255.00
26.392,900,531.830,255.00
26.392,900,532.471,255.00
26.392,900,532.809,255.00
26.392,900,533.562,255.00
26.413,900,534.146,255.00
26.424,900,534.844,255.00
26.413,900,535.654,255.00
26.445,900,536.412,255.00
26.456,900,537.072,255.00
26.424,900,537.518,255.00
26.445,900,538.132,255.00
26.456,900,538.824,255.00
26.456,900,539.382,255.00
26.488,900,540.103,255.00
26.499,900,540.853,255.00
26.499,900,541.468,255.00
26.477,900,541.951,255.00
26.499,900,542.348,255.00
26.499,900,542.751,255.00
26.510,900,543.484,255.00
26.531,900,543.969,255.00
26.553,900,544.439,255.00
26.542,900,544.957,255.00
26.542,900,545.648,255.00
26.553,900,546.220,255.00
26.553,900,546.831,255.00
26.574,900,547.360,255.00
26.574,900,548.337,255.00
26.595,900,549.072,255.00
26.606,900,549.487,255.00
26.617,900,549.998,255.00
26.617,900,550.417,255.00
26.595,900,551.150,255.00
26.628,900,551.942,255.00
26.638,900,552.508,255.00
26.617,900,552.968,255.00
26.617,900,553.572,255.00
26.649,900,554.081,255.00
26.660,900,554.648,255.00
26.660,900,555.268,255.00
26.660,900,555.991,255.00
26.671,900,556.271,255.00
26.681,900,557.209,255.00
26.671,900,557.635,255.00
26.692,900,558.063,255.00
26.703,900,558.750,255.00
26.703,900,559.189,255.00
26.713,900,559.928,255.00
26.735,900,560.570,255.00
26.724,900,561.150,255.00
26.756,900,561.998,255.00
26.735,900,562.507,255.00
26.735,900,562.961,255.00
26.746,900,563.550,255.00
26.767,900,563.906,255.00
26.756,900,564.418,255.00
26.799,900,565.276,255.00
26.767,900,565.878,255.00
26.799,900,566.416,255.00
26.778,900,566.974,255.00
26.799,900,567.542,255.00
26.799,900,568.042,255.00
26.799,900,568.565,255.00
26.810,900,569.310,255.00
26.821,900,569.599,255.00
26.821,900,570.258,255.00
26.853,900,571.036,255.00
26.853,900,571.867,255.00
26.864,900,572.453,255.00
26.853,900,573.118,255.00
26.885,900,573.525,255.00
26.874,900,573.997,255.00
26.874,900,574.578,255.00
26.874,900,575.346,255.00
26.885,900,575.915,255.00
26.896,900,576.517,255.00
26.896,900,576.975,255.00
26.907,900,577.236,255.00
26.917,900,577.770,255.00
26.917,900,578.197,255.00
26.917,900,578.912,255.00
26.928,900,579.459,255.00
26.928,900,580.017,255.00
26.939,900,580.634,255.00
26.949,900,581.055,255.00
26.949,900,581.762,255.00
26.960,900,582.404,255.00
26.982,900,583.000,255.00
