si7021_c,setpoint,adc,pwm
29.019,231,758.601,0.00
28.987,231,757.410,0.00
28.998,231,756.274,0.00
28.976,231,755.263,0.00
28.955,231,753.892,0.00
28.955,231,752.406,0.00
28.944,231,751.376,0.00
28.944,231,750.281,0.00
28.912,231,749.064,0.00
28.912,231,748.069,0.00
28.901,231,746.746,0.00
28.869,231,745.796,0.00
28.869,231,744.803,0.00
28.837,231,743.454,0.00
28.837,231,742.014,0.00
28.826,231,740.940,0.00
28.816,231,739.776,0.00
28.794,231,738.875,0.00
28.783,231,738.053,0.00
28.783,231,736.491,0.00
28.762,231,735.376,0.00
28.740,231,734.169,0.00
28.730,231,733.389,0.00
28.708,231,732.162,0.00
28.708,231,731.107,0.00
28.676,231,729.956,0.00
28.665,231,728.880,0.00
28.665,231,727.620,0.00
28.665,231,726.516,0.00
28.633,231,725.488,0.00
28.623,231,724.524,0.00
28.612,231,723.399,0.00
28.590,231,722.336,0.00
28.580,231,721.217,0.00
28.558,231,720.073,0.00
28.569,231,718.960,0.00
28.537,231,718.059,0.00
28.537,231,716.867,0.00
28.515,231,715.962,0.00
28.505,231,715.119,0.00
28.505,231,713.853,0.00
28.483,231,712.757,0.00
28.483,231,711.483,0.00
28.462,231,710.415,0.00
28.451,231,709.246,0.00
28.451,231,708.266,0.00
28.440,231,707.242,0.00
28.440,231,706.111,0.00
28.408,231,704.938,0.00
28.376,231,703.957,0.00
28.397,231,703.099,0.00
28.376,231,702.430,0.00
28.376,231,701.118,0.00
28.344,231,700.080,0.00
28.344,231,698.957,0.00
28.311,231,698.135,0.00
28.333,231,696.820,0.00
28.311,231,696.020,0.00
28.269,231,694.736,0.00
28.290,231,693.778,0.00
28.290,231,692.843,0.00
28.258,231,692.147,0.00
28.269,231,690.982,0.00
28.247,231,690.028,0.00
28.236,231,688.832,0.00
28.226,231,688.196,0.00
28.194,231,687.044,0.00
28.194,231,685.956,0.00
28.194,231,685.016,0.00
28.183,231,684.489,0.00
28.161,231,683.384,0.00
28.151,231,682.195,0.00
28.151,231,681.355,0.00
28.129,231,680.543,0.00
28.151,231,679.685,0.00
28.118,231,678.774,0.00
28.108,231,677.946,0.00
28.086,231,676.949,0.00
28.097,231,675.936,0.00
28.076,231,675.078,0.00
28.065,231,674.064,0.00
28.043,231,673.318,0.00
28.054,231,672.248,0.00
28.043,231,671.583,0.00
28.022,231,670.841,0.00
28.022,231,669.951,0.00
28.000,231,669.104,0.00
28.000,231,667.945,0.00
28.011,231,667.170,0.00
27.968,231,666.152,0.00
27.968,231,665.424,0.00
27.947,231,664.705,0.00
27.958,231,663.761,0.00
27.958,231,663.060,0.00
27.936,231,661.956,0.00
27.936,231,661.204,0.00
27.915,231,660.333,0.00
27.904,231,659.295,0.00
27.893,231,658.418,0.00
27.882,231,657.661,0.00
27.872,231,657.034,0.00
27.882,231,656.076,0.00
27.861,231,655.173,0.00
27.850,231,654.166,0.00
27.840,231,653.281,0.00
27.840,231,652.634,0.00
27.829,231,651.915,0.00
27.829,231,651.244,0.00
27.807,231,650.473,0.00
27.807,231,649.818,0.00
27.797,231,649.209,0.00
27.775,231,648.201,0.00
27.765,231,647.575,0.00
27.765,231,646.742,0.00
27.743,231,645.789,0.00
27.743,231,644.895,0.00
27.754,231,644.398,0.00
27.722,231,643.473,0.00
27.711,231,642.724,0.00
27.732,231,641.867,0.00
27.700,231,641.215,0.00
27.679,231,640.308,0.00
27.689,231,639.543,0.00
27.679,231,638.909,0.00
27.668,231,638.283,0.00
27.668,231,637.442,0.00
27.668,231,636.620,0.00
27.636,231,636.089,0.00
27.657,231,635.292,0.00
27.625,231,634.621,0.00
27.614,231,633.821,0.00
27.636,231,632.993,0.00
27.604,231,632.108,0.00
27.593,231,631.361,0.00
27.571,231,630.662,0.00
27.561,231,630.073,0.00
27.550,231,629.501,0.00
27.561,231,628.755,0.00
27.571,231,628.142,0.00
27.550,231,627.148,0.00
27.529,231,626.423,0.00
27.529,231,625.761,0.00
27.529,231,624.934,0.00
27.507,231,624.328,0.00
27.507,231,623.620,0.00
27.496,231,622.782,0.00
27.496,231,621.950,0.00
27.475,231,621.416,0.00
27.475,231,620.677,0.00
27.475,231,620.206,0.00
27.464,231,619.347,0.00
27.475,231,618.773,0.00
27.453,231,617.832,0.00
27.443,231,617.213,0.00
27.411,231,616.867,0.00
27.400,231,616.040,0.00
27.421,231,615.278,0.00
27.421,231,614.616,0.00
27.400,231,613.782,0.00
27.411,231,613.312,0.00
27.368,231,613.049,0.00
27.378,231,612.099,0.00
27.368,231,611.498,0.00
27.357,231,610.702,0.00
27.346,231,610.040,0.00
27.346,231,609.261,0.00
27.346,231,608.433,0.00
27.336,231,607.859,0.00
27.314,231,607.129,0.00
27.336,231,606.494,0.00
27.303,231,605.678,0.00
27.293,231,605.102,0.00
27.293,231,604.330,0.00
27.303,231,603.927,0.00
27.282,231,603.366,0.00
27.271,231,602.671,0.00
27.282,231,601.900,0.00
27.250,231,601.375,0.00
27.250,231,600.609,0.00
27.228,231,599.969,0.00
27.218,231,599.198,0.00
27.228,231,598.500,0.00
27.207,231,598.040,0.00
27.228,231,597.079,0.00
27.228,231,596.358,0.00
27.196,231,595.962,0.00
27.207,231,595.298,0.00
27.185,231,594.709,0.00
27.164,231,593.968,0.00
27.164,231,593.441,0.00
27.175,231,592.770,0.00
27.153,231,592.053,0.00
27.142,231,591.600,0.00
27.153,231,591.038,0.00
27.142,231,590.401,0.00
27.121,231,589.869,0.00
27.110,231,589.108,0.00
27.110,231,588.376,0.00
27.100,231,588.002,0.00
27.100,231,587.618,0.00
27.100,231,586.748,0.00
27.089,231,586.231,0.00
27.067,231,585.416,0.00
27.089,231,584.877,0.00
27.057,231,584.486,0.00
27.067,231,583.792,0.00
27.046,231,582.985,0.00
27.046,231,582.399,0.00
27.046,231,581.917,0.00
27.003,231,581.395,0.00
27.024,231,580.634,0.00
27.024,231,580.375,0.00
27.003,231,579.684,0.00
27.014,231,579.086,0.00
27.003,231,578.450,0.00
26.992,231,577.958,0.00
26.982,231,577.204,0.00
26.982,231,576.805,0.00
26.971,231,576.306,0.00
26.960,231,575.813,0.00
26.949,231,575.494,0.00
26.928,231,574.410,0.00
26.928,231,573.882,0.00
26.939,231,573.557,0.00
26.928,231,573.065,0.00
26.917,231,572.728,0.00
26.917,231,572.135,0.00
26.896,231,571.399,0.00
26.896,231,570.598,0.00
26.907,231,569.992,0.00
26.885,231,569.606,0.00
26.885,231,569.170,0.00
26.885,231,568.372,0.00
26.864,231,567.709,0.00
26.874,231,567.167,0.00
26.864,231,566.639,0.00
26.842,231,566.149,0.00
26.842,231,565.611,0.00
26.821,231,565.168,0.00
26.821,231,564.418,0.00
26.842,231,563.985,0.00
26.831,231,563.261,0.00
26.821,231,562.747,0.00
26.810,231,562.139,0.00
26.810,231,561.503,0.00
26.799,231,560.940,0.00
26.799,231,560.353,0.00
26.789,231,560.131,0.00
26.756,231,559.457,0.00
26.767,231,558.717,0.00
26.767,231,558.432,0.00
26.767,231,557.867,0.00
26.746,231,557.361,0.00
26.746,231,556.660,0.00
26.746,231,556.169,0.00
26.713,231,555.762,0.00
26.735,231,555.148,0.00
26.724,231,554.562,0.00
26.713,231,553.970,0.00
26.703,231,553.561,0.00
26.703,231,552.749,0.00
26.703,231,552.339,0.00
26.703,231,551.905,0.00
26.671,231,551.412,0.00
26.681,231,550.717,0.00
26.671,231,550.245,0.00
26.660,231,549.715,0.00
26.660,231,549.139,0.00
26.671,231,548.470,0.00
26.649,231,547.886,0.00
26.628,231,547.518,0.00
26.628,231,546.999,0.00
26.628,231,546.680,0.00
26.628,231,546.189,0.00
26.628,231,545.624,0.00
26.617,231,545.062,0.00
26.617,231,544.736,0.00
26.606,231,544.290,0.00
26.595,231,543.779,0.00
