si_7021_ambient_c,si7021_internal_c,diff
22.960,22.874,0.086
22.938,22.874,0.064
22.917,22.852,0.064
22.906,22.863,0.043
22.938,22.863,0.075
22.949,22.863,0.086
22.927,22.852,0.075
22.938,22.852,0.086
22.938,22.852,0.086
22.927,22.874,0.054
22.927,22.852,0.075
22.927,22.842,0.086
22.927,22.863,0.064
22.927,22.874,0.054
22.938,22.863,0.075
22.927,22.874,0.054
22.927,22.874,0.054
22.917,22.863,0.054
22.949,22.885,0.064
22.938,22.863,0.075
22.938,22.863,0.075
22.938,22.863,0.075
22.938,22.874,0.064
22.938,22.863,0.075
22.938,22.852,0.086
22.938,22.852,0.086
22.938,22.874,0.064
22.927,22.863,0.064
22.938,22.852,0.086
22.927,22.852,0.075
22.938,22.874,0.064
22.938,22.885,0.054
22.949,22.874,0.075
22.917,22.874,0.043
22.927,22.852,0.075
22.938,22.863,0.075
22.938,22.874,0.064
22.917,22.852,0.064
22.927,22.874,0.054
22.917,22.852,0.064
22.938,22.874,0.064
22.938,22.852,0.086
22.938,22.863,0.075
22.917,22.863,0.054
22.938,22.874,0.064
22.938,22.863,0.075
22.927,22.874,0.054
22.938,22.863,0.075
22.949,22.874,0.075
22.938,22.863,0.075
22.938,22.874,0.064
22.938,22.863,0.075
22.938,22.874,0.064
22.917,22.874,0.043
22.927,22.863,0.064
22.938,22.852,0.086
22.938,22.885,0.054
22.927,22.863,0.064
22.938,22.874,0.064
22.927,22.863,0.064
22.938,22.863,0.075
22.938,22.863,0.075
22.938,22.874,0.064
22.927,22.863,0.064
22.938,22.863,0.075
22.938,22.852,0.086
22.927,22.863,0.064
22.927,22.874,0.054
22.927,22.863,0.064
22.917,22.852,0.064
22.927,22.874,0.054
22.949,22.874,0.075
22.938,22.874,0.064
22.917,22.852,0.064
22.938,22.863,0.075
22.927,22.874,0.054
22.938,22.863,0.075
22.906,22.863,0.043
22.927,22.874,0.054
22.938,22.874,0.064
22.917,22.885,0.032
22.949,22.874,0.075
22.949,22.885,0.064
22.960,22.874,0.086
22.938,22.874,0.064
22.906,22.885,0.021
22.927,22.885,0.043
22.917,22.874,0.043
22.949,22.874,0.075
22.917,22.863,0.054
22.927,22.863,0.064
22.927,22.852,0.075
22.938,22.874,0.064
22.938,22.874,0.064
22.927,22.874,0.054
22.917,22.852,0.064
22.917,22.874,0.043
22.938,22.863,0.075
22.938,22.863,0.075
22.938,22.863,0.075
22.917,22.863,0.054
22.927,22.874,0.054
22.927,22.874,0.054
22.938,22.874,0.064
22.960,22.852,0.107
22.938,22.874,0.064
22.949,22.874,0.075
22.906,22.863,0.043
22.938,22.885,0.054
22.938,22.852,0.086
22.938,22.842,0.097
22.938,22.863,0.075
22.927,22.863,0.064
22.938,22.852,0.086
22.927,22.863,0.064
22.938,22.874,0.064
22.938,22.874,0.064
22.949,22.863,0.086
22.938,22.885,0.054
22.938,22.863,0.075
22.938,22.874,0.064
22.917,22.885,0.032
22.938,22.874,0.064
22.938,22.874,0.064
22.938,22.874,0.064
22.938,22.874,0.064
22.938,22.863,0.075
22.927,22.863,0.064
22.917,22.863,0.054
22.927,22.874,0.054
22.949,22.852,0.097
22.927,22.874,0.054
22.938,22.874,0.064
22.927,22.874,0.054
22.938,22.885,0.054
22.938,22.874,0.064
22.938,22.885,0.054
22.938,22.874,0.064
22.938,22.863,0.075
