si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
22.112,22.992,231,228.058,22.9666,-0.0334,29.71,0.8544
22.069,22.970,231,227.952,22.9654,-0.0346,31.08,0.8961
22.091,22.992,231,227.920,22.9650,-0.0350,31.70,0.8743
22.091,22.992,231,227.822,22.9639,-0.0361,33.00,0.8732
22.059,23.003,231,227.803,22.9637,-0.0363,33.52,0.9051
22.091,22.970,231,227.834,22.9640,-0.0360,33.52,0.8733
22.080,22.992,231,227.800,22.9636,-0.0364,34.18,0.8836
22.101,22.970,231,227.788,22.9635,-0.0365,34.62,0.8620
22.091,22.970,231,227.557,22.9609,-0.0391,37.27,0.8702
22.101,22.970,231,227.357,22.9586,-0.0414,39.65,0.8571
22.080,22.992,231,227.490,22.9601,-0.0399,38.66,0.8801
22.091,22.960,231,227.460,22.9598,-0.0402,39.31,0.8691
22.080,22.960,231,227.346,22.9585,-0.0415,40.82,0.8785
22.101,22.970,231,227.218,22.9570,-0.0430,42.48,0.8556
22.091,22.970,231,227.374,22.9588,-0.0412,41.28,0.8681
22.069,22.970,231,227.272,22.9576,-0.0424,42.68,0.8884
22.101,22.949,231,227.255,22.9574,-0.0426,43.22,0.8560
22.069,22.970,231,227.059,22.9552,-0.0448,45.57,0.8859
22.069,22.970,231,227.131,22.9560,-0.0440,45.24,0.8868
22.101,22.970,231,227.102,22.9557,-0.0443,45.92,0.8542
22.080,22.970,231,227.083,22.9555,-0.0445,46.50,0.8755
22.101,22.970,231,227.057,22.9552,-0.0448,47.16,0.8537
22.069,22.970,231,226.970,22.9542,-0.0458,48.43,0.8849
22.080,22.949,231,226.854,22.9529,-0.0471,50.00,0.8729
22.059,22.981,231,226.915,22.9536,-0.0464,49.80,0.8950
22.069,22.949,231,226.994,22.9545,-0.0455,49.41,0.8852
22.091,22.970,231,226.869,22.9531,-0.0469,51.08,0.8623
22.069,22.970,231,227.021,22.9548,-0.0452,49.96,0.8855
22.059,22.960,231,226.973,22.9542,-0.0458,50.83,0.8957
22.069,22.949,231,226.834,22.9527,-0.0473,52.64,0.8834
22.080,22.949,231,226.763,22.9519,-0.0481,53.77,0.8718
22.080,22.960,231,226.504,22.9489,-0.0511,56.81,0.8689
22.069,22.938,231,226.419,22.9479,-0.0521,58.12,0.8787
22.091,22.960,231,226.617,22.9502,-0.0498,56.58,0.8595
22.059,22.970,231,226.653,22.9506,-0.0494,56.66,0.8920
22.059,22.970,231,226.566,22.9496,-0.0504,57.97,0.8911
22.080,22.938,231,226.729,22.9515,-0.0485,56.76,0.8715
22.069,22.970,231,226.761,22.9518,-0.0482,56.87,0.8825
22.069,22.970,231,226.547,22.9494,-0.0506,59.46,0.8801
22.080,22.949,231,226.492,22.9488,-0.0512,60.46,0.8688
22.091,22.970,231,226.701,22.9511,-0.0489,58.80,0.8604
22.112,22.970,231,226.396,22.9477,-0.0523,62.31,0.8355
22.069,22.960,231,226.383,22.9475,-0.0525,62.90,0.8783
22.091,22.960,231,226.474,22.9486,-0.0514,62.44,0.8578
22.101,22.949,231,226.785,22.9521,-0.0479,59.75,0.8506
22.091,22.970,231,226.656,22.9506,-0.0494,61.48,0.8599
22.091,22.960,231,226.844,22.9528,-0.0472,60.01,0.8621
22.101,22.970,231,226.843,22.9528,-0.0472,60.44,0.8513
22.091,22.970,231,226.886,22.9533,-0.0467,60.42,0.8625
22.101,22.970,231,226.741,22.9516,-0.0484,62.29,0.8502
22.101,22.970,231,227.000,22.9545,-0.0455,60.11,0.8531
