si7021_c,si7021_h,set,input,output
28.183,48.161,400,684.605,0.00
28.183,48.138,400,684.918,0.00
28.204,48.123,400,684.660,0.00
28.183,48.131,400,683.945,0.00
28.183,48.131,400,684.402,0.00
28.183,48.123,400,684.465,0.00
28.183,48.115,400,684.373,0.00
28.172,48.115,400,683.551,0.00
28.172,48.123,400,684.115,0.00
28.172,48.115,400,683.980,0.00
28.172,48.123,400,683.932,0.00
28.172,48.108,400,683.783,0.00
28.172,48.123,400,683.369,0.00
28.172,48.108,400,683.559,0.00
28.172,48.115,400,683.316,0.00
28.172,48.085,400,683.469,0.00
28.161,48.108,400,682.918,0.00
28.161,48.108,400,683.367,0.00
28.161,48.108,400,682.754,0.00
28.172,48.108,400,682.584,0.00
28.183,48.115,400,682.482,0.00
28.172,48.092,400,682.656,0.00
28.151,48.100,400,682.512,0.00
28.172,48.085,400,682.334,0.00
28.151,48.100,400,682.199,0.00
28.140,48.092,400,681.863,0.00
28.161,48.092,400,682.160,0.00
28.151,48.092,400,681.928,0.00
28.151,48.085,400,681.428,0.00
28.151,48.077,400,681.789,0.00
28.140,48.092,400,682.021,0.00
28.161,48.092,400,681.457,0.00
28.172,48.092,400,681.221,0.00
28.151,48.077,400,681.217,0.00
28.140,48.077,400,680.754,0.00
28.118,48.077,400,680.877,0.00
28.151,48.062,400,680.920,0.00
28.140,48.085,400,680.871,0.00
28.151,48.077,400,680.543,0.00
28.140,48.070,400,680.494,0.00
28.151,48.062,400,680.020,0.00
28.151,48.062,400,680.057,0.00
28.140,48.062,400,679.836,0.00
28.129,48.070,400,679.711,0.00
28.129,48.070,400,679.809,0.00
28.129,48.070,400,680.027,0.00
28.118,48.054,400,680.111,0.00
28.129,48.077,400,679.584,0.00
28.129,48.077,400,679.266,0.00
28.118,48.054,400,679.219,0.00
28.118,48.062,400,678.416,0.00
28.108,48.070,400,679.135,0.00
28.108,48.062,400,678.705,0.00
28.118,48.054,400,678.680,0.00
28.129,48.054,400,678.205,0.00
28.118,48.070,400,678.553,0.00
28.118,48.054,400,678.240,0.00
28.097,48.047,400,677.760,0.00
28.118,48.062,400,678.178,0.00
28.118,48.062,400,678.148,0.00
28.097,48.070,400,677.590,0.00
28.097,48.070,400,677.801,0.00
28.097,48.070,400,677.615,0.00
28.108,48.070,400,677.596,0.00
28.108,48.047,400,677.322,0.00
28.097,48.062,400,677.445,0.00
28.097,48.062,400,677.094,0.00
28.118,48.070,400,676.744,0.00
28.097,48.047,400,676.369,0.00
28.097,48.062,400,676.457,0.00
28.108,48.054,400,676.400,0.00
28.086,48.047,400,676.422,0.00
28.086,48.047,400,676.418,0.00
28.086,48.077,400,676.104,0.00
