setpoint,input,ouput
400.00,383.27,127.00
400.00,382.84,127.00
400.00,382.93,127.00
400.00,383.75,127.00
400.00,383.46,127.00
400.00,383.38,254.00
400.00,383.03,254.00
400.00,383.32,254.00
400.00,383.77,254.00
400.00,383.85,254.00
400.00,383.87,254.00
400.00,383.38,254.00
400.00,383.26,254.00
400.00,383.54,254.00
400.00,383.49,254.00
400.00,383.88,254.00
400.00,384.08,254.00
400.00,384.05,254.00
400.00,384.20,254.00
400.00,384.36,254.00
400.00,383.76,254.00
400.00,384.36,254.00
400.00,383.72,254.00
400.00,384.09,254.00
400.00,384.07,254.00
400.00,383.71,254.00
400.00,384.60,254.00
400.00,385.13,254.00
400.00,385.16,254.00
400.00,385.16,254.00
400.00,385.62,254.00
400.00,385.37,254.00
400.00,385.48,254.00
400.00,385.79,254.00
400.00,386.55,254.00
400.00,387.36,254.00
400.00,386.86,254.00
400.00,387.90,254.00
400.00,387.26,254.00
400.00,387.58,254.00
400.00,388.16,254.00
400.00,387.58,254.00
400.00,387.78,254.00
400.00,388.21,254.00
400.00,388.19,254.00
400.00,388.03,254.00
400.00,388.05,254.00
400.00,388.38,254.00
400.00,388.87,254.00
400.00,388.91,254.00
400.00,389.03,254.00
400.00,389.09,254.00
400.00,389.38,254.00
400.00,388.98,254.00
400.00,389.79,254.00
400.00,389.72,254.00
400.00,390.30,254.00
400.00,390.35,254.00
400.00,390.78,254.00
400.00,390.62,254.00
400.00,390.51,254.00
400.00,390.78,254.00
400.00,391.19,254.00
400.00,391.61,254.00
400.00,392.07,254.00
400.00,392.22,254.00
400.00,392.71,254.00
400.00,392.05,254.00
400.00,392.23,254.00
400.00,392.47,254.00
400.00,392.75,254.00
400.00,393.12,254.00
400.00,393.20,254.00
400.00,393.24,254.00
400.00,393.54,254.00
400.00,392.96,254.00
400.00,393.25,254.00
400.00,394.05,254.00
400.00,394.61,254.00
400.00,394.30,254.00
400.00,394.63,254.00
400.00,394.17,254.00
400.00,394.45,254.00
400.00,394.14,254.00
400.00,394.55,254.00
400.00,394.99,254.00
400.00,394.83,254.00
400.00,395.39,254.00
400.00,395.86,254.00
400.00,395.46,254.00
400.00,395.74,254.00
400.00,396.27,254.00
400.00,396.53,254.00
400.00,396.81,254.00
400.00,396.88,254.00
400.00,397.32,254.00
400.00,397.18,254.00
400.00,397.51,254.00
400.00,397.54,254.00
400.00,397.98,254.00
400.00,397.42,254.00
400.00,397.68,254.00
400.00,397.93,254.00
400.00,397.88,254.00
400.00,398.59,254.00
400.00,398.61,254.00
400.00,399.20,254.00
400.00,398.91,254.00
400.00,398.53,254.00
400.00,398.92,254.00
400.00,399.22,254.00
400.00,399.41,254.00
400.00,399.93,254.00
400.00,399.97,254.00
400.00,399.84,254.00
400.00,400.34,254.00
400.00,399.86,254.00
400.00,400.32,254.00
400.00,400.29,254.00
400.00,400.38,254.00
400.00,400.96,254.00
400.00,400.24,254.00
400.00,401.49,254.00
400.00,401.51,254.00
400.00,401.79,254.00
400.00,401.21,254.00
400.00,402.39,254.00
400.00,402.10,254.00
400.00,402.43,254.00
400.00,402.65,254.00
400.00,402.67,254.00
400.00,402.94,254.00
400.00,403.07,254.00
400.00,403.17,254.00
400.00,403.64,254.00
400.00,403.21,254.00
400.00,403.77,254.00
400.00,403.81,254.00
400.00,404.68,254.00
400.00,404.37,254.00
400.00,404.64,254.00
400.00,404.71,254.00
400.00,404.95,254.00
400.00,405.19,254.00
400.00,405.16,254.00
400.00,404.89,254.00
400.00,405.48,254.00
400.00,405.26,254.00
400.00,405.86,254.00
400.00,406.32,254.00
400.00,405.88,254.00
400.00,406.18,254.00
400.00,406.68,254.00
400.00,406.58,254.00
400.00,406.78,254.00
400.00,406.84,254.00
400.00,407.25,254.00
400.00,407.62,254.00
400.00,407.38,254.00
400.00,408.21,254.00
400.00,407.61,254.00
400.00,408.77,254.00
400.00,409.53,254.00
400.00,408.86,254.00
400.00,409.34,254.00
400.00,409.00,254.00
400.00,409.24,254.00
400.00,409.75,254.00
400.00,409.85,254.00
400.00,409.91,254.00
400.00,410.11,254.00
400.00,409.77,254.00
400.00,410.52,254.00
400.00,410.36,254.00
400.00,411.02,254.00
400.00,410.90,254.00
400.00,411.16,254.00
400.00,411.75,254.00
400.00,411.35,254.00
400.00,412.20,254.00
400.00,412.21,254.00
400.00,412.27,254.00
400.00,412.65,254.00
400.00,412.07,254.00
400.00,413.46,254.00
400.00,412.88,254.00
400.00,412.71,254.00
400.00,413.23,254.00
400.00,413.57,254.00
400.00,413.61,254.00
400.00,413.26,254.00
400.00,413.10,254.00
400.00,413.52,254.00
400.00,413.76,254.00
400.00,414.13,254.00
400.00,413.52,254.00
400.00,414.40,254.00
400.00,414.14,254.00
400.00,414.71,254.00
400.00,414.74,254.00
400.00,415.01,254.00
400.00,415.05,254.00
400.00,415.24,254.00
400.00,415.50,254.00
400.00,415.72,254.00
400.00,415.66,254.00
400.00,416.31,254.00
400.00,415.99,254.00
400.00,416.38,254.00
400.00,416.23,254.00
400.00,416.64,254.00
400.00,417.01,254.00
400.00,417.82,254.00
400.00,418.23,254.00
400.00,417.47,254.00
400.00,418.34,254.00
400.00,418.47,254.00
400.00,418.52,254.00
400.00,418.38,254.00
400.00,418.63,254.00
400.00,418.17,254.00
400.00,418.61,254.00
400.00,418.61,254.00
400.00,418.79,254.00
400.00,419.37,254.00
400.00,419.26,254.00
400.00,419.74,254.00
400.00,419.71,254.00
400.00,419.85,254.00
400.00,420.10,254.00
400.00,420.83,254.00
400.00,420.05,254.00
400.00,420.98,254.00
400.00,420.41,254.00
400.00,421.46,254.00
400.00,421.33,254.00
400.00,421.23,254.00
400.00,421.82,254.00
400.00,421.39,254.00
400.00,421.66,254.00
400.00,421.18,254.00
400.00,421.97,254.00
400.00,422.10,254.00
400.00,422.19,254.00
400.00,422.17,254.00
400.00,422.93,254.00
400.00,423.50,254.00
400.00,423.13,254.00
400.00,423.28,254.00
400.00,422.98,254.00
400.00,423.67,254.00
400.00,423.81,254.00
400.00,423.74,254.00
400.00,423.66,254.00
400.00,424.04,254.00
400.00,423.94,254.00
400.00,424.47,254.00
400.00,424.32,254.00
400.00,424.73,254.00
400.00,425.09,254.00
400.00,425.05,254.00
400.00,425.36,254.00
400.00,425.16,254.00
400.00,425.60,254.00
400.00,425.47,254.00
400.00,425.39,254.00
400.00,425.47,254.00
400.00,426.31,254.00
400.00,426.13,254.00
400.00,426.15,254.00
400.00,426.93,254.00
400.00,426.74,254.00
400.00,427.73,254.00
400.00,427.52,254.00
400.00,427.44,254.00
400.00,427.68,254.00
400.00,427.97,254.00
400.00,428.01,254.00
400.00,428.32,254.00
400.00,428.60,254.00
400.00,427.91,254.00
400.00,428.93,254.00
400.00,428.00,254.00
400.00,428.44,254.00
400.00,429.05,254.00
400.00,429.09,254.00
400.00,428.87,254.00
400.00,428.53,254.00
400.00,428.98,254.00
400.00,429.09,254.00
400.00,429.10,254.00
400.00,430.16,254.00
400.00,430.19,254.00
400.00,430.65,254.00
400.00,430.20,254.00
400.00,430.40,254.00
400.00,430.99,254.00
400.00,431.50,254.00
400.00,431.83,254.00
400.00,431.14,254.00
400.00,430.71,254.00
400.00,431.53,254.00
400.00,431.70,254.00
400.00,431.78,254.00
400.00,432.31,254.00
400.00,431.82,254.00
400.00,432.99,254.00
400.00,432.43,254.00
400.00,432.40,254.00
400.00,432.78,254.00
400.00,432.82,254.00
400.00,433.53,254.00
400.00,432.78,254.00
400.00,433.07,254.00
400.00,433.46,254.00
400.00,433.80,254.00
400.00,434.24,254.00
400.00,433.80,254.00
400.00,434.69,254.00
400.00,434.84,254.00
400.00,435.11,0.00
400.00,435.04,0.00
400.00,434.95,0.00
400.00,435.49,0.00
400.00,435.95,0.00
400.00,435.88,0.00
400.00,436.09,0.00
400.00,436.06,0.00
400.00,436.13,0.00
400.00,435.74,0.00
400.00,435.94,0.00
400.00,435.79,0.00
400.00,436.10,0.00
400.00,435.63,0.00
400.00,435.26,0.00
400.00,435.70,0.00
400.00,435.88,0.00
400.00,435.38,0.00
400.00,435.98,0.00
400.00,435.70,0.00
400.00,435.01,0.00
400.00,435.41,0.00
400.00,434.96,0.00
400.00,435.14,0.00
400.00,435.47,0.00
400.00,434.85,0.00
400.00,434.41,0.00
400.00,434.94,0.00
400.00,434.21,0.00
400.00,434.70,0.00
400.00,434.56,0.00
400.00,434.79,0.00
400.00,434.47,0.00
400.00,434.25,0.00
400.00,433.87,0.00
400.00,434.09,0.00
400.00,433.71,0.00
400.00,434.01,0.00
400.00,433.44,0.00
400.00,433.79,0.00
400.00,433.86,0.00
400.00,434.22,0.00
400.00,433.26,0.00
400.00,433.50,0.00
400.00,432.93,0.00
400.00,433.08,0.00
400.00,433.06,0.00
400.00,433.01,0.00
400.00,432.89,0.00
400.00,433.19,0.00
400.00,432.94,0.00
400.00,432.29,0.00
400.00,433.07,0.00
400.00,432.64,0.00
400.00,432.49,0.00
400.00,432.48,0.00
400.00,432.41,0.00
400.00,432.84,0.00
400.00,432.37,0.00
400.00,432.41,0.00
400.00,432.50,0.00
400.00,432.16,0.00
400.00,432.87,0.00
400.00,432.29,0.00
400.00,431.82,0.00
400.00,431.69,0.00
400.00,431.73,0.00
400.00,431.39,0.00
400.00,430.98,0.00
400.00,431.49,0.00
400.00,431.41,0.00
400.00,430.79,0.00
400.00,430.96,0.00
400.00,431.22,0.00
400.00,431.11,0.00
400.00,431.51,0.00
400.00,431.16,0.00
400.00,430.57,0.00
400.00,430.65,0.00
400.00,430.81,0.00
400.00,430.73,0.00
400.00,430.09,0.00
400.00,430.24,0.00
400.00,429.80,0.00
400.00,430.16,0.00
400.00,430.32,0.00
400.00,430.69,0.00
400.00,430.38,0.00
400.00,430.11,0.00
400.00,429.93,0.00
400.00,429.91,0.00
400.00,429.73,0.00
400.00,429.61,0.00
400.00,429.84,0.00
400.00,429.16,0.00
400.00,429.48,0.00
400.00,428.96,0.00
400.00,429.38,0.00
400.00,428.46,0.00
400.00,428.59,0.00
400.00,428.59,0.00
400.00,427.93,0.00
400.00,428.05,0.00
400.00,428.16,0.00
400.00,428.02,0.00
400.00,427.62,0.00
400.00,428.27,0.00
400.00,427.42,0.00
400.00,427.08,0.00
400.00,427.93,0.00
400.00,427.21,0.00
400.00,426.98,0.00
400.00,426.51,0.00
400.00,426.96,0.00
400.00,426.91,0.00
400.00,426.46,0.00
400.00,426.84,0.00
400.00,426.52,0.00
400.00,426.86,0.00
400.00,426.29,0.00
400.00,425.66,0.00
400.00,427.03,0.00
400.00,426.03,0.00
400.00,425.75,0.00
400.00,425.89,0.00
400.00,426.29,0.00
400.00,425.58,0.00
400.00,425.68,0.00
400.00,426.26,0.00
400.00,425.63,0.00
400.00,425.59,0.00
400.00,425.82,0.00
400.00,425.46,0.00
400.00,425.61,0.00
400.00,424.82,0.00
400.00,425.13,0.00
400.00,425.12,0.00
400.00,425.49,0.00
400.00,424.89,0.00
400.00,424.52,0.00
400.00,424.45,0.00
400.00,424.52,0.00
400.00,424.54,0.00
400.00,424.03,0.00
400.00,424.27,0.00
400.00,424.68,0.00
400.00,423.62,0.00
400.00,424.13,0.00
400.00,424.39,0.00
400.00,423.54,0.00
400.00,423.23,0.00
400.00,423.45,0.00
400.00,424.00,0.00
400.00,423.41,0.00
400.00,423.38,0.00
400.00,423.80,0.00
400.00,422.85,0.00
400.00,423.19,0.00
400.00,423.59,0.00
400.00,423.44,0.00
400.00,423.54,0.00
400.00,423.25,0.00
400.00,423.43,0.00
400.00,422.59,0.00
400.00,422.46,0.00
400.00,421.93,0.00
400.00,422.39,0.00
400.00,422.12,0.00
400.00,421.93,0.00
400.00,422.02,0.00
400.00,421.86,0.00
400.00,421.70,0.00
400.00,421.45,0.00
400.00,420.93,0.00
400.00,421.49,0.00
400.00,421.93,0.00
400.00,421.35,0.00
400.00,421.05,0.00
400.00,420.73,0.00
400.00,421.10,0.00
400.00,421.03,0.00
400.00,420.69,0.00
400.00,420.90,0.00
400.00,420.48,0.00
400.00,419.91,0.00
400.00,419.43,0.00
400.00,419.96,0.00
400.00,419.80,0.00
400.00,419.64,0.00
400.00,419.68,0.00
400.00,419.64,0.00
400.00,419.41,0.00
400.00,419.48,0.00
400.00,419.30,0.00
400.00,419.03,0.00
400.00,419.16,0.00
400.00,419.10,0.00
400.00,419.11,0.00
400.00,419.13,0.00
400.00,418.81,0.00
400.00,418.39,0.00
400.00,418.11,0.00
400.00,419.07,0.00
400.00,418.73,0.00
400.00,418.58,0.00
400.00,418.47,0.00
400.00,418.47,0.00
400.00,417.80,0.00
400.00,417.96,0.00
400.00,417.93,0.00
400.00,417.96,0.00
400.00,417.91,0.00
400.00,418.05,0.00
400.00,417.80,0.00
400.00,417.76,0.00
400.00,417.55,0.00
400.00,417.65,0.00
400.00,417.67,0.00
400.00,416.97,0.00
400.00,417.45,0.00
400.00,417.06,0.00
400.00,416.84,0.00
400.00,416.68,0.00
400.00,416.63,0.00
400.00,416.29,0.00
400.00,416.62,0.00
400.00,416.02,0.00
400.00,415.93,0.00
400.00,415.94,0.00
400.00,415.95,0.00
400.00,415.22,0.00
400.00,415.54,0.00
400.00,415.42,0.00
400.00,415.50,0.00
400.00,414.94,0.00
400.00,415.48,0.00
400.00,414.95,0.00
400.00,415.16,0.00
400.00,414.82,0.00
400.00,414.88,0.00
400.00,414.91,0.00
400.00,414.96,0.00
400.00,415.00,0.00
400.00,414.25,0.00
400.00,414.47,0.00
400.00,413.95,0.00
400.00,414.12,0.00
400.00,414.39,0.00
400.00,414.63,0.00
400.00,414.17,0.00
400.00,414.17,0.00
400.00,414.06,0.00
400.00,413.76,0.00
400.00,413.74,0.00
400.00,414.06,0.00
400.00,413.30,0.00
400.00,413.23,0.00
400.00,412.90,0.00
400.00,413.43,0.00
400.00,413.44,0.00
400.00,414.02,0.00
400.00,413.38,0.00
400.00,412.91,0.00
400.00,413.18,0.00
400.00,412.67,0.00
400.00,412.86,0.00
400.00,412.17,0.00
400.00,412.10,0.00
400.00,412.16,0.00
400.00,412.17,0.00
400.00,411.95,0.00
400.00,412.04,0.00
400.00,412.48,0.00
400.00,411.58,0.00
400.00,411.43,0.00
400.00,411.80,0.00
400.00,411.93,0.00
400.00,411.80,0.00
400.00,411.92,0.00
400.00,411.70,0.00
400.00,411.73,0.00
400.00,411.50,0.00
