si7021_c,setpoint,input,output
24.021,407,320.009,255.00
24.011,407,320.227,255.00
24.011,407,321.405,255.00
24.011,407,323.336,255.00
24.032,407,325.414,255.00
24.043,407,327.605,255.00
24.086,407,329.868,255.00
24.107,407,332.111,255.00
24.150,407,334.024,255.00
24.150,407,336.290,255.00
24.182,407,338.761,255.00
24.225,407,340.782,255.00
24.257,407,342.472,255.00
24.268,407,344.491,255.00
24.279,407,346.722,255.00
24.332,407,348.838,255.00
24.343,407,351.090,255.00
24.375,407,353.229,255.00
24.397,407,355.420,255.00
24.418,407,357.650,255.00
24.450,407,359.888,255.00
24.472,407,362.201,255.00
24.493,407,364.260,255.00
24.536,407,366.132,255.00
24.547,407,368.170,255.00
24.568,407,370.087,255.00
24.590,407,372.248,255.00
24.601,407,374.317,255.00
24.633,407,376.427,255.00
24.654,407,378.677,255.00
24.686,407,380.420,255.00
24.697,407,382.415,255.00
24.740,407,384.339,255.00
24.751,407,386.031,255.00
24.761,407,388.178,255.00
24.783,407,390.297,255.00
24.804,407,392.133,244.32
24.826,407,394.234,223.95
24.847,407,396.305,203.78
24.879,407,397.791,189.38
24.890,407,398.928,178.40
24.922,407,400.094,167.09
24.912,407,400.832,160.02
24.933,407,401.363,155.00
24.933,407,401.657,152.33
24.922,407,401.915,149.99
24.933,407,402.478,144.60
24.955,407,402.938,140.19
24.944,407,403.029,139.48
24.933,407,403.192,138.05
24.944,407,403.086,139.30
24.955,407,403.373,136.62
24.955,407,403.611,134.40
24.955,407,403.568,135.01
24.944,407,403.681,134.04
24.933,407,403.712,133.89
24.955,407,403.617,135.02
24.955,407,403.653,134.82
24.944,407,403.672,134.80
24.933,407,403.693,134.75
24.944,407,403.570,136.15
24.944,407,403.669,135.33
24.944,407,403.777,134.41
24.944,407,403.545,136.90
24.922,407,403.530,137.22
24.933,407,403.536,137.34
24.933,407,403.673,136.13
24.976,407,403.708,135.95
24.944,407,403.677,136.43
24.944,407,403.579,137.58
24.944,407,403.624,137.30
24.944,407,403.686,136.84
24.944,407,403.716,136.70
24.955,407,403.791,136.11
24.944,407,403.802,136.17
24.955,407,403.736,136.99
24.922,407,403.846,136.05
24.922,407,404.018,134.48
24.933,407,404.054,134.26
24.944,407,404.095,134.00
24.944,407,404.194,133.15
24.922,407,404.523,129.99
24.933,407,404.324,132.11
24.965,407,404.269,132.79
24.955,407,404.402,131.60
24.944,407,404.174,134.02
24.955,407,404.427,131.61
24.922,407,404.478,131.23
24.933,407,404.189,134.26
24.976,407,404.242,133.87
24.955,407,404.314,133.29
24.965,407,404.588,130.66
24.955,407,404.614,130.52
24.965,407,404.670,130.08
24.965,407,404.516,131.74
24.955,407,404.697,130.05
24.976,407,404.769,129.44
24.965,407,404.977,127.46
24.955,407,404.916,128.17
24.955,407,404.919,128.25
24.976,407,405.076,126.78
24.976,407,405.060,127.03
24.965,407,405.076,126.97
24.976,407,405.088,126.94
24.965,407,405.305,124.85
24.965,407,405.630,121.68
24.965,407,405.502,123.03
24.965,407,405.409,124.04
24.965,407,405.297,125.24
24.955,407,405.587,122.42
24.976,407,405.579,122.57
24.976,407,405.494,123.49
24.965,407,405.260,125.92
24.965,407,405.260,126.01
24.965,407,405.237,126.32
24.987,407,405.120,127.59
24.976,407,404.955,129.35
24.976,407,405.196,127.02
24.965,407,404.997,129.11
24.965,407,404.967,129.51
24.976,407,404.988,129.40
24.955,407,404.950,129.88
24.987,407,404.846,131.04
24.997,407,405.056,129.03
24.987,407,405.040,129.29
24.976,407,405.086,128.93
24.976,407,405.040,129.49
24.976,407,405.238,127.59
24.976,407,405.152,128.54
24.965,407,405.305,127.10
24.997,407,405.451,125.71
24.976,407,405.581,124.48
24.965,407,405.359,126.79
24.987,407,405.378,126.69
24.976,407,405.325,127.30
24.976,407,405.423,126.39
24.987,407,405.509,125.61
24.976,407,405.627,124.50
24.987,407,405.399,126.86
24.987,407,405.424,126.68
24.976,407,405.368,127.33
24.987,407,405.404,127.05
24.976,407,405.239,128.78
24.987,407,405.196,129.31
24.976,407,405.285,128.50
24.976,407,405.430,127.13
24.976,407,405.139,130.13
24.965,407,405.225,129.36
24.976,407,404.991,131.80
24.987,407,405.187,129.93
24.987,407,405.525,126.63
24.987,407,405.419,127.76
24.976,407,405.469,127.34
24.997,407,405.457,127.54
24.976,407,405.552,126.67
24.976,407,405.658,125.67
24.976,407,405.307,129.26
24.987,407,405.147,130.96
24.987,407,405.241,130.10
24.955,407,405.183,130.77
24.976,407,405.161,131.08
24.997,407,405.271,130.07
24.976,407,405.267,130.19
24.976,407,405.451,128.44
24.976,407,405.180,131.23
24.976,407,405.102,132.11
24.976,407,405.039,132.84
24.976,407,404.872,134.61
24.965,407,405.275,130.67
24.997,407,405.322,130.29
24.976,407,405.457,129.02
24.976,407,405.552,128.13
24.965,407,405.087,132.88
24.965,407,404.849,135.37
24.976,407,404.440,139.59
24.987,407,404.541,138.70
24.997,407,404.851,135.70
24.997,407,405.034,133.97
24.976,407,404.939,135.03
24.965,407,404.957,134.96
24.997,407,404.848,136.15
24.976,407,404.728,137.46
24.987,407,404.935,135.49
25.008,407,405.071,134.23
24.976,407,405.280,132.23
24.976,407,405.208,133.04
24.976,407,405.273,132.48
24.976,407,405.207,133.22
24.965,407,405.033,135.06
24.987,407,404.978,135.71
25.008,407,405.325,132.33
25.008,407,405.321,132.45
24.987,407,405.306,132.68
25.008,407,405.268,133.15
24.976,407,405.133,134.60
25.008,407,405.311,132.90
24.976,407,405.103,135.07
25.008,407,405.320,132.99
24.997,407,405.621,130.05
24.987,407,405.913,127.18
25.008,407,405.660,129.78
24.987,407,405.369,132.77
24.997,407,405.277,133.78
24.997,407,405.231,134.32
24.976,407,405.374,132.98
25.008,407,405.415,132.65
24.997,407,405.561,131.26
24.976,407,405.482,132.12
25.008,407,405.533,131.68
24.997,407,405.539,131.70
24.987,407,405.477,132.40
25.008,407,405.581,131.43
24.987,407,405.764,129.66
25.008,407,406.057,126.78
24.997,407,406.021,127.18
24.976,407,405.953,127.92
24.976,407,405.835,129.16
24.997,407,405.758,129.99
25.008,407,405.848,129.14
24.997,407,406.177,125.90
25.008,407,406.026,127.46
24.997,407,406.136,126.39
