ambient_c,internal_c,setpoint,adc,pwm
22.777,22.863,231,170.039,255.00
22.767,22.842,231,170.068,255.00
22.767,22.820,231,170.094,255.00
22.767,22.842,231,170.104,255.00
22.767,22.842,231,170.110,255.00
22.756,22.831,231,170.109,255.00
22.767,22.863,231,170.124,255.00
22.756,22.831,231,170.118,255.00
22.767,22.831,231,170.128,255.00
22.767,22.852,231,170.135,255.00
22.767,22.831,231,170.141,255.00
22.767,22.863,231,170.153,255.00
22.767,22.831,231,170.146,255.00
22.756,22.831,231,170.160,255.00
22.767,22.842,231,170.162,255.00
22.767,22.820,231,170.159,255.00
22.767,22.831,231,170.156,255.00
22.756,22.831,231,170.173,255.00
22.767,22.831,231,170.168,255.00
22.777,22.831,231,170.182,255.00
22.767,22.831,231,170.188,255.00
22.745,22.852,231,170.178,255.00
22.767,22.842,231,170.180,255.00
22.756,22.810,231,170.183,255.00
22.767,22.820,231,170.184,255.00
22.767,22.820,231,170.185,255.00
22.767,22.831,231,170.188,255.00
22.767,22.831,231,170.186,255.00
22.756,22.831,231,170.191,255.00
22.767,22.842,231,170.194,255.00
22.777,22.820,231,170.198,255.00
22.756,22.842,231,170.211,255.00
22.767,22.820,231,170.222,255.00
22.767,22.831,231,170.222,255.00
22.767,22.831,231,170.229,255.00
22.777,22.842,231,170.233,255.00
22.767,22.831,231,170.238,255.00
22.777,22.831,231,170.259,255.00
22.777,22.831,231,170.250,255.00
22.756,22.820,231,170.254,255.00
22.788,22.831,231,170.250,255.00
22.767,22.831,231,170.243,255.00
22.788,22.831,231,170.237,255.00
22.767,22.820,231,170.254,255.00
22.788,22.820,231,170.257,255.00
22.767,22.810,231,170.263,255.00
22.767,22.810,231,170.260,255.00
22.777,22.820,231,170.268,255.00
22.777,22.831,231,170.260,255.00
22.777,22.842,231,170.271,255.00
22.777,22.831,231,170.279,255.00
22.777,22.831,231,170.273,255.00
22.788,22.810,231,170.266,255.00
22.777,22.810,231,170.256,255.00
22.788,22.820,231,170.245,255.00
