si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output
21.576,22.981,228,226.270,22.9463,-0.0197,17.43
21.576,22.949,228,226.183,22.9453,-0.0206,18.43
21.597,22.970,228,225.786,22.9408,-0.0252,22.57
21.597,22.949,228,225.735,22.9402,-0.0257,23.26
21.597,22.960,228,225.939,22.9425,-0.0234,21.36
21.597,22.938,228,225.858,22.9416,-0.0243,22.34
21.597,22.960,228,225.432,22.9367,-0.0292,26.79
21.597,22.949,228,225.283,22.9350,-0.0309,28.48
21.608,22.938,228,225.167,22.9337,-0.0322,29.86
21.608,22.949,228,225.254,22.9347,-0.0312,29.19
21.608,22.949,228,225.101,22.9330,-0.0329,30.94
21.608,22.938,228,225.036,22.9322,-0.0337,31.81
21.619,22.938,228,224.920,22.9309,-0.0350,33.20
21.608,22.938,228,224.751,22.9290,-0.0369,35.14
21.608,22.938,228,224.680,22.9282,-0.0377,36.09
21.619,22.938,228,224.809,22.9296,-0.0363,35.04
21.630,22.949,228,224.845,22.9301,-0.0359,34.92
21.630,22.917,228,224.667,22.9280,-0.0379,36.95
21.651,22.938,228,224.425,22.9253,-0.0406,39.63
21.662,22.949,228,224.160,22.9223,-0.0436,42.57
21.662,22.917,228,224.359,22.9245,-0.0414,40.87
21.651,22.927,228,224.073,22.9213,-0.0446,44.01
21.662,22.927,228,224.135,22.9220,-0.0439,43.68
21.672,22.927,228,224.067,22.9212,-0.0447,44.66
21.662,22.917,228,223.696,22.9170,-0.0489,48.69
21.694,22.938,228,223.534,22.9152,-0.0508,50.65
21.683,22.938,228,223.787,22.9180,-0.0479,48.43
21.694,22.906,228,223.690,22.9169,-0.0490,49.72
21.694,22.949,228,223.627,22.9162,-0.0497,50.68
21.705,22.927,228,223.593,22.9158,-0.0501,51.35
21.683,22.927,228,223.936,22.9197,-0.0462,48.23
21.694,22.917,228,223.610,22.9160,-0.0499,51.82
21.705,22.927,228,223.723,22.9173,-0.0486,51.01
21.715,22.927,228,223.618,22.9161,-0.0498,52.39
21.726,22.917,228,223.555,22.9154,-0.0505,53.36
21.705,22.917,228,223.538,22.9152,-0.0507,53.85
21.726,22.917,228,223.580,22.9157,-0.0502,53.77
21.726,22.917,228,223.677,22.9168,-0.0491,53.12
21.715,22.917,228,223.622,22.9162,-0.0497,54.00
21.715,22.927,228,223.110,22.9103,-0.0556,59.48
21.715,22.917,228,223.091,22.9101,-0.0558,60.05
21.737,22.938,228,222.929,22.9083,-0.0576,62.05
21.737,22.906,228,222.844,22.9073,-0.0586,63.28
21.737,22.927,228,222.896,22.9079,-0.0580,63.15
21.726,22.917,228,222.917,22.9081,-0.0578,63.32
21.748,22.917,228,223.220,22.9116,-0.0543,60.64
21.737,22.906,228,222.867,22.9076,-0.0583,64.56
21.737,22.927,228,222.862,22.9075,-0.0584,65.00
21.758,22.917,228,222.854,22.9074,-0.0585,65.46
21.769,22.906,228,222.829,22.9071,-0.0588,66.10
21.758,22.906,228,222.805,22.9069,-0.0590,66.73
21.758,22.895,228,222.828,22.9071,-0.0588,66.88
21.758,22.938,228,222.826,22.9071,-0.0588,67.29
21.769,22.927,228,222.879,22.9077,-0.0582,67.15
21.780,22.927,228,222.891,22.9078,-0.0581,67.41
21.769,22.927,228,222.804,22.9069,-0.0590,68.67
21.780,22.938,228,222.786,22.9067,-0.0593,69.25
21.790,22.917,228,222.889,22.9078,-0.0581,68.60
21.769,22.917,228,222.746,22.9062,-0.0597,70.42
21.801,22.927,228,222.822,22.9071,-0.0588,70.05
21.769,22.927,228,223.241,22.9118,-0.0541,66.22
21.801,22.938,228,223.148,22.9108,-0.0551,67.50
21.823,22.917,228,222.888,22.9078,-0.0581,70.50
21.790,22.927,228,223.134,22.9106,-0.0553,68.40
21.823,22.927,228,222.953,22.9086,-0.0574,70.59
21.790,22.906,228,223.080,22.9100,-0.0559,69.68
21.823,22.917,228,223.211,22.9115,-0.0544,68.73
21.790,22.917,228,223.440,22.9141,-0.0518,66.79
21.812,22.927,228,223.259,22.9120,-0.0539,68.95
21.801,22.917,228,223.228,22.9117,-0.0542,69.62
21.812,22.917,228,223.230,22.9117,-0.0542,69.96
21.833,22.938,228,223.264,22.9121,-0.0538,69.97
21.833,22.906,228,223.310,22.9126,-0.0533,69.87
21.844,22.927,228,223.250,22.9119,-0.0540,70.83
21.833,22.906,228,223.801,22.9182,-0.0477,65.63
21.844,22.906,228,223.486,22.9146,-0.0513,69.11
21.844,22.906,228,223.811,22.9183,-0.0476,66.18
21.855,22.917,228,223.685,22.9169,-0.0490,67.76
21.855,22.917,228,223.588,22.9158,-0.0501,69.06
21.833,22.917,228,223.690,22.9169,-0.0490,68.36
21.855,22.927,228,223.865,22.9189,-0.0470,66.93
21.865,22.906,228,223.725,22.9173,-0.0486,68.65
