si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.908,22.960,228,223.852,22.9188,-0.0471,41.79,1.0104
21.908,22.927,228,223.524,22.9150,-0.0509,45.40,1.0066
21.898,22.917,228,223.446,22.9142,-0.0518,46.53,1.0165
21.898,22.927,228,223.240,22.9118,-0.0541,48.95,1.0141
21.908,22.927,228,223.015,22.9093,-0.0566,51.57,1.0009
21.898,22.927,228,223.118,22.9104,-0.0555,50.91,1.0127
21.908,22.927,228,223.206,22.9114,-0.0545,50.39,1.0030
21.898,22.927,228,223.219,22.9116,-0.0543,50.62,1.0139
21.908,22.927,228,222.986,22.9089,-0.0570,53.32,1.0005
21.887,22.917,228,223.006,22.9092,-0.0567,53.49,1.0222
21.908,22.906,228,222.981,22.9089,-0.0570,54.12,1.0005
21.876,22.917,228,223.331,22.9129,-0.0531,50.97,1.0366
21.898,22.938,228,223.408,22.9137,-0.0522,50.54,1.0161
21.908,22.938,228,223.338,22.9129,-0.0530,51.60,1.0045
21.898,22.938,228,223.328,22.9128,-0.0531,52.05,1.0151
21.898,22.938,228,223.490,22.9147,-0.0512,50.76,1.0170
21.887,22.895,228,223.377,22.9134,-0.0525,52.24,1.0264
21.898,22.927,228,223.350,22.9131,-0.0528,52.86,1.0154
21.908,22.927,228,223.661,22.9166,-0.0493,50.08,1.0082
21.898,22.927,228,223.556,22.9154,-0.0505,51.45,1.0177
21.898,22.927,228,223.612,22.9160,-0.0499,51.22,1.0184
21.898,22.927,228,223.616,22.9161,-0.0498,51.52,1.0184
21.919,22.938,228,223.509,22.9149,-0.0510,52.92,0.9957
21.908,22.917,228,223.449,22.9142,-0.0517,53.86,1.0058
21.908,22.917,228,223.231,22.9117,-0.0542,56.40,1.0033
21.908,22.927,228,223.124,22.9105,-0.0554,57.83,1.0021
21.898,22.927,228,222.749,22.9062,-0.0597,61.98,1.0086
21.908,22.917,228,222.962,22.9087,-0.0572,60.23,1.0003
21.919,22.906,228,223.209,22.9115,-0.0544,58.12,0.9923
21.919,22.917,228,223.006,22.9092,-0.0568,60.53,0.9900
21.908,22.938,228,222.955,22.9086,-0.0573,61.41,1.0002
21.919,22.927,228,222.963,22.9087,-0.0572,61.71,0.9895
21.930,22.906,228,222.900,22.9080,-0.0580,62.72,0.9781
21.930,22.906,228,223.007,22.9092,-0.0567,62.03,0.9793
21.941,22.927,228,223.154,22.9108,-0.0551,60.91,0.9703
21.941,22.906,228,223.173,22.9111,-0.0548,61.09,0.9705
21.930,22.927,228,223.202,22.9114,-0.0545,61.16,0.9815
21.919,22.917,228,222.998,22.9091,-0.0568,63.58,0.9899
21.941,22.917,228,223.088,22.9101,-0.0558,63.04,0.9695
21.930,22.917,228,223.296,22.9125,-0.0535,61.32,0.9826
21.930,22.927,228,223.194,22.9113,-0.0546,62.70,0.9814
21.941,22.927,228,223.158,22.9109,-0.0550,63.42,0.9703
21.951,22.917,228,223.468,22.9144,-0.0515,60.66,0.9631
21.930,22.927,228,223.238,22.9118,-0.0541,63.32,0.9819
21.962,22.906,228,223.427,22.9139,-0.0520,61.77,0.9519
21.930,22.917,228,223.509,22.9149,-0.0510,61.29,0.9850
21.941,22.917,228,223.549,22.9153,-0.0506,61.22,0.9748
21.951,22.927,228,223.458,22.9143,-0.0516,62.47,0.9630
21.962,22.927,228,223.402,22.9137,-0.0522,63.38,0.9516
21.962,22.917,228,223.307,22.9126,-0.0533,64.68,0.9506
21.951,22.927,228,223.414,22.9138,-0.0521,63.95,0.9625
21.951,22.938,228,223.352,22.9131,-0.0528,64.92,0.9618
21.962,22.927,228,223.586,22.9158,-0.0502,62.91,0.9537
21.962,22.938,228,223.321,22.9127,-0.0532,65.91,0.9507
21.951,22.917,228,223.637,22.9163,-0.0496,63.08,0.9650
21.962,22.927,228,223.370,22.9133,-0.0526,66.10,0.9513
21.951,22.906,228,223.276,22.9122,-0.0537,67.39,0.9609
21.951,22.938,228,223.204,22.9114,-0.0545,68.47,0.9601
21.962,22.917,228,223.564,22.9155,-0.0504,65.21,0.9535
21.962,22.938,228,223.505,22.9148,-0.0511,66.13,0.9528
21.962,22.927,228,223.523,22.9150,-0.0509,66.28,0.9530
21.951,22.917,228,223.532,22.9151,-0.0508,66.53,0.9638
21.983,22.917,228,223.682,22.9168,-0.0491,65.35,0.9334
21.962,22.927,228,223.508,22.9149,-0.0511,67.44,0.9528
21.962,22.917,228,223.239,22.9118,-0.0541,70.48,0.9498
21.962,22.927,228,223.263,22.9121,-0.0538,70.60,0.9501
21.994,22.938,228,223.363,22.9132,-0.0527,69.95,0.9190
21.962,22.938,228,223.563,22.9155,-0.0504,68.28,0.9535
21.983,22.938,228,223.545,22.9153,-0.0506,68.79,0.9318
