si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.898,23.861,407,308.580,23.8816,-1.1184,255.00,1.9839
21.898,23.850,407,309.165,23.8882,-1.1118,255.00,1.9906
21.898,23.861,407,312.863,23.9303,-1.0697,255.00,2.0326
21.908,23.903,407,317.011,23.9774,-1.0226,255.00,2.0690
21.930,23.957,407,321.314,24.0263,-0.9737,255.00,2.0964
21.919,24.032,407,325.384,24.0725,-0.9275,255.00,2.1534
21.919,24.064,407,329.482,24.1191,-0.8809,255.00,2.2000
21.919,24.107,407,333.311,24.1626,-0.8374,255.00,2.2435
21.919,24.172,407,337.218,24.2070,-0.7930,255.00,2.2879
21.941,24.204,407,340.813,24.2479,-0.7521,255.00,2.3073
21.919,24.279,407,344.548,24.2903,-0.7097,255.00,2.3712
21.941,24.311,407,348.351,24.3335,-0.6665,255.00,2.3930
21.962,24.354,407,351.966,24.3746,-0.6254,255.00,2.4126
21.962,24.397,407,355.397,24.4136,-0.5864,255.00,2.4516
21.951,24.450,407,359.222,24.4571,-0.5429,255.00,2.5058
21.951,24.483,407,362.881,24.4986,-0.5014,255.00,2.5473
21.973,24.526,407,366.127,24.5355,-0.4645,255.00,2.5628
21.962,24.558,407,369.726,24.5764,-0.4236,255.00,2.6144
21.973,24.601,407,373.444,24.6187,-0.3813,255.00,2.6459
21.962,24.644,407,376.799,24.6568,-0.3432,255.00,2.6948
21.983,24.676,407,380.248,24.6960,-0.3040,255.00,2.7125
21.962,24.708,407,383.705,24.7353,-0.2647,255.00,2.7733
21.973,24.761,407,387.107,24.7739,-0.2261,255.00,2.8012
21.983,24.794,407,390.277,24.8100,-0.1900,255.00,2.8265
21.973,24.837,407,393.557,24.8472,-0.1528,255.00,2.8745
21.994,24.858,407,396.560,24.8814,-0.1186,255.00,2.8872
21.962,24.901,407,399.598,24.9159,-0.0841,255.00,2.9539
21.973,24.933,407,402.886,24.9532,-0.0468,255.00,2.9805
22.005,24.955,407,405.852,24.9870,-0.0130,255.00,2.9820
21.994,24.976,407,408.849,25.0210,0.0210,232.81,3.0268
21.983,25.040,407,411.569,25.0519,0.0519,196.48,3.0684
22.005,25.062,407,413.683,25.0759,0.0759,161.97,3.0710
22.016,25.062,407,414.412,25.0842,0.0842,139.86,3.0686
22.005,25.094,407,414.785,25.0885,0.0885,120.56,3.0835
22.005,25.062,407,414.261,25.0825,0.0825,111.28,3.0776
21.983,25.073,407,413.510,25.0740,0.0740,105.76,3.0905
21.994,25.040,407,412.302,25.0603,0.0603,107.24,3.0660
21.994,25.051,407,411.322,25.0491,0.0491,108.39,3.0549
22.005,25.040,407,409.974,25.0338,0.0338,115.93,3.0289
21.973,25.019,407,408.980,25.0225,0.0225,121.90,3.0497
22.005,25.008,407,407.568,25.0065,0.0065,134.89,3.0015
22.005,24.997,407,406.691,24.9965,-0.0035,144.28,2.9916
22.016,24.976,407,405.943,24.9880,-0.0120,153.87,2.9723
22.005,24.955,407,405.432,24.9822,-0.0178,162.11,2.9773
22.005,24.955,407,405.073,24.9781,-0.0219,169.56,2.9732
22.026,24.955,407,404.888,24.9760,-0.0240,175.64,2.9496
22.026,24.976,407,404.990,24.9772,-0.0228,178.63,2.9508
