1517205518.94,+9.73751120E+03,si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
1517205522.3,+9.73531040E+03,20.836,-46.582,406,395.620,24.8820,-0.1180,110.03,4.0461
1517205525.64,+9.73643300E+03,20.804,-46.582,406,395.548,24.8812,-0.1188,117.02,4.0775
1517205529.0,+9.73825390E+03,20.814,-46.582,406,394.834,24.8731,-0.1269,137.21,4.0587
1517205532.36,+9.73988370E+03,20.814,-46.582,406,394.291,24.8669,-0.1331,149.67,4.0525
1517205535.7,+9.74129390E+03,20.814,-46.582,406,394.154,24.8654,-0.1346,158.14,4.0509
1517205539.06,+9.74256590E+03,20.793,-46.582,406,394.206,24.8660,-0.1340,164.70,4.0730
1517205542.4,+9.74354850E+03,20.814,-46.582,406,393.764,24.8610,-0.1390,176.46,4.0465
1517205545.76,+9.74400490E+03,20.814,-46.582,406,393.389,24.8567,-0.1433,187.78,4.0422
1517205549.12,+9.74419040E+03,20.825,-46.582,406,393.428,24.8571,-0.1429,194.93,4.0320
1517205552.46,+9.74405760E+03,20.804,-46.582,406,393.299,24.8557,-0.1443,203.84,4.0520
1517205555.82,+9.74326020E+03,20.836,-46.582,406,393.752,24.8608,-0.1392,206.66,4.0249
1517205559.16,+9.74181010E+03,20.847,-46.582,406,393.899,24.8625,-0.1375,219.89,4.0159
1517205562.53,+9.73948220E+03,20.847,-46.582,406,394.192,24.8658,-0.1342,224.05,4.0192
1517205565.87,+9.73611080E+03,20.868,-46.582,406,394.493,24.8692,-0.1308,227.94,4.0012
1517205569.22,+9.73209470E+03,20.868,-46.582,406,395.133,24.8765,-0.1235,228.06,4.0084
1517205572.58,+9.72791760E+03,20.836,-46.582,406,395.313,24.8786,-0.1214,232.67,4.0427
1517205575.92,+9.72404320E+03,20.868,-46.582,406,396.053,24.8870,-0.1130,231.24,4.0189
1517205579.29,+9.72089190E+03,20.868,-46.582,406,396.341,24.8902,-0.1098,234.16,4.0222
1517205582.63,+9.71776550E+03,20.868,-46.582,406,396.893,24.8965,-0.1035,234.10,4.0284
1517205585.99,+9.71429240E+03,20.868,-46.582,406,397.697,24.9056,-0.0944,236.28,4.0376
1517205589.34,+9.71051790E+03,20.890,-46.582,406,398.204,24.9114,-0.0886,235.88,4.0219
1517205592.68,+9.70647310E+03,20.900,-46.582,406,398.930,24.9197,-0.0803,232.87,4.0194
1517205596.04,+9.70232450E+03,20.890,-46.582,406,399.254,24.9233,-0.0767,233.67,4.0338
1517205599.38,+9.69834010E+03,20.890,-46.582,406,399.859,24.9302,-0.0698,231.30,4.0407
1517205602.75,+9.69435320E+03,20.879,-46.582,406,400.409,24.9365,-0.0635,229.16,4.0577
1517205606.1,+9.69052680E+03,20.900,-46.582,406,400.844,24.9414,-0.0586,227.90,4.0412
1517205609.44,+9.68726050E+03,20.900,-46.582,406,401.236,24.9459,-0.0541,226.85,4.0456
1517205612.8,+9.68424030E+03,20.900,-46.582,406,402.084,24.9555,-0.0445,220.71,4.0553
1517205616.15,+9.68133930E+03,20.890,-46.582,406,402.856,24.9643,-0.0357,217.00,4.0748
1517205619.51,+9.67857230E+03,20.879,-46.582,406,403.420,24.9707,-0.0293,212.91,4.0919
1517205622.86,+9.67587860E+03,20.879,-46.582,406,403.756,24.9745,-0.0255,210.90,4.0957
1517205626.2,+9.67333580E+03,20.890,-46.582,406,404.151,24.9790,-0.0210,208.06,4.0895
