si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
22.037,-46.582,406,404.169,24.9792,-0.0208,76.67,2.9421
22.026,-46.582,406,403.568,24.9724,-0.0276,84.14,2.9460
22.037,-46.582,406,403.382,24.9702,-0.0298,87.57,2.9331
22.026,-46.582,406,403.183,24.9680,-0.0320,91.25,2.9416
22.026,-46.582,406,402.621,24.9616,-0.0384,98.90,2.9352
22.005,-46.582,406,402.430,24.9594,-0.0406,102.95,2.9545
22.026,-46.582,406,402.171,24.9565,-0.0435,107.84,2.9301
21.994,-46.582,406,401.876,24.9531,-0.0469,113.26,2.9589
21.983,-46.582,406,401.874,24.9531,-0.0469,115.76,2.9696
21.983,-46.582,406,401.583,24.9498,-0.0502,121.32,2.9663
21.983,-46.582,406,401.422,24.9480,-0.0520,125.67,2.9645
21.962,-46.582,406,401.471,24.9485,-0.0515,127.90,2.9865
21.951,-46.582,406,401.495,24.9488,-0.0512,130.36,2.9975
21.973,-46.582,406,401.189,24.9453,-0.0547,136.31,2.9726
21.962,-46.582,406,401.170,24.9451,-0.0549,139.40,2.9831
21.941,-46.582,406,401.467,24.9485,-0.0515,139.15,3.0079
21.951,-46.582,406,401.081,24.9441,-0.0559,145.96,2.9928
21.930,-46.582,406,401.104,24.9444,-0.0556,148.67,3.0145
21.951,-46.582,406,401.169,24.9451,-0.0549,150.92,2.9938
21.930,-46.582,406,401.088,24.9442,-0.0558,154.67,3.0143
21.919,-46.582,406,401.468,24.9485,-0.0515,153.60,3.0294
21.951,-46.582,406,401.487,24.9487,-0.0513,156.11,2.9974
21.919,-46.582,406,401.599,24.9500,-0.0500,157.63,3.0309
21.919,-46.582,406,401.480,24.9486,-0.0514,161.54,3.0295
21.919,-46.582,406,401.653,24.9506,-0.0494,162.41,3.0315
21.919,-46.582,406,401.781,24.9521,-0.0479,163.66,3.0329
21.908,-46.582,406,401.812,24.9524,-0.0476,165.86,3.0440
21.908,-46.582,406,402.203,24.9568,-0.0432,164.24,3.0484
21.898,-46.582,406,402.603,24.9614,-0.0386,162.27,3.0637
21.908,-46.582,406,402.853,24.9642,-0.0358,161.66,3.0558
21.908,-46.582,406,402.953,24.9654,-0.0346,162.49,3.0570
