timestamp,run1-ltz1000-4-to-3
1517303610.950,17478.220
1517303614.291,17481.776
1517303617.647,17482.736
1517303620.988,17484.546
1517303624.329,17485.318
1517303627.670,17492.009
1517303631.027,17488.080
1517303634.368,17487.098
1517303637.708,17487.859
1517303641.065,17508.229
1517303644.406,17517.512
1517303647.747,17496.551
1517303651.103,17489.259
1517303654.444,17490.657
1517303657.785,17489.449
1517303661.126,17489.182
1517303664.482,17488.755
1517303667.823,17489.004
1517303671.164,17489.165
1517303674.520,17489.832
1517303677.861,17490.849
1517303681.202,17499.631
1517303684.543,17505.428
1517303687.900,17526.199
1517303691.241,17525.969
1517303694.582,17506.867
1517303697.938,17490.102
1517303701.279,17489.101
1517303704.620,17489.822
1517303707.961,17490.539
1517303711.318,17491.981
1517303714.658,17492.241
1517303717.999,17491.820
1517303721.356,17490.645
1517303724.697,17489.497
1517303728.038,17490.709
1517303731.379,17488.889
1517303734.736,17490.173
1517303738.076,17490.472
1517303741.418,17491.190
1517303744.774,17491.559
1517303748.115,17491.107
1517303751.456,17494.023
1517303754.797,17497.167
1517303758.153,17491.857
1517303761.495,17492.408
1517303764.835,17491.986
1517303768.192,17493.233
1517303771.533,17492.957
1517303774.874,17492.394
1517303778.215,17492.899
1517303781.571,17493.345
1517303784.912,17492.995
1517303788.253,17493.373
1517303791.610,17491.842
1517303794.951,17492.864
1517303798.292,17491.640
1517303801.632,17491.531
1517303804.989,17491.055
1517303808.330,17491.866
1517303811.670,17493.094
1517303815.027,17494.298
1517303818.368,17493.885
1517303821.709,17492.900
1517303825.050,17493.188
1517303828.406,17493.359
1517303831.747,17493.208
1517303835.089,17492.213
1517303838.445,17492.668
1517303841.786,17492.553
1517303845.127,17492.716
1517303848.468,17492.863
1517303851.825,17492.631
1517303855.165,17492.598
1517303858.506,17492.687
1517303861.863,17492.897
1517303865.204,17492.308
1517303868.544,17492.370
1517303871.885,17492.151
1517303875.242,17492.274
1517303878.583,17492.372
1517303881.924,17492.067
1517303885.280,17492.358
1517303888.621,17492.170
1517303891.962,17492.392
1517303895.319,17492.316
1517303898.659,17491.891
1517303902.000,17492.283
1517303905.341,17492.341
1517303908.698,17492.701
1517303912.039,17492.439
1517303915.380,17492.655
1517303918.736,17492.848
1517303922.077,17492.820
1517303925.418,17492.832
1517303928.759,17493.118
1517303932.115,17493.041
1517303935.456,17493.311
1517303938.797,17493.209
1517303942.154,17493.275
1517303945.495,17493.297
1517303948.836,17493.408
1517303952.177,17493.787
1517303955.533,17493.948
1517303958.874,17493.252
1517303962.215,17493.625
1517303965.572,17493.456
1517303968.913,17493.477
1517303972.254,17493.658
1517303975.595,17493.662
1517303978.952,17493.714
1517303982.293,17493.764
1517303985.634,17493.854
1517303988.990,17494.212
1517303992.331,17493.644
1517303995.672,17493.480
1517303999.013,17493.213
1517304002.369,17493.071
1517304005.710,17492.515
1517304009.052,17492.507
1517304012.408,17492.835
1517304015.749,17492.235
