timestamp,run2-ltz1000-4-to-3
1517336663.552,17546.191
1517336666.893,17545.511
1517336670.234,17545.233
1517336673.590,17545.606
1517336676.931,17546.375
1517336680.272,17546.562
1517336683.613,17546.298
1517336686.969,17546.733
1517336690.310,17546.588
1517336693.651,17546.541
1517336697.008,17546.915
1517336700.349,17547.494
1517336703.690,17547.314
1517336707.031,17546.797
1517336710.387,17547.498
1517336713.728,17546.689
1517336717.069,17547.171
1517336720.426,17547.612
1517336723.767,17550.638
1517336727.108,17549.148
1517336730.449,17547.736
1517336733.805,17547.531
1517336737.146,17546.815
1517336740.487,17547.595
1517336743.844,17548.043
1517336747.184,17547.572
1517336750.526,17547.839
1517336753.867,17548.384
1517336757.223,17547.308
1517336760.564,17547.836
1517336763.905,17547.475
1517336767.261,17547.736
1517336770.602,17547.690
1517336773.943,17547.972
1517336777.299,17547.925
1517336780.640,17547.841
1517336783.981,17547.330
1517336787.322,17547.117
1517336790.679,17547.296
1517336794.019,17547.035
1517336797.361,17547.139
1517336800.717,17547.425
1517336804.058,17547.567
1517336807.399,17547.733
1517336810.740,17547.422
1517336814.097,17547.474
1517336817.437,17547.292
1517336820.778,17548.068
1517336824.135,17548.183
1517336827.476,17548.531
1517336830.816,17549.106
1517336834.157,17548.458
1517336837.514,17548.743
1517336840.855,17548.397
1517336844.196,17550.243
1517336847.553,17551.221
1517336850.894,17552.140
1517336854.235,17551.150
1517336857.576,17548.349
1517336860.932,17548.865
1517336864.273,17548.334
1517336867.614,17549.086
1517336870.970,17551.343
1517336874.311,17550.955
1517336877.652,17550.435
1517336880.993,17550.350
1517336884.350,17550.841
1517336887.691,17551.582
1517336891.032,17552.064
1517336894.388,17551.093
1517336897.729,17550.979
1517336901.070,17550.409
1517336904.411,17550.965
1517336907.768,17550.092
1517336911.109,17550.719
1517336914.450,17550.904
1517336917.806,17551.032
1517336921.147,17550.514
1517336924.488,17550.914
1517336927.829,17553.197
1517336931.185,17550.173
1517336934.526,17551.055
1517336937.867,17550.611
1517336941.224,17550.515
1517336944.565,17550.665
1517336947.906,17550.862
1517336951.247,17551.557
1517336954.604,17552.970
1517336957.944,17552.116
1517336961.286,17552.651
1517336964.642,17551.286
1517336967.983,17547.950
1517336971.324,17549.192
1517336974.664,17550.994
1517336978.021,17549.050
1517336981.362,17549.670
1517336984.703,17549.524
1517336988.060,17549.193
1517336991.401,17548.847
1517336994.741,17549.105
1517336998.082,17549.010
1517337001.439,17548.342
1517337004.780,17548.381
1517337008.121,17547.918
1517337011.477,17548.532
1517337014.818,17548.509
1517337018.159,17547.756
1517337021.500,17548.419
1517337024.857,17547.541
1517337028.198,17547.692
1517337031.538,17547.469
1517337034.895,17548.125
1517337038.236,17548.307
1517337041.577,17548.685
1517337044.918,17548.902
1517337048.274,17549.154
1517337051.615,17548.607
1517337054.956,17549.349
1517337058.313,17549.108
1517337061.653,17549.387
1517337064.994,17549.694
1517337068.335,17549.359
1517337071.692,17548.955
1517337075.033,17549.803
1517337078.373,17549.049
1517337081.730,17548.760
1517337085.071,17548.608
1517337088.412,17549.070
1517337091.753,17549.380
1517337095.110,17549.263
1517337098.451,17549.155
1517337101.791,17549.532
1517337105.148,17548.580
1517337108.489,17549.001
1517337111.830,17548.697
1517337115.186,17549.119
1517337118.527,17549.236
1517337121.868,17548.974
1517337125.209,17547.599
1517337128.565,17546.996
1517337131.906,17545.883
1517337135.248,17546.099
1517337138.604,17546.024
1517337141.945,17547.238
1517337145.286,17547.351
1517337148.627,17548.807
1517337151.983,17548.135
1517337155.324,17547.969
1517337158.665,17548.181
1517337162.022,17547.256
1517337165.362,17545.829
1517337168.703,17546.111
1517337172.045,17546.635
1517337175.401,17546.868
1517337178.742,17547.266
1517337182.083,17547.068
1517337185.440,17546.418
1517337188.781,17546.513
1517337192.122,17546.957
1517337195.463,17546.351
1517337198.819,17545.218
1517337202.160,17545.014
1517337205.502,17545.249
1517337208.842,17546.069
1517337212.199,17546.436
1517337215.540,17546.228
1517337218.881,17546.063
1517337222.238,17545.365
1517337225.579,17545.941
1517337228.920,17546.666
1517337232.261,17546.010
1517337235.617,17545.611
1517337238.958,17545.052
1517337242.299,17544.923
1517337245.656,17545.156
1517337248.997,17545.357
1517337252.338,17544.986
1517337255.679,17545.720
1517337259.035,17545.339
1517337262.376,17545.717
1517337265.717,17546.229
1517337269.074,17546.128
1517337272.415,17546.125
1517337275.756,17546.391
1517337279.097,17547.817
1517337282.453,17547.740
1517337285.794,17547.973
1517337289.135,17547.673
1517337292.492,17547.998
1517337295.832,17548.354
1517337299.174,17547.499
1517337302.514,17548.313
1517337305.871,17548.119
1517337309.212,17548.768
1517337312.553,17546.972
1517337315.909,17546.531
1517337319.251,17545.958
1517337322.591,17546.270
1517337325.932,17546.028
1517337329.289,17546.043
1517337332.630,17546.185
1517337335.971,17545.981
1517337339.327,17546.069
1517337342.668,17545.664
1517337346.009,17545.901
1517337349.350,17547.300
1517337352.706,17547.584
1517337356.047,17547.083
1517337359.388,17546.576
1517337362.745,17546.443
1517337366.085,17546.674
1517337369.427,17547.131
1517337372.767,17547.389
1517337376.124,17548.063
1517337379.465,17547.319
1517337382.806,17546.974
