set_c,c,output
25.000, 25.000, 5.02
25.000, 25.003, 3.98
25.000, 25.001, 4.44
25.000, 25.011, 2.72
25.000, 25.003, 4.90
25.000, 24.999, 4.88
25.000, 25.005, 3.39
25.000, 24.993, 6.02
25.000, 25.000, 3.83
25.000, 25.001, 4.19
25.000, 24.992, 5.90
25.000, 24.995, 4.63
25.000, 25.005, 3.05
25.000, 24.995, 5.81
25.000, 24.992, 5.33
25.000, 24.995, 4.65
25.000, 24.995, 4.88
25.000, 25.003, 3.52
25.000, 24.993, 5.82
25.000, 25.000, 3.86
25.000, 24.999, 4.68
25.000, 25.003, 3.88
25.000, 24.996, 5.37
25.000, 25.001, 3.87
25.000, 24.999, 4.80
25.000, 24.995, 5.25
25.000, 24.997, 4.44
25.000, 24.997, 4.68
25.000, 25.005, 3.32
25.000, 24.997, 5.38
25.000, 25.004, 3.54
25.000, 25.004, 4.12
25.000, 25.000, 4.80
25.000, 25.003, 4.00
25.000, 24.996, 5.37
25.000, 24.993, 5.24
25.000, 24.997, 4.33
25.000, 25.000, 4.23
25.000, 25.000, 4.46
25.000, 25.004, 3.78
25.000, 25.008, 3.44
25.000, 25.003, 4.70
25.000, 24.999, 4.91
25.000, 25.008, 2.97
25.000, 25.004, 4.46
25.000, 25.008, 3.42
25.000, 24.996, 5.82
25.000, 25.003, 3.63
25.000, 25.000, 4.67
25.000, 24.996, 5.12
25.000, 24.996, 4.77
25.000, 24.990, 5.68
25.000, 25.000, 3.63
25.000, 25.004, 3.77
25.000, 24.995, 5.71
25.000, 24.995, 4.89
25.000, 24.996, 4.67
25.000, 25.001, 3.88
25.000, 24.995, 5.48
25.000, 25.000, 3.99
25.000, 25.000, 4.46
25.000, 24.999, 4.69
25.000, 24.993, 5.48
25.000, 25.000, 3.88
25.000, 25.000, 4.47
25.000, 24.997, 4.92
25.000, 24.999, 4.46
25.000, 25.004, 3.67
25.000, 24.995, 5.73
25.000, 24.997, 4.46
25.000, 24.999, 4.47
25.000, 25.003, 3.90
25.000, 25.000, 4.71
25.000, 25.001, 4.25
25.000, 25.000, 4.59
25.000, 25.001, 4.24
25.000, 25.001, 4.36
25.000, 25.000, 4.59
25.000, 24.999, 4.70
25.000, 25.008, 2.99
25.000, 25.001, 4.94
25.000, 25.003, 4.12
25.000, 24.999, 4.92
25.000, 25.000, 4.34
25.000, 25.000, 4.46
25.000, 24.999, 4.69
25.000, 24.997, 4.80
25.000, 25.000, 4.23
25.000, 24.999, 4.69
25.000, 25.003, 3.89
25.000, 24.997, 5.15
25.000, 24.999, 4.46
25.000, 24.999, 4.58
25.000, 25.003, 3.90
25.000, 25.000, 4.70
25.000, 24.995, 5.38
25.000, 24.999, 4.23
25.000, 25.000, 4.35
25.000, 25.004, 3.79
25.000, 25.001, 4.59
25.000, 25.000, 4.58
25.000, 24.999, 4.69
25.000, 25.007, 3.21
25.000, 25.001, 4.82
25.000, 24.999, 4.81
25.000, 25.003, 3.89
25.000, 25.003, 4.24
25.000, 25.005, 3.78
25.000, 24.996, 5.60
25.000, 24.997, 4.56
25.000, 24.997, 4.68
25.000, 24.999, 4.45
25.000, 24.997, 4.80
25.000, 24.996, 4.91
25.000, 25.003, 3.66
25.000, 24.999, 4.93
25.000, 24.999, 4.58
25.000, 24.996, 5.03
25.000, 24.999, 4.35
25.000, 25.005, 3.44
25.000, 25.007, 3.80
25.000, 25.005, 4.14
25.000, 24.995, 5.84
25.000, 24.993, 5.13
25.000, 25.001, 3.65
25.000, 24.999, 4.81
25.000, 24.997, 4.81
25.000, 25.008, 2.87
25.000, 25.004, 4.48
25.000, 25.003, 4.36
25.000, 24.999, 4.92
25.000, 25.004, 3.66
25.000, 24.996, 5.49
25.000, 24.999, 4.33
25.000, 25.004, 3.66
25.000, 25.011, 2.99
25.000, 25.004, 4.70
25.000, 25.004, 4.11
25.000, 25.005, 3.88
25.000, 25.004, 4.22
25.000, 24.997, 5.24
25.000, 24.996, 4.88
25.000, 24.999, 4.31
25.000, 24.999, 4.55
25.000, 24.999, 4.55
25.000, 25.001, 4.10
25.000, 24.997, 5.01
25.000, 25.000, 4.21
25.000, 24.999, 4.67
25.000, 25.004, 3.64
25.000, 24.996, 5.47
25.000, 25.003, 3.64
25.000, 24.996, 5.36
25.000, 25.004, 3.41
25.000, 25.004, 4.11
25.000, 24.997, 5.24
25.000, 25.000, 4.20
25.000, 24.996, 5.12
25.000, 24.993, 5.23
25.000, 25.003, 3.41
25.000, 25.005, 3.77
25.000, 25.004, 4.23
25.000, 25.003, 4.33
25.000, 25.003, 4.21
25.000, 25.004, 3.98
25.000, 25.004, 4.10
