volts,ppm,temp_c
0.99981831,-0.06,25.0
0.99981831,-0.06,25.003
0.99981831,-0.06,25.001
0.99981831,-0.06,25.011
0.99981831,-0.06,25.003
0.99981831,-0.06,24.999
0.99981831,-0.06,25.005
0.99981831,-0.06,24.993
0.99981831,-0.06,25.0
0.99981831,-0.06,25.001
0.99981831,-0.06,24.992
0.99981846,0.09,24.995
0.99981846,0.09,25.005
0.99981846,0.09,24.995
0.99981846,0.09,24.992
0.99981846,0.09,24.995
0.99981846,0.09,24.995
0.99981846,0.09,25.003
0.99981846,0.09,24.993
0.99981846,0.09,25.0
0.99981846,0.09,24.999
0.99981846,0.09,25.003
0.99981846,0.09,24.996
0.99981846,0.09,25.001
0.99981831,-0.06,24.999
0.99981831,-0.06,24.995
0.99981831,-0.06,24.997
0.99981831,-0.06,24.997
0.99981831,-0.06,25.005
0.99981831,-0.06,24.997
0.99981831,-0.06,25.004
0.99981831,-0.06,25.004
0.99981831,-0.06,25.0
0.99981831,-0.06,25.003
0.99981831,-0.06,24.996
0.99981831,-0.06,24.993
0.99981831,-0.06,24.997
0.99981844,0.07,25.0
0.99981844,0.07,25.0
0.99981844,0.07,25.004
0.99981844,0.07,25.008
0.99981844,0.07,25.003
0.99981844,0.07,24.999
0.99981844,0.07,25.008
0.99981844,0.07,25.004
0.99981844,0.07,25.008
0.99981844,0.07,24.996
0.99981844,0.07,25.003
0.99981844,0.07,25.0
0.99981844,0.07,24.996
0.99981844,0.07,24.996
0.99981821,-0.16,24.99
0.99981821,-0.16,25.0
0.99981821,-0.16,25.004
0.99981821,-0.16,24.995
0.99981821,-0.16,24.995
0.99981821,-0.16,24.996
0.99981821,-0.16,25.001
0.99981821,-0.16,24.995
0.99981821,-0.16,25.0
0.99981821,-0.16,25.0
0.99981821,-0.16,24.999
0.99981821,-0.16,24.993
0.99981821,-0.16,25.0
0.99981816,-0.21,25.0
0.99981816,-0.21,24.997
0.99981816,-0.21,24.999
0.99981816,-0.21,25.004
0.99981816,-0.21,24.995
0.99981816,-0.21,24.997
0.99981816,-0.21,24.999
0.99981816,-0.21,25.003
0.99981816,-0.21,25.0
0.99981816,-0.21,25.001
0.99981816,-0.21,25.0
0.99981816,-0.21,25.001
0.99981816,-0.21,25.001
0.99981816,-0.21,25.0
0.99981836,-0.01,24.999
0.99981836,-0.01,25.008
0.99981836,-0.01,25.001
0.99981836,-0.01,25.003
0.99981836,-0.01,24.999
0.99981836,-0.01,25.0
0.99981836,-0.01,25.0
0.99981836,-0.01,24.999
0.99981836,-0.01,24.997
0.99981836,-0.01,25.0
0.99981836,-0.01,24.999
0.99981836,-0.01,25.003
0.99981836,-0.01,24.997
0.99981851,0.14,24.999
0.99981851,0.14,24.999
0.99981851,0.14,25.003
0.99981851,0.14,25.0
0.99981851,0.14,24.995
0.99981851,0.14,24.999
0.99981851,0.14,25.0
0.99981851,0.14,25.004
0.99981851,0.14,25.001
0.99981851,0.14,25.0
0.99981851,0.14,24.999
0.99981851,0.14,25.007
0.99981851,0.14,25.001
0.99981839,0.02,24.999
0.99981839,0.02,25.003
0.99981839,0.02,25.003
0.99981839,0.02,25.005
0.99981839,0.02,24.996
0.99981839,0.02,24.997
0.99981839,0.02,24.997
0.99981839,0.02,24.999
0.99981839,0.02,24.997
0.99981839,0.02,24.996
0.99981839,0.02,25.003
0.99981839,0.02,24.999
0.99981839,0.02,24.999
0.99981839,0.02,24.996
0.99981829,-0.08,24.999
0.99981829,-0.08,25.005
0.99981829,-0.08,25.007
0.99981829,-0.08,25.005
0.99981829,-0.08,24.995
0.99981829,-0.08,24.993
