resistance,ppm,temp_c
0.99980746,0.01,24.996
0.99980746,0.01,24.999
0.99980746,0.01,25.004
0.99980746,0.01,24.996
0.99980761,0.16,25.0
0.99980761,0.16,25.004
0.99980761,0.16,25.003
0.99980761,0.16,24.997
0.99980761,0.16,24.999
0.99980761,0.16,25.0
0.99980761,0.16,24.993
0.99980761,0.16,25.001
0.99980761,0.16,24.999
0.99980761,0.16,24.997
0.99980761,0.16,24.993
0.99980761,0.16,24.997
0.99980761,0.16,24.996
0.99980761,0.16,24.993
0.99980754,0.09,24.993
0.99980754,0.09,24.997
0.99980754,0.09,25.004
0.99980754,0.09,25.001
0.99980754,0.09,25.003
0.99980754,0.09,25.004
0.99980754,0.09,24.997
0.99980754,0.09,24.999
0.99980754,0.09,25.005
0.99980754,0.09,25.0
0.99980754,0.09,24.995
0.99980754,0.09,25.003
0.99980754,0.09,24.997
0.99980726,-0.19,25.001
0.99980726,-0.19,25.0
0.99980726,-0.19,24.996
0.99980726,-0.19,25.01
0.99980726,-0.19,24.997
0.99980726,-0.19,25.011
0.99980726,-0.19,25.003
0.99980726,-0.19,25.0
0.99980726,-0.19,25.0
0.99980726,-0.19,25.004
0.99980726,-0.19,25.003
0.99980726,-0.19,25.003
0.99980726,-0.19,24.993
0.99980726,-0.19,24.999
0.99980749,0.04,24.997
0.99980749,0.04,25.007
0.99980749,0.04,24.997
0.99980749,0.04,24.993
0.99980749,0.04,24.995
0.99980749,0.04,24.996
0.99980749,0.04,24.995
0.99980749,0.04,25.004
0.99980749,0.04,24.995
0.99980749,0.04,25.0
0.99980749,0.04,25.0
0.99980749,0.04,25.001
0.99980749,0.04,25.001
0.99980746,0.01,24.997
0.99980746,0.01,24.996
0.99980746,0.01,25.003
0.99980746,0.01,25.0
0.99980746,0.01,25.004
0.99980746,0.01,24.996
0.99980746,0.01,25.007
0.99980746,0.01,24.996
0.99980746,0.01,25.0
0.99980746,0.01,24.995
0.99980746,0.01,25.003
0.99980746,0.01,25.0
0.99980746,0.01,25.004
0.99980736,-0.09,24.997
0.99980736,-0.09,25.0
0.99980736,-0.09,24.995
0.99980736,-0.09,24.996
0.99980736,-0.09,25.004
0.99980736,-0.09,25.008
0.99980736,-0.09,25.003
0.99980736,-0.09,25.001
0.99980736,-0.09,24.993
0.99980736,-0.09,25.001
0.99980736,-0.09,24.997
0.99980736,-0.09,25.0
0.99980736,-0.09,25.0
0.99980736,-0.09,25.003
0.99980764,0.19,24.995
0.99980764,0.19,24.995
0.99980764,0.19,24.996
0.99980764,0.19,24.992
0.99980764,0.19,25.004
0.99980764,0.19,24.996
0.99980764,0.19,24.99
0.99980764,0.19,24.996
0.99980764,0.19,25.0
0.99980764,0.19,25.0
0.99980764,0.19,24.993
0.99980764,0.19,24.997
0.99980764,0.19,24.996
0.99980744,-0.01,25.001
0.99980744,-0.01,25.001
0.99980744,-0.01,24.993
0.99980744,-0.01,24.997
0.99980744,-0.01,24.999
0.99980744,-0.01,24.997
0.99980744,-0.01,24.999
0.99980744,-0.01,25.001
0.99980744,-0.01,25.0
0.99980744,-0.01,24.993
0.99980744,-0.01,24.995
0.99980744,-0.01,24.995
0.99980744,-0.01,24.995
0.99980744,-0.01,25.004
0.9998072,-0.25,25.011
0.9998072,-0.25,25.005
0.9998072,-0.25,25.004
0.9998072,-0.25,25.003
0.9998072,-0.25,25.0
0.9998072,-0.25,25.005
