volts,ppm,temp_c,ambient_c
1.0003506,2.12,25.004,21.512
1.0003506,2.12,25.004,21.522
1.0003506,2.12,25.003,21.565
1.0003506,2.12,25.003,21.522
1.0003506,2.12,24.999,21.533
1.0003506,2.12,25.003,21.522
1.0003506,2.12,24.999,21.533
1.0003506,2.12,24.992,21.544
1.0003506,2.12,24.995,21.544
1.0003506,2.12,24.999,21.522
1.0003506,2.12,24.996,21.522
1.0003506,2.12,25.003,21.544
1.0003506,2.12,24.996,21.522
1.0003506,2.12,24.995,21.544
1.0003509,2.42,24.996,21.544
1.0003509,2.42,24.999,21.544
1.0003509,2.42,24.997,21.533
1.0003509,2.42,24.997,21.522
1.0003509,2.42,24.999,21.533
1.0003509,2.42,25.004,21.533
1.0003509,2.42,25.005,21.533
1.0003509,2.42,25.0,21.533
1.0003509,2.42,25.003,21.544
1.0003509,2.42,24.992,21.544
1.0003509,2.42,25.003,21.533
1.0003509,2.42,24.997,21.533
1.0003509,2.42,25.004,21.544
1.0003437,-4.78,25.003,21.544
1.0003437,-4.78,25.003,21.533
1.0003437,-4.78,25.008,21.533
1.0003437,-4.78,25.0,21.533
1.0003437,-4.78,24.999,21.544
1.0003437,-4.78,25.0,21.544
1.0003437,-4.78,25.0,21.544
1.0003437,-4.78,24.996,21.533
1.0003437,-4.78,25.001,21.544
1.0003437,-4.78,24.995,21.544
1.0003437,-4.78,24.996,21.544
1.0003437,-4.78,25.001,21.555
1.0003437,-4.78,24.997,21.544
1.0003462,-2.28,25.0,21.565
1.0003462,-2.28,25.0,21.544
1.0003462,-2.28,25.001,21.544
1.0003462,-2.28,25.0,21.533
1.0003462,-2.28,25.001,21.544
1.0003462,-2.28,24.997,21.544
1.0003462,-2.28,25.004,21.555
1.0003462,-2.28,24.999,21.544
1.0003462,-2.28,25.008,21.565
1.0003462,-2.28,24.996,21.555
1.0003462,-2.28,25.003,21.544
1.0003462,-2.28,25.0,21.544
1.0003462,-2.28,25.01,21.555
1.0003462,-2.28,24.997,21.544
1.0003397,-8.78,25.003,21.544
1.0003397,-8.78,24.992,21.565
1.0003397,-8.78,25.0,21.555
1.0003397,-8.78,25.001,21.555
1.0003397,-8.78,24.996,21.565
1.0003397,-8.78,25.003,21.555
1.0003397,-8.78,25.0,21.555
1.0003397,-8.78,25.003,21.555
1.0003397,-8.78,25.003,21.512
1.0003397,-8.78,25.005,21.544
1.0003397,-8.78,24.999,21.544
1.0003397,-8.78,24.996,21.522
1.0003397,-8.78,25.0,21.555
1.00034,-8.48,24.997,21.555
1.00034,-8.48,25.0,21.555
1.00034,-8.48,24.999,21.555
1.00034,-8.48,25.001,21.576
1.00034,-8.48,24.993,21.555
1.00034,-8.48,25.003,21.565
1.00034,-8.48,25.001,21.565
1.00034,-8.48,24.999,21.555
1.00034,-8.48,25.001,21.544
1.00034,-8.48,25.003,21.565
1.00034,-8.48,24.995,21.565
1.00034,-8.48,25.001,21.544
1.00034,-8.48,24.997,21.544
1.00034,-8.48,25.003,21.544
1.0003407,-7.78,24.997,21.555
1.0003407,-7.78,25.001,21.555
