set_c,oven_c,output,ambient_c
25.000,24.993,4.96,21.705
25.000,24.993,5.08,21.705
25.000,25.001,3.72,21.694
25.000,24.997,5.11,21.694
25.000,24.993,5.44,21.705
25.000,25.003,3.50,21.705
25.000,25.000,4.78,21.726
25.000,24.995,5.45,21.694
25.000,25.003,3.62,21.705
25.000,25.010,3.18,21.694
25.000,25.004,4.67,21.716
25.000,25.000,4.88,21.716
25.000,25.004,3.85,21.705
25.000,25.003,4.42,21.694
25.000,24.996,5.44,21.694
25.000,24.999,4.41,21.683
25.000,25.007,3.27,21.683
25.000,24.999,5.34,21.716
25.000,24.995,5.32,21.694
25.000,25.003,3.61,21.705
25.000,24.997,5.22,21.694
25.000,24.995,5.21,21.694
25.000,25.000,4.07,21.716
25.000,25.005,3.62,21.683
25.000,25.004,4.32,21.705
25.000,25.004,4.20,21.716
25.000,25.003,4.42,21.705
25.000,25.007,3.62,21.716
25.000,24.999,5.33,21.694
25.000,25.003,3.94,21.716
25.000,25.008,3.38,21.716
25.000,24.997,5.67,21.694
25.000,25.011,2.45,21.694
25.000,25.000,5.44,21.705
25.000,25.003,4.04,21.705
25.000,25.001,4.50,21.716
25.000,25.000,4.61,21.716
25.000,24.985,7.00,21.716
25.000,24.999,3.45,21.694
25.000,24.993,5.53,21.694
25.000,25.003,3.47,21.716
25.000,25.000,4.75,21.705
25.000,25.011,2.69,21.726
25.000,24.997,5.90,21.716
25.000,24.989,6.09,21.716
25.000,25.000,3.58,21.705
25.000,25.000,4.52,21.705
25.000,25.007,3.38,21.705
25.000,25.004,4.41,21.683
25.000,24.999,5.09,21.705
25.000,25.007,3.25,21.705
25.000,24.997,5.54,21.716
25.000,25.004,3.59,21.705
25.000,25.003,4.40,21.694
25.000,25.000,4.73,21.705
25.000,25.005,3.59,21.716
25.000,25.005,4.05,21.705
25.000,25.001,4.73,21.694
25.000,24.996,5.29,21.694
25.000,24.996,4.82,21.716
25.000,25.000,4.14,21.694
25.000,24.996,5.18,21.683
25.000,24.999,4.37,21.716
25.000,24.997,4.84,21.705
25.000,25.008,2.90,21.694
25.000,24.993,6.34,21.694
25.000,25.005,3.00,21.705
25.000,25.000,4.96,21.705
25.000,24.996,5.18,21.716
25.000,24.996,4.83,21.694
25.000,25.000,4.15,21.705
25.000,25.003,4.05,21.694
25.000,25.000,4.73,21.683
25.000,24.996,5.18,21.694
25.000,25.001,3.92,21.683
25.000,25.004,3.94,21.683
25.000,24.995,5.76,21.694
25.000,24.996,4.72,21.716
25.000,25.005,3.24,21.716
25.000,25.004,4.29,21.694
25.000,24.997,5.31,21.705
25.000,24.996,4.95,21.694
25.000,25.001,3.92,21.683
25.000,25.001,4.39,21.716
25.000,25.019,1.43,21.705
25.000,24.995,7.04,21.694
25.000,24.999,4.25,21.705
25.000,25.003,3.92,21.694
25.000,24.999,4.95,21.673
25.000,24.993,5.51,21.694
25.000,24.999,4.14,21.683
25.000,24.997,4.84,21.683
25.000,25.000,4.26,21.694
25.000,24.999,4.73,21.716
25.000,24.999,4.61,21.705
25.000,25.004,3.70,21.683
25.000,25.003,4.39,21.705
25.000,25.000,4.73,21.716
25.000,24.993,5.63,21.683
25.000,25.000,3.92,21.694
25.000,25.008,3.14,21.694
25.000,25.001,4.97,21.705
25.000,25.000,4.61,21.683
25.000,25.004,3.81,21.716
25.000,25.001,4.61,21.705
25.000,24.990,6.20,21.694
