resistance,ppm,temp_c,ambient_c
69999.718,-0.18,24.993,21.705
69999.718,-0.18,24.993,21.705
69999.718,-0.18,25.001,21.694
69999.718,-0.18,24.997,21.694
69999.718,-0.18,24.993,21.705
69999.716,-0.21,25.003,21.705
69999.716,-0.21,25.0,21.726
69999.716,-0.21,24.995,21.694
69999.716,-0.21,25.003,21.705
69999.716,-0.21,25.01,21.694
69999.716,-0.21,25.004,21.716
69999.716,-0.21,25.0,21.716
69999.716,-0.21,25.004,21.705
69999.716,-0.21,25.003,21.694
69999.716,-0.21,24.996,21.694
69999.716,-0.21,24.999,21.683
69999.716,-0.21,25.007,21.683
69999.716,-0.21,24.999,21.716
69999.731,0.01,24.995,21.694
69999.731,0.01,25.003,21.705
69999.731,0.01,24.997,21.694
69999.731,0.01,24.995,21.694
69999.731,0.01,25.0,21.716
69999.731,0.01,25.005,21.683
69999.731,0.01,25.004,21.705
69999.731,0.01,25.004,21.716
69999.731,0.01,25.003,21.705
69999.731,0.01,25.007,21.716
69999.731,0.01,24.999,21.694
69999.731,0.01,25.003,21.716
69999.731,0.01,25.008,21.716
69999.731,0.01,24.997,21.694
69999.703,-0.39,25.011,21.694
69999.703,-0.39,25.0,21.705
69999.703,-0.39,25.003,21.705
69999.703,-0.39,25.001,21.716
69999.703,-0.39,25.0,21.716
69999.703,-0.39,24.985,21.716
69999.703,-0.39,24.999,21.694
69999.703,-0.39,24.993,21.694
69999.703,-0.39,25.003,21.716
69999.703,-0.39,25.0,21.705
69999.703,-0.39,25.011,21.726
69999.703,-0.39,24.997,21.716
69999.703,-0.39,24.989,21.716
69999.736,0.08,25.0,21.705
69999.736,0.08,25.0,21.705
69999.736,0.08,25.007,21.705
69999.736,0.08,25.004,21.683
69999.736,0.08,24.999,21.705
69999.736,0.08,25.007,21.705
69999.736,0.08,24.997,21.716
69999.736,0.08,25.004,21.705
69999.736,0.08,25.003,21.694
69999.736,0.08,25.0,21.705
69999.736,0.08,25.005,21.716
69999.736,0.08,25.005,21.705
69999.736,0.08,25.001,21.694
69999.736,0.08,24.996,21.694
69999.726,-0.06,24.996,21.716
69999.726,-0.06,25.0,21.694
69999.726,-0.06,24.996,21.683
69999.726,-0.06,24.999,21.716
69999.726,-0.06,24.997,21.705
69999.726,-0.06,25.008,21.694
69999.726,-0.06,24.993,21.694
69999.726,-0.06,25.005,21.705
69999.726,-0.06,25.0,21.705
69999.726,-0.06,24.996,21.716
69999.726,-0.06,24.996,21.694
69999.726,-0.06,25.0,21.705
69999.726,-0.06,25.003,21.694
