timestamp,resistance,ppm,temp_c,ambient_c
1517844649.72,69996.992,-0.59,24.997,20.278
1517844649.97,69996.992,-0.59,24.997,20.268
1517844650.22,69996.992,-0.59,24.993,20.278
1517844650.47,69996.992,-0.59,24.995,20.268
1517844650.72,69996.992,-0.59,25.007,20.278
1517844650.97,69996.992,-0.59,24.99,20.289
1517844651.22,69996.992,-0.59,24.997,20.268
1517844651.47,69996.992,-0.59,24.996,20.278
1517844651.72,69996.992,-0.59,24.996,20.278
1517844651.97,69997.068,0.49,24.997,20.257
1517844652.22,69997.068,0.49,24.996,20.278
1517844652.47,69997.068,0.49,24.992,20.268
1517844652.72,69997.068,0.49,25.0,20.289
1517844652.97,69997.068,0.49,24.999,20.289
1517844653.22,69997.068,0.49,25.005,20.278
1517844653.47,69997.068,0.49,24.992,20.268
1517844653.72,69997.068,0.49,25.007,20.278
1517844653.97,69997.068,0.49,25.01,20.278
1517844654.22,69997.068,0.49,24.996,20.278
1517844654.47,69997.068,0.49,25.003,20.278
1517844654.72,69997.068,0.49,25.008,20.3
1517844654.97,69997.068,0.49,25.004,20.289
1517844655.22,69997.068,0.49,25.008,20.268
1517844655.47,69997.015,-0.27,24.99,20.278
1517844655.72,69997.015,-0.27,24.999,20.257
1517844655.97,69997.015,-0.27,24.999,20.278
1517844656.22,69997.015,-0.27,24.997,20.268
1517844656.47,69997.015,-0.27,25.003,20.278
1517844656.72,69997.015,-0.27,25.001,20.289
1517844656.97,69997.015,-0.27,25.005,20.268
1517844657.22,69997.015,-0.27,25.003,20.268
1517844657.47,69997.015,-0.27,25.015,20.278
1517844657.72,69997.015,-0.27,25.008,20.278
1517844657.97,69997.015,-0.27,25.008,20.257
1517844658.22,69997.015,-0.27,25.0,20.278
1517844658.47,69997.015,-0.27,24.992,20.278
1517844658.72,69997.041,0.11,24.997,20.257
1517844658.97,69997.041,0.11,24.989,20.278
1517844659.22,69997.041,0.11,24.992,20.268
1517844659.47,69997.041,0.11,24.986,20.268
1517844659.72,69997.041,0.11,24.989,20.278
1517844659.97,69997.041,0.11,24.988,20.278
1517844660.22,69997.041,0.11,24.996,20.278
1517844660.47,69997.041,0.11,24.999,20.268
1517844660.72,69997.041,0.11,24.997,20.278
1517844660.97,69997.041,0.11,24.996,20.289
1517844661.22,69997.041,0.11,25.01,20.268
1517844661.47,69997.041,0.11,25.011,20.268
1517844661.72,69997.041,0.11,24.997,20.278
1517844661.97,69997.041,0.11,24.996,20.278
1517844662.22,69997.086,0.75,25.011,20.278
1517844662.47,69997.086,0.75,25.01,20.278
1517844662.72,69997.086,0.75,24.997,20.257
1517844662.97,69997.086,0.75,25.007,20.278
1517844663.22,69997.086,0.75,25.001,20.268
1517844663.47,69997.086,0.75,25.001,20.289
1517844663.72,69997.086,0.75,25.004,20.257
1517844663.97,69997.086,0.75,25.001,20.278
1517844664.22,69997.086,0.75,24.992,20.268
1517844664.47,69997.086,0.75,24.999,20.268
1517844664.72,69997.086,0.75,25.007,20.278
1517844664.98,69997.086,0.75,25.0,20.257
1517844665.22,69997.086,0.75,24.996,20.268
1517844665.47,69997.01,-0.34,24.996,20.257
1517844665.72,69997.01,-0.34,24.999,20.257
1517844665.97,69997.01,-0.34,25.003,20.278
1517844666.22,69997.01,-0.34,24.997,20.257
1517844666.48,69997.01,-0.34,24.996,20.278
1517844666.73,69997.01,-0.34,24.995,20.268
1517844666.98,69997.01,-0.34,24.996,20.246
1517844667.23,69997.01,-0.34,24.992,20.278
1517844667.48,69997.01,-0.34,24.999,20.257
1517844667.72,69997.01,-0.34,24.996,20.278
1517844667.97,69997.01,-0.34,24.993,20.257
1517844668.22,69997.01,-0.34,24.995,20.268
1517844668.47,69997.01,-0.34,24.996,20.246
1517844668.72,69997.028,-0.08,25.003,20.268
1517844668.97,69997.028,-0.08,25.001,20.268
1517844669.22,69997.028,-0.08,24.992,20.268
