set_c,oven_c,output,ambient_c
25.000,24.061,205.00,20.793
25.000,24.065,205.00,20.782
25.000,24.217,203.92,20.750
25.000,24.487,165.62,20.782
25.000,24.782,116.38,20.761
25.000,25.049,66.51,20.761
25.000,25.243,25.69,20.761
25.000,25.354,0.00,20.772
25.000,25.388,0.00,20.772
25.000,25.331,0.00,20.782
25.000,25.246,0.00,20.750
25.000,25.152,10.13,20.782
25.000,25.057,26.15,20.761
25.000,24.977,41.21,20.761
25.000,24.927,51.93,20.804
25.000,24.908,57.45,20.761
25.000,24.927,55.45,20.782
25.000,24.969,48.26,20.772
25.000,24.999,42.95,20.772
25.000,25.052,31.90,20.793
25.000,25.065,28.26,20.793
25.000,25.071,25.63,20.761
25.000,25.068,24.64,20.772
25.000,25.065,23.65,20.782
25.000,25.061,23.04,20.793
25.000,25.048,24.27,20.772
25.000,25.020,28.99,20.793
25.000,25.001,32.56,20.793
25.000,24.987,35.24,20.804
25.000,24.989,35.03,20.782
25.000,24.999,33.32,20.804
25.000,25.020,28.81,20.804
25.000,25.036,25.19,20.793
25.000,25.048,22.01,20.793
25.000,25.046,21.39,20.793
25.000,25.039,21.70,20.793
25.000,25.021,24.62,20.804
25.000,25.005,27.31,20.804
25.000,24.991,30.18,20.782
25.000,24.990,30.58,20.793
25.000,24.994,29.92,20.793
25.000,25.009,26.97,20.815
25.000,25.019,24.73,20.782
25.000,25.029,22.13,20.815
25.000,25.029,21.50,20.804
25.000,25.027,21.20,20.815
25.000,25.015,23.22,20.804
25.000,25.006,24.72,20.793
25.000,24.995,26.83,20.815
25.000,24.993,27.26,20.815
25.000,24.994,27.17,20.804
25.000,25.004,25.28,20.815
25.000,25.012,23.62,20.815
25.000,25.022,21.24,20.815
25.000,25.022,20.65,20.815
25.000,25.021,20.42,20.815
25.000,25.010,22.18,20.793
25.000,25.002,23.64,20.804
25.000,24.992,25.62,20.804
25.000,24.992,25.83,20.772
26.000,24.992,205.00,20.815
26.000,25.016,205.00,20.804
26.000,25.153,205.00,20.793
26.000,25.388,205.00,20.782
26.000,25.646,174.32,20.825
26.000,25.892,131.97,20.793
26.000,26.114,89.29,20.815
26.000,26.275,54.03,20.793
26.000,26.370,28.67,20.782
26.000,26.383,18.07,20.793
26.000,26.351,16.08,20.793
26.000,26.272,24.39,20.793
26.000,26.177,37.70,20.793
26.000,26.092,51.07,20.782
26.000,26.024,62.74,20.772
26.000,25.987,69.58,20.793
26.000,25.973,72.62,20.793
26.000,25.998,68.01,20.804
26.000,26.025,62.57,20.793
26.000,26.047,57.58,20.804
26.000,26.085,48.68,20.772
26.000,26.108,41.95,20.815
26.000,26.112,38.85,20.772
26.000,26.109,36.91,20.782
26.000,26.091,38.31,20.782
26.000,26.062,42.23,20.782
26.000,26.036,46.10,20.782
26.000,26.030,46.39,20.772
26.000,26.028,46.00,20.772
26.000,26.029,45.22,20.793
26.000,26.029,44.49,20.761
26.000,26.031,43.43,20.793
26.000,26.033,42.36,20.793
26.000,26.037,40.85,20.793
26.000,26.038,39.78,20.772
26.000,26.041,38.29,20.772
26.000,26.038,37.97,20.772
26.000,26.037,37.30,20.761
26.000,26.033,37.25,20.772
26.000,26.032,36.67,20.772
26.000,26.030,36.35,20.782
26.000,26.030,35.72,20.761
26.000,26.029,35.30,20.772
26.000,26.028,34.72,20.761
26.000,26.027,34.32,20.740
26.000,26.027,33.84,20.761
26.000,26.024,33.69,20.772
26.000,26.023,33.41,20.761
26.000,26.018,33.84,20.761
26.000,26.016,33.88,20.750
26.000,26.011,34.49,20.761
26.000,26.010,34.49,20.772
26.000,26.008,34.78,20.761
26.000,26.010,34.18,20.772
26.000,26.009,34.01,20.761
26.000,26.013,33.08,20.750
26.000,26.013,32.66,20.761
26.000,26.016,31.89,20.761
26.000,26.014,32.00,20.772
26.000,26.013,31.76,20.740
