Timestamp,Resistance,PPM,Oven (C),Ambient (C)
1518421297.22,12500.503,-0.61,24.999,19.099
1518421298.22,12500.503,-0.61,25.0,19.088
1518421299.22,12500.503,-0.61,24.997,19.12
1518421300.22,12500.511,0.03,24.997,19.099
1518421301.22,12500.511,0.03,24.994,19.088
1518421302.21,12500.511,0.03,24.996,19.12
1518421303.22,12500.505,-0.45,24.995,19.109
1518421304.22,12500.505,-0.45,24.998,19.099
1518421305.22,12500.505,-0.45,24.997,19.109
1518421306.22,12500.505,-0.45,25.0,19.099
1518421307.22,12500.503,-0.61,24.998,19.109
1518421308.22,12500.503,-0.61,25.001,19.088
1518421309.22,12500.503,-0.61,24.996,19.099
1518421310.22,12500.493,-1.41,24.998,19.099
1518421311.22,12500.493,-1.41,24.995,19.099
1518421312.22,12500.493,-1.41,24.996,19.131
1518421313.22,12500.495,-1.25,24.995,19.077
1518421314.22,12500.495,-1.25,24.997,19.109
1518421315.22,12500.495,-1.25,24.997,19.109
1518421316.22,12500.495,-1.25,24.999,19.109
1518421317.22,12500.513,0.19,24.998,19.12
1518421318.22,12500.513,0.19,24.999,19.099
1518421319.22,12500.513,0.19,24.999,19.088
1518421320.22,12500.511,0.03,25.002,19.088
1518421321.22,12500.511,0.03,25.0,19.088
1518421322.22,12500.511,0.03,25.002,19.109
1518421323.22,12500.508,-0.21,24.999,19.099
1518421324.22,12500.508,-0.21,25.001,19.099
1518421325.22,12500.508,-0.21,24.998,19.099
1518421326.22,12500.508,-0.21,25.0,19.088
1518421327.22,12500.521,0.83,24.998,19.099
1518421328.22,12500.521,0.83,25.0,19.109
1518421329.22,12500.521,0.83,24.998,19.099
1518421330.22,12500.508,-0.21,25.002,19.099
1518421331.22,12500.508,-0.21,25.001,19.088
1518421332.22,12500.508,-0.21,25.003,19.099
1518421333.22,12500.521,0.83,24.999,19.099
1518421334.22,12500.521,0.83,25.001,19.088
1518421335.22,12500.521,0.83,24.999,19.12
1518421336.22,12500.521,0.83,25.002,19.077
1518421337.22,12500.495,-1.25,25.0,19.088
1518421338.22,12500.495,-1.25,25.002,19.077
1518421339.22,12500.495,-1.25,24.999,19.088
1518421340.23,12500.511,0.03,25.001,19.099
1518421341.22,12500.511,0.03,24.999,19.088
1518421342.22,12500.511,0.03,25.003,19.099
1518421343.22,12500.518,0.59,25.001,19.099
1518421344.22,12500.518,0.59,25.004,19.099
1518421345.22,12500.518,0.59,25.001,19.077
1518421346.22,12500.518,0.59,25.003,19.077
1518421347.23,12500.5,-0.85,25.0,19.066
1518421348.23,12500.5,-0.85,25.001,19.088
1518421349.22,12500.5,-0.85,24.998,19.099
1518421350.22,12500.5,-0.85,25.001,19.088
1518421351.22,12500.5,-0.85,24.997,19.077
1518421352.23,12500.5,-0.85,25.001,19.088
1518421353.23,12500.513,0.19,24.999,19.099
1518421354.23,12500.513,0.19,25.002,19.066
1518421355.23,12500.513,0.19,25.001,19.056
1518421356.23,12500.513,0.19,25.004,19.066
1518421357.23,12500.531,1.63,25.001,19.045
1518421358.22,12500.531,1.63,25.002,19.056
1518421359.23,12500.531,1.63,24.999,19.056
1518421360.23,12500.513,0.19,24.999,19.045
1518421361.23,12500.513,0.19,24.998,19.056
1518421362.23,12500.513,0.19,25.002,19.066
1518421363.23,12500.513,0.19,25.001,19.034
1518421364.23,12500.513,0.19,25.003,19.056
1518421365.23,12500.513,0.19,25.001,19.056
1518421366.23,12500.513,0.19,25.002,19.045
1518421367.23,12500.516,0.43,24.998,19.056
1518421368.23,12500.516,0.43,25.0,19.056
1518421369.23,12500.516,0.43,24.998,19.045
1518421370.23,12500.505,-0.45,25.002,19.056
1518421371.23,12500.505,-0.45,25.0,19.066
1518421372.23,12500.505,-0.45,25.004,19.045
1518421373.23,12500.505,-0.45,25.001,19.066
1518421374.23,12500.513,0.19,25.002,19.045
1518421375.23,12500.513,0.19,25.001,19.056
1518421376.23,12500.513,0.19,25.003,19.045
1518421377.23,12500.518,0.59,25.0,19.056
1518421378.23,12500.518,0.59,25.002,19.066
1518421379.23,12500.518,0.59,24.999,19.077
1518421380.23,12500.5,-0.85,25.001,19.066
1518421381.23,12500.5,-0.85,24.999,19.056
1518421382.23,12500.5,-0.85,25.003,19.066
1518421383.23,12500.5,-0.85,25.001,19.056
1518421384.23,12500.513,0.19,25.004,19.066
1518421385.23,12500.513,0.19,25.003,19.077
1518421386.23,12500.513,0.19,25.004,19.066
1518421387.23,12500.505,-0.45,25.0,19.066
1518421388.23,12500.505,-0.45,25.001,19.066
1518421389.23,12500.505,-0.45,24.997,19.077
1518421390.23,12500.518,0.59,25.0,19.077
1518421391.23,12500.518,0.59,24.998,19.077
1518421392.23,12500.518,0.59,25.002,19.077
1518421393.23,12500.518,0.59,25.0,19.088
1518421394.23,12500.508,-0.21,25.003,19.077
1518421395.24,12500.508,-0.21,25.001,19.088
1518421396.23,12500.508,-0.21,25.002,19.077
1518421397.23,12500.516,0.43,25.0,19.077
1518421398.23,12500.516,0.43,25.002,19.088
1518421399.23,12500.516,0.43,24.999,19.088
1518421400.23,12500.511,0.03,25.0,19.088
1518421401.23,12500.511,0.03,24.998,19.099
1518421402.24,12500.511,0.03,25.001,19.099
1518421403.24,12500.511,0.03,25.0,19.131
1518421404.24,12500.518,0.59,25.002,19.099
1518421405.23,12500.518,0.59,25.0,19.077
1518421406.23,12500.518,0.59,25.002,19.088
1518421407.24,12500.513,0.19,24.999,19.088
1518421408.24,12500.513,0.19,25.001,19.077
1518421409.24,12500.513,0.19,24.999,19.099
1518421410.24,12500.511,0.03,25.001,19.088
1518421411.24,12500.511,0.03,25.0,19.099
1518421412.24,12500.511,0.03,25.003,19.077
1518421413.24,12500.511,0.03,25.001,19.077
1518421414.23,12500.523,0.99,25.002,19.077
1518421415.24,12500.523,0.99,24.999,19.099
1518421416.24,12500.523,0.99,25.001,19.088
1518421417.24,12500.516,0.43,24.998,19.088
1518421418.24,12500.516,0.43,25.0,19.099
1518421419.24,12500.516,0.43,24.998,19.077
1518421420.24,12500.513,0.19,25.002,19.099
1518421421.24,12500.513,0.19,25.0,19.077
1518421422.24,12500.513,0.19,25.003,19.088
1518421423.24,12500.513,0.19,25.0,19.099
1518421424.24,12500.505,-0.45,25.002,19.077
1518421425.24,12500.505,-0.45,24.999,19.088
1518421426.24,12500.505,-0.45,25.0,19.099
1518421427.24,12500.511,0.03,24.996,19.066
1518421428.24,12500.511,0.03,24.998,19.077
1518421429.24,12500.511,0.03,24.996,19.088
1518421430.24,12500.511,0.03,25.0,19.077
1518421431.24,12500.503,-0.61,25.0,19.077
1518421432.24,12500.503,-0.61,25.003,19.066
1518421433.24,12500.503,-0.61,25.001,19.077
1518421434.24,12500.508,-0.21,25.002,19.088
1518421435.24,12500.508,-0.21,25.0,19.077
1518421436.24,12500.508,-0.21,25.001,19.077
1518421437.24,12500.512,0.11,24.997,19.066
1518421438.24,12500.512,0.11,24.999,19.099
1518421439.24,12500.512,0.11,24.997,19.077
1518421440.24,12500.512,0.11,25.001,19.066
1518421441.24,12500.518,0.59,25.0,19.066
1518421442.24,12500.518,0.59,25.003,19.056
1518421443.24,12500.518,0.59,25.001,19.077
1518421444.24,12500.5,-0.85,25.003,19.066
1518421445.24,12500.5,-0.85,25.0,19.066
1518421446.24,12500.5,-0.85,25.002,19.099
1518421447.24,12500.516,0.43,25.0,19.077
1518421448.24,12500.516,0.43,25.001,19.077
1518421449.24,12500.516,0.43,24.998,19.066
1518421450.24,12500.516,0.43,25.001,19.077
1518421451.24,12500.503,-0.61,24.999,19.056
1518421452.24,12500.503,-0.61,25.003,19.077
1518421453.24,12500.503,-0.61,25.001,19.066
1518421454.24,12500.521,0.83,25.003,19.056
1518421455.24,12500.521,0.83,25.001,19.066
1518421456.24,12500.521,0.83,25.002,19.077
1518421457.25,12500.493,-1.41,25.0,19.066
1518421458.25,12500.493,-1.41,25.002,19.077
1518421459.25,12500.493,-1.41,25.001,19.066
1518421460.25,12500.493,-1.41,25.002,19.077
1518421461.24,12500.531,1.63,24.999,19.056
1518421462.24,12500.531,1.63,25.001,19.066
